Investment choice name,Date,Currency,NAV / unit
MIL Allianz Asian Multi Income Plus Fund #,2013-09-04,USD,1.0000
MIL Allianz Asian Multi Income Plus Fund #,2013-09-05,USD,1.0000
MIL Allianz Asian Multi Income Plus Fund #,2013-09-06,USD,1.0000
MIL Allianz Asian Multi Income Plus Fund #,2013-09-09,USD,1.0000
MIL Allianz Asian Multi Income Plus Fund #,2013-09-10,USD,1.0000
MIL Allianz Asian Multi Income Plus Fund #,2013-09-11,USD,1.0000
MIL Allianz Asian Multi Income Plus Fund #,2013-09-12,USD,1.0000
MIL Allianz Asian Multi Income Plus Fund #,2013-09-13,USD,1.0000
MIL Allianz Asian Multi Income Plus Fund #,2013-09-16,USD,1.0000
MIL Allianz Asian Multi Income Plus Fund #,2013-09-17,USD,1.0000
MIL Allianz Asian Multi Income Plus Fund #,2013-09-18,USD,1.0000
MIL Allianz Asian Multi Income Plus Fund #,2013-09-19,USD,1.0000
MIL Allianz Asian Multi Income Plus Fund #,2013-09-23,USD,0.9950
MIL Allianz Asian Multi Income Plus Fund #,2013-09-24,USD,0.9930
MIL Allianz Asian Multi Income Plus Fund #,2013-09-25,USD,0.9920
MIL Allianz Asian Multi Income Plus Fund #,2013-09-26,USD,0.9910
MIL Allianz Asian Multi Income Plus Fund #,2013-09-27,USD,0.9920
MIL Allianz Asian Multi Income Plus Fund #,2013-09-30,USD,0.9830
MIL Allianz Asian Multi Income Plus Fund #,2013-10-02,USD,0.9850
MIL Allianz Asian Multi Income Plus Fund #,2013-10-03,USD,0.9920
MIL Allianz Asian Multi Income Plus Fund #,2013-10-04,USD,0.9930
MIL Allianz Asian Multi Income Plus Fund #,2013-10-07,USD,0.9920
MIL Allianz Asian Multi Income Plus Fund #,2013-10-08,USD,0.9930
MIL Allianz Asian Multi Income Plus Fund #,2013-10-09,USD,0.9910
MIL Allianz Asian Multi Income Plus Fund #,2013-10-10,USD,0.9920
MIL Allianz Asian Multi Income Plus Fund #,2013-10-11,USD,0.9990
MIL Allianz Asian Multi Income Plus Fund #,2013-10-15,USD,1.0000
MIL Allianz Asian Multi Income Plus Fund #,2013-10-16,USD,0.9960
MIL Allianz Asian Multi Income Plus Fund #,2013-10-17,USD,0.9990
MIL Allianz Asian Multi Income Plus Fund #,2013-10-18,USD,1.0060
MIL Allianz Asian Multi Income Plus Fund #,2013-10-21,USD,1.0060
MIL Allianz Asian Multi Income Plus Fund #,2013-10-22,USD,1.0040
MIL Allianz Asian Multi Income Plus Fund #,2013-10-23,USD,1.0000
MIL Allianz Asian Multi Income Plus Fund #,2013-10-24,USD,1.0000
MIL Allianz Asian Multi Income Plus Fund #,2013-10-25,USD,0.9960
MIL Allianz Asian Multi Income Plus Fund #,2013-10-28,USD,0.9980
MIL Allianz Asian Multi Income Plus Fund #,2013-10-29,USD,0.9980
MIL Allianz Asian Multi Income Plus Fund #,2013-10-30,USD,1.0030
MIL Allianz Asian Multi Income Plus Fund #,2013-10-31,USD,1.0000
MIL Allianz Asian Multi Income Plus Fund #,2013-11-01,USD,1.0000
MIL Allianz Asian Multi Income Plus Fund #,2013-11-04,USD,0.9970
MIL Allianz Asian Multi Income Plus Fund #,2013-11-05,USD,0.9960
