Investment choice name,Date,Currency,NAV / unit
MIL Asian Small Cap Fund #,2007-01-15,USD,1.0000
MIL Asian Small Cap Fund #,2007-01-16,USD,1.0000
MIL Asian Small Cap Fund #,2007-01-17,USD,1.0000
MIL Asian Small Cap Fund #,2007-01-18,USD,1.0000
MIL Asian Small Cap Fund #,2007-01-19,USD,1.0000
MIL Asian Small Cap Fund #,2007-01-22,USD,1.0000
MIL Asian Small Cap Fund #,2007-01-23,USD,1.0000
MIL Asian Small Cap Fund #,2007-01-24,USD,1.0000
MIL Asian Small Cap Fund #,2007-01-25,USD,1.0000
MIL Asian Small Cap Fund #,2007-01-26,USD,1.0000
MIL Asian Small Cap Fund #,2007-01-29,USD,1.0000
MIL Asian Small Cap Fund #,2007-01-30,USD,1.0020
MIL Asian Small Cap Fund #,2007-01-31,USD,1.0020
MIL Asian Small Cap Fund #,2007-02-01,USD,1.0060
MIL Asian Small Cap Fund #,2007-02-02,USD,1.0150
MIL Asian Small Cap Fund #,2007-02-05,USD,1.0140
MIL Asian Small Cap Fund #,2007-02-06,USD,1.0120
MIL Asian Small Cap Fund #,2007-02-07,USD,1.0160
MIL Asian Small Cap Fund #,2007-02-08,USD,1.0190
MIL Asian Small Cap Fund #,2007-02-09,USD,1.0230
MIL Asian Small Cap Fund #,2007-02-12,USD,1.0260
MIL Asian Small Cap Fund #,2007-02-13,USD,1.0190
MIL Asian Small Cap Fund #,2007-02-14,USD,1.0310
MIL Asian Small Cap Fund #,2007-02-15,USD,1.0320
MIL Asian Small Cap Fund #,2007-02-16,USD,1.0340
MIL Asian Small Cap Fund #,2007-02-21,USD,1.0400
MIL Asian Small Cap Fund #,2007-02-22,USD,1.0490
MIL Asian Small Cap Fund #,2007-02-23,USD,1.0570
MIL Asian Small Cap Fund #,2007-02-26,USD,1.0610
MIL Asian Small Cap Fund #,2007-02-27,USD,1.0540
MIL Asian Small Cap Fund #,2007-02-28,USD,1.0420
MIL Asian Small Cap Fund #,2007-03-01,USD,1.0390
MIL Asian Small Cap Fund #,2007-03-02,USD,1.0230
MIL Asian Small Cap Fund #,2007-03-05,USD,0.9880
MIL Asian Small Cap Fund #,2007-03-06,USD,1.0040
MIL Asian Small Cap Fund #,2007-03-07,USD,1.0000
MIL Asian Small Cap Fund #,2007-03-08,USD,1.0080
MIL Asian Small Cap Fund #,2007-03-09,USD,1.0170
MIL Asian Small Cap Fund #,2007-03-12,USD,1.0230
MIL Asian Small Cap Fund #,2007-03-13,USD,1.0270
MIL Asian Small Cap Fund #,2007-03-14,USD,1.0130
MIL Asian Small Cap Fund #,2007-03-15,USD,1.0190
MIL Asian Small Cap Fund #,2007-03-16,USD,1.0180
MIL Asian Small Cap Fund #,2007-03-19,USD,1.0190
MIL Asian Small Cap Fund #,2007-03-20,USD,1.0210
MIL Asian Small Cap Fund #,2007-03-21,USD,1.0300
MIL Asian Small Cap Fund #,2007-03-22,USD,1.0400
MIL Asian Small Cap Fund #,2007-03-23,USD,1.0500
MIL Asian Small Cap Fund #,2007-03-26,USD,1.0510
MIL Asian Small Cap Fund #,2007-03-27,USD,1.0450
MIL Asian Small Cap Fund #,2007-03-28,USD,1.0420
MIL Asian Small Cap Fund #,2007-03-29,USD,1.0480
MIL Asian Small Cap Fund #,2007-03-30,USD,1.0690
MIL Asian Small Cap Fund #,2007-04-02,USD,1.0750
MIL Asian Small Cap Fund #,2007-04-03,USD,1.0830
MIL Asian Small Cap Fund #,2007-04-04,USD,1.0920
MIL Asian Small Cap Fund #,2007-04-10,USD,1.1080
MIL Asian Small Cap Fund #,2007-04-11,USD,1.1090
MIL Asian Small Cap Fund #,2007-04-12,USD,1.1200
MIL Asian Small Cap Fund #,2007-04-13,USD,1.1160
MIL Asian Small Cap Fund #,2007-04-16,USD,1.1340
MIL Asian Small Cap Fund #,2007-04-17,USD,1.1420
MIL Asian Small Cap Fund #,2007-04-18,USD,1.1540
MIL Asian Small Cap Fund #,2007-04-19,USD,1.1540
MIL Asian Small Cap Fund #,2007-04-20,USD,1.1690
MIL Asian Small Cap Fund #,2007-04-23,USD,1.1660
MIL Asian Small Cap Fund #,2007-04-24,USD,1.1710
MIL Asian Small Cap Fund #,2007-04-25,USD,1.1680
MIL Asian Small Cap Fund #,2007-04-26,USD,1.1670
MIL Asian Small Cap Fund #,2007-04-27,USD,1.1620
MIL Asian Small Cap Fund #,2007-04-30,USD,1.1590
MIL Asian Small Cap Fund #,2007-05-02,USD,1.1620
MIL Asian Small Cap Fund #,2007-05-03,USD,1.1730
MIL Asian Small Cap Fund #,2007-05-04,USD,1.1870
MIL Asian Small Cap Fund #,2007-05-07,USD,1.1950
MIL Asian Small Cap Fund #,2007-05-08,USD,1.1850
MIL Asian Small Cap Fund #,2007-05-09,USD,1.1860
MIL Asian Small Cap Fund #,2007-05-10,USD,1.1950
MIL Asian Small Cap Fund #,2007-05-11,USD,1.1930
MIL Asian Small Cap Fund #,2007-05-14,USD,1.1890
MIL Asian Small Cap Fund #,2007-05-15,USD,1.1760
MIL Asian Small Cap Fund #,2007-05-16,USD,1.1840
MIL Asian Small Cap Fund #,2007-05-17,USD,1.1840
MIL Asian Small Cap Fund #,2007-05-18,USD,1.1910
MIL Asian Small Cap Fund #,2007-05-21,USD,1.1890
MIL Asian Small Cap Fund #,2007-05-22,USD,1.2040
MIL Asian Small Cap Fund #,2007-05-23,USD,1.2240
MIL Asian Small Cap Fund #,2007-05-25,USD,1.2150
MIL Asian Small Cap Fund #,2007-05-28,USD,1.2150
MIL Asian Small Cap Fund #,2007-05-29,USD,1.2220
