Name of Investment Choice,Date,Currency,Purchase Price,Unit Sell Price
MIL Allianz Dynamic Asian High Yield Bond Fund #,2018/04/16,USD,1.0000,1.0000
MIL Allianz Dynamic Asian High Yield Bond Fund #,2018/04/17,USD,1.0000,1.0000
MIL Allianz Dynamic Asian High Yield Bond Fund #,2018/04/18,USD,1.0000,1.0000
MIL Allianz Dynamic Asian High Yield Bond Fund #,2018/04/19,USD,0.9990,0.9990
MIL Allianz Dynamic Asian High Yield Bond Fund #,2018/04/20,USD,0.9980,0.9980
MIL Allianz Dynamic Asian High Yield Bond Fund #,2018/04/23,USD,0.9970,0.9970
MIL Allianz Dynamic Asian High Yield Bond Fund #,2018/04/24,USD,0.9970,0.9970
MIL Allianz Dynamic Asian High Yield Bond Fund #,2018/04/25,USD,0.9950,0.9950
MIL Allianz Dynamic Asian High Yield Bond Fund #,2018/04/26,USD,0.9940,0.9940
MIL Allianz Dynamic Asian High Yield Bond Fund #,2018/04/27,USD,0.9940,0.9940
MIL Allianz Dynamic Asian High Yield Bond Fund #,2018/04/30,USD,0.9930,0.9930
MIL Allianz Dynamic Asian High Yield Bond Fund #,2018/05/02,USD,0.9920,0.9920
MIL Allianz Dynamic Asian High Yield Bond Fund #,2018/05/03,USD,0.9910,0.9910
MIL Allianz Dynamic Asian High Yield Bond Fund #,2018/05/04,USD,0.9870,0.9870
MIL Allianz Dynamic Asian High Yield Bond Fund #,2018/05/07,USD,0.9840,0.9840
MIL Allianz Dynamic Asian High Yield Bond Fund #,2018/05/08,USD,0.9800,0.9800
MIL Allianz Dynamic Asian High Yield Bond Fund #,2018/05/09,USD,0.9780,0.9780
MIL Allianz Dynamic Asian High Yield Bond Fund #,2018/05/10,USD,0.9780,0.9780
MIL Allianz Dynamic Asian High Yield Bond Fund #,2018/05/11,USD,0.9780,0.9780
MIL Allianz Dynamic Asian High Yield Bond Fund #,2018/05/14,USD,0.9820,0.9820
MIL Allianz Dynamic Asian High Yield Bond Fund #,2018/05/15,USD,0.9820,0.9820
MIL Allianz Dynamic Asian High Yield Bond Fund #,2018/05/16,USD,0.9820,0.9820
MIL Allianz Dynamic Asian High Yield Bond Fund #,2018/05/17,USD,0.9800,0.9800
MIL Allianz Dynamic Asian High Yield Bond Fund #,2018/05/18,USD,0.9800,0.9800
MIL Allianz Dynamic Asian High Yield Bond Fund #,2018/05/21,USD,0.9800,0.9800
MIL Allianz Dynamic Asian High Yield Bond Fund #,2018/05/23,USD,0.9790,0.9790
MIL Allianz Dynamic Asian High Yield Bond Fund #,2018/05/24,USD,0.9810,0.9810
MIL Allianz Dynamic Asian High Yield Bond Fund #,2018/05/25,USD,0.9810,0.9810
MIL Allianz Dynamic Asian High Yield Bond Fund #,2018/05/28,USD,0.9800,0.9800
MIL Allianz Dynamic Asian High Yield Bond Fund #,2018/05/29,USD,0.9800,0.9800
MIL Allianz Dynamic Asian High Yield Bond Fund #,2018/05/30,USD,0.9740,0.9740
MIL Allianz Dynamic Asian High Yield Bond Fund #,2018/05/31,USD,0.9680,0.9680
MIL Allianz Dynamic Asian High Yield Bond Fund #,2018/06/01,USD,0.9670,0.9670
MIL Allianz Dynamic Asian High Yield Bond Fund #,2018/06/04,USD,0.9650,0.9650
MIL Allianz Dynamic Asian High Yield Bond Fund #,2018/06/05,USD,0.9630,0.9630
MIL Allianz Dynamic Asian High Yield Bond Fund #,2018/06/06,USD,0.9610,0.9610
MIL Allianz Dynamic Asian High Yield Bond Fund #,2018/06/07,USD,0.9620,0.9620
MIL Allianz Dynamic Asian High Yield Bond Fund #,2018/06/08,USD,0.9640,0.9640
MIL Allianz Dynamic Asian High Yield Bond Fund #,2018/06/11,USD,0.9640,0.9640
MIL Allianz Dynamic Asian High Yield Bond Fund #,2018/06/12,USD,0.9640,0.9640
MIL Allianz Dynamic Asian High Yield Bond Fund #,2018/06/13,USD,0.9640,0.9640
MIL Allianz Dynamic Asian High Yield Bond Fund #,2018/06/14,USD,0.9630,0.9630
MIL Allianz Dynamic Asian High Yield Bond Fund #,2018/06/15,USD,0.9630,0.9630
MIL Allianz Dynamic Asian High Yield Bond Fund #,2018/06/19,USD,0.9650,0.9650
MIL Allianz Dynamic Asian High Yield Bond Fund #,2018/06/20,USD,0.9640,0.9640


