Investment choice name,Date,Currency,NAV / unit
MIL Allianz Income and Growth Fund,2014-09-22,USD,1.0000
MIL Allianz Income and Growth Fund,2014-09-23,USD,1.0000
MIL Allianz Income and Growth Fund,2014-09-24,USD,1.0000
MIL Allianz Income and Growth Fund,2014-09-25,USD,1.0000
MIL Allianz Income and Growth Fund,2014-09-26,USD,1.0000
MIL Allianz Income and Growth Fund,2014-09-29,USD,1.0000
MIL Allianz Income and Growth Fund,2014-09-30,USD,1.0000
MIL Allianz Income and Growth Fund,2014-10-03,USD,0.9960
MIL Allianz Income and Growth Fund,2014-10-06,USD,0.9990
MIL Allianz Income and Growth Fund,2014-10-07,USD,0.9950
MIL Allianz Income and Growth Fund,2014-10-08,USD,0.9890
MIL Allianz Income and Growth Fund,2014-10-09,USD,0.9950
MIL Allianz Income and Growth Fund,2014-10-10,USD,0.9950
MIL Allianz Income and Growth Fund,2014-10-13,USD,0.9950
MIL Allianz Income and Growth Fund,2014-10-14,USD,0.9870
MIL Allianz Income and Growth Fund,2014-10-15,USD,0.9820
MIL Allianz Income and Growth Fund,2014-10-16,USD,0.9780
MIL Allianz Income and Growth Fund,2014-10-17,USD,0.9840
MIL Allianz Income and Growth Fund,2014-10-20,USD,0.9870
MIL Allianz Income and Growth Fund,2014-10-21,USD,0.9960
MIL Allianz Income and Growth Fund,2014-10-22,USD,1.0060
MIL Allianz Income and Growth Fund,2014-10-23,USD,1.0060
MIL Allianz Income and Growth Fund,2014-10-24,USD,1.0080
MIL Allianz Income and Growth Fund,2014-10-27,USD,1.0100
MIL Allianz Income and Growth Fund,2014-10-28,USD,1.0130
MIL Allianz Income and Growth Fund,2014-10-29,USD,1.0150
MIL Allianz Income and Growth Fund,2014-10-30,USD,1.0150
MIL Allianz Income and Growth Fund,2014-10-31,USD,1.0210
MIL Allianz Income and Growth Fund,2014-11-03,USD,1.0240
MIL Allianz Income and Growth Fund,2014-11-04,USD,1.0240
MIL Allianz Income and Growth Fund,2014-11-05,USD,1.0220
MIL Allianz Income and Growth Fund,2014-11-06,USD,1.0210
MIL Allianz Income and Growth Fund,2014-11-07,USD,1.0230
MIL Allianz Income and Growth Fund,2014-11-10,USD,1.0220
MIL Allianz Income and Growth Fund,2014-11-11,USD,1.0240
MIL Allianz Income and Growth Fund,2014-11-12,USD,1.0240
MIL Allianz Income and Growth Fund,2014-11-13,USD,1.0260
MIL Allianz Income and Growth Fund,2014-11-14,USD,1.0240
MIL Allianz Income and Growth Fund,2014-11-17,USD,1.0250
MIL Allianz Income and Growth Fund,2014-11-18,USD,1.0260
MIL Allianz Income and Growth Fund,2014-11-19,USD,1.0260
MIL Allianz Income and Growth Fund,2014-11-20,USD,1.0250
MIL Allianz Income and Growth Fund,2014-11-21,USD,1.0290
MIL Allianz Income and Growth Fund,2014-11-24,USD,1.0300
MIL Allianz Income and Growth Fund,2014-11-25,USD,1.0320
MIL Allianz Income and Growth Fund,2014-11-26,USD,1.0320
MIL Allianz Income and Growth Fund,2014-11-27,USD,1.0320
MIL Allianz Income and Growth Fund,2014-11-28,USD,1.0350
MIL Allianz Income and Growth Fund,2014-12-01,USD,1.0300
MIL Allianz Income and Growth Fund,2014-12-02,USD,1.0260
MIL Allianz Income and Growth Fund,2014-12-03,USD,1.0270
MIL Allianz Income and Growth Fund,2014-12-04,USD,1.0280
MIL Allianz Income and Growth Fund,2014-12-05,USD,1.0280
MIL Allianz Income and Growth Fund,2014-12-08,USD,1.0280
MIL Allianz Income and Growth Fund,2014-12-09,USD,1.0210
MIL Allianz Income and Growth Fund,2014-12-10,USD,1.0200
MIL Allianz Income and Growth Fund,2014-12-11,USD,1.0140
MIL Allianz Income and Growth Fund,2014-12-12,USD,1.0120
MIL Allianz Income and Growth Fund,2014-12-15,USD,1.0060
MIL Allianz Income and Growth Fund,2014-12-16,USD,0.9980
MIL Allianz Income and Growth Fund,2014-12-17,USD,0.9950
MIL Allianz Income and Growth Fund,2014-12-18,USD,1.0060
MIL Allianz Income and Growth Fund,2014-12-19,USD,1.0170
MIL Allianz Income and Growth Fund,2014-12-22,USD,1.0200
MIL Allianz Income and Growth Fund,2014-12-23,USD,1.0230
MIL Allianz Income and Growth Fund,2014-12-24,USD,1.0230
MIL Allianz Income and Growth Fund,2014-12-29,USD,1.0260
MIL Allianz Income and Growth Fund,2014-12-30,USD,1.0250
MIL Allianz Income and Growth Fund,2014-12-31,USD,1.0240
MIL Allianz Income and Growth Fund,2015-01-02,USD,1.0220
MIL Allianz Income and Growth Fund,2015-01-05,USD,1.0140
MIL Allianz Income and Growth Fund,2015-01-06,USD,1.0080
MIL Allianz Income and Growth Fund,2015-01-07,USD,1.0060
MIL Allianz Income and Growth Fund,2015-01-08,USD,1.0150
MIL Allianz Income and Growth Fund,2015-01-09,USD,1.0180
MIL Allianz Income and Growth Fund,2015-01-12,USD,1.0140
MIL Allianz Income and Growth Fund,2015-01-13,USD,1.0180
MIL Allianz Income and Growth Fund,2015-01-14,USD,1.0070
MIL Allianz Income and Growth Fund,2015-01-15,USD,1.0050
MIL Allianz Income and Growth Fund,2015-01-16,USD,1.0000
MIL Allianz Income and Growth Fund,2015-01-19,USD,1.0000
MIL Allianz Income and Growth Fund,2015-01-20,USD,1.0050
MIL Allianz Income and Growth Fund,2015-01-21,USD,1.0070
MIL Allianz Income and Growth Fund,2015-01-22,USD,1.0100
MIL Allianz Income and Growth Fund,2015-01-23,USD,1.0190
MIL Allianz Income and Growth Fund,2015-01-26,USD,1.0180
MIL Allianz Income and Growth Fund,2015-01-27,USD,1.0140
MIL Allianz Income and Growth Fund,2015-01-28,USD,1.0160
MIL Allianz Income and Growth Fund,2015-01-29,USD,1.0070
