Investment choice name,Date,Currency,NAV / unit
MIL BlackRock Systematic Global Equity High Income Fund,2018-04-16,USD,1.0000
MIL BlackRock Systematic Global Equity High Income Fund,2018-04-17,USD,1.0000
MIL BlackRock Systematic Global Equity High Income Fund,2018-04-18,USD,1.0000
MIL BlackRock Systematic Global Equity High Income Fund,2018-04-19,USD,1.0000
MIL BlackRock Systematic Global Equity High Income Fund,2018-04-20,USD,1.0000
MIL BlackRock Systematic Global Equity High Income Fund,2018-04-23,USD,1.0000
MIL BlackRock Systematic Global Equity High Income Fund,2018-04-24,USD,0.9980
MIL BlackRock Systematic Global Equity High Income Fund,2018-04-25,USD,0.9870
MIL BlackRock Systematic Global Equity High Income Fund,2018-04-26,USD,0.9940
MIL BlackRock Systematic Global Equity High Income Fund,2018-04-27,USD,0.9970
MIL BlackRock Systematic Global Equity High Income Fund,2018-04-30,USD,1.0000
MIL BlackRock Systematic Global Equity High Income Fund,2018-05-02,USD,0.9890
MIL BlackRock Systematic Global Equity High Income Fund,2018-05-03,USD,0.9840
MIL BlackRock Systematic Global Equity High Income Fund,2018-05-04,USD,0.9840
MIL BlackRock Systematic Global Equity High Income Fund,2018-05-07,USD,0.9920
MIL BlackRock Systematic Global Equity High Income Fund,2018-05-08,USD,0.9880
MIL BlackRock Systematic Global Equity High Income Fund,2018-05-09,USD,0.9900
MIL BlackRock Systematic Global Equity High Income Fund,2018-05-10,USD,0.9900
MIL BlackRock Systematic Global Equity High Income Fund,2018-05-11,USD,1.0030
MIL BlackRock Systematic Global Equity High Income Fund,2018-05-14,USD,1.0030
MIL BlackRock Systematic Global Equity High Income Fund,2018-05-15,USD,0.9970
MIL BlackRock Systematic Global Equity High Income Fund,2018-05-16,USD,1.0000
MIL BlackRock Systematic Global Equity High Income Fund,2018-05-17,USD,0.9990
MIL BlackRock Systematic Global Equity High Income Fund,2018-05-18,USD,0.9970
MIL BlackRock Systematic Global Equity High Income Fund,2018-05-21,USD,0.9970
MIL BlackRock Systematic Global Equity High Income Fund,2018-05-23,USD,0.9970
MIL BlackRock Systematic Global Equity High Income Fund,2018-05-24,USD,0.9970
MIL BlackRock Systematic Global Equity High Income Fund,2018-05-25,USD,0.9970
MIL BlackRock Systematic Global Equity High Income Fund,2018-05-28,USD,0.9960
MIL BlackRock Systematic Global Equity High Income Fund,2018-05-29,USD,0.9900
MIL BlackRock Systematic Global Equity High Income Fund,2018-05-30,USD,0.9910
MIL BlackRock Systematic Global Equity High Income Fund,2018-05-31,USD,0.9930
MIL BlackRock Systematic Global Equity High Income Fund,2018-06-01,USD,0.9950
MIL BlackRock Systematic Global Equity High Income Fund,2018-06-04,USD,1.0010
MIL BlackRock Systematic Global Equity High Income Fund,2018-06-05,USD,1.0000
MIL BlackRock Systematic Global Equity High Income Fund,2018-06-06,USD,1.0010
MIL BlackRock Systematic Global Equity High Income Fund,2018-06-07,USD,1.0070
MIL BlackRock Systematic Global Equity High Income Fund,2018-06-08,USD,1.0070
MIL BlackRock Systematic Global Equity High Income Fund,2018-06-11,USD,1.0080
MIL BlackRock Systematic Global Equity High Income Fund,2018-06-12,USD,1.0090
MIL BlackRock Systematic Global Equity High Income Fund,2018-06-13,USD,1.0100
MIL BlackRock Systematic Global Equity High Income Fund,2018-06-14,USD,1.0080
MIL BlackRock Systematic Global Equity High Income Fund,2018-06-15,USD,1.0050
MIL BlackRock Systematic Global Equity High Income Fund,2018-06-19,USD,0.9930
MIL BlackRock Systematic Global Equity High Income Fund,2018-06-20,USD,0.9990
MIL BlackRock Systematic Global Equity High Income Fund,2018-06-21,USD,0.9950
MIL BlackRock Systematic Global Equity High Income Fund,2018-06-22,USD,0.9990
MIL BlackRock Systematic Global Equity High Income Fund,2018-06-25,USD,0.9900
MIL BlackRock Systematic Global Equity High Income Fund,2018-06-26,USD,0.9890
MIL BlackRock Systematic Global Equity High Income Fund,2018-06-27,USD,0.9900
MIL BlackRock Systematic Global Equity High Income Fund,2018-06-28,USD,0.9790
MIL BlackRock Systematic Global Equity High Income Fund,2018-06-29,USD,0.9860
MIL BlackRock Systematic Global Equity High Income Fund,2018-07-03,USD,0.9830
MIL BlackRock Systematic Global Equity High Income Fund,2018-07-04,USD,0.9820
MIL BlackRock Systematic Global Equity High Income Fund,2018-07-05,USD,0.9840
MIL BlackRock Systematic Global Equity High Income Fund,2018-07-06,USD,0.9900
MIL BlackRock Systematic Global Equity High Income Fund,2018-07-09,USD,0.9980
MIL BlackRock Systematic Global Equity High Income Fund,2018-07-10,USD,1.0010
MIL BlackRock Systematic Global Equity High Income Fund,2018-07-11,USD,0.9970
MIL BlackRock Systematic Global Equity High Income Fund,2018-07-12,USD,0.9970
MIL BlackRock Systematic Global Equity High Income Fund,2018-07-13,USD,0.9990
MIL BlackRock Systematic Global Equity High Income Fund,2018-07-16,USD,1.0000
MIL BlackRock Systematic Global Equity High Income Fund,2018-07-17,USD,1.0010
MIL BlackRock Systematic Global Equity High Income Fund,2018-07-18,USD,1.0030
MIL BlackRock Systematic Global Equity High Income Fund,2018-07-19,USD,1.0000
MIL BlackRock Systematic Global Equity High Income Fund,2018-07-20,USD,1.0030
MIL BlackRock Systematic Global Equity High Income Fund,2018-07-23,USD,1.0030
MIL BlackRock Systematic Global Equity High Income Fund,2018-07-24,USD,1.0070
MIL BlackRock Systematic Global Equity High Income Fund,2018-07-25,USD,1.0090
MIL BlackRock Systematic Global Equity High Income Fund,2018-07-26,USD,1.0160
MIL BlackRock Systematic Global Equity High Income Fund,2018-07-27,USD,1.0150
MIL BlackRock Systematic Global Equity High Income Fund,2018-07-30,USD,1.0160
MIL BlackRock Systematic Global Equity High Income Fund,2018-07-31,USD,1.0180
MIL BlackRock Systematic Global Equity High Income Fund,2018-08-01,USD,1.0180
MIL BlackRock Systematic Global Equity High Income Fund,2018-08-02,USD,1.0080
MIL BlackRock Systematic Global Equity High Income Fund,2018-08-03,USD,1.0120
MIL BlackRock Systematic Global Equity High Income Fund,2018-08-06,USD,1.0140
MIL BlackRock Systematic Global Equity High Income Fund,2018-08-07,USD,1.0200
MIL BlackRock Systematic Global Equity High Income Fund,2018-08-08,USD,1.0180
MIL BlackRock Systematic Global Equity High Income Fund,2018-08-09,USD,1.0190
MIL BlackRock Systematic Global Equity High Income Fund,2018-08-10,USD,1.0110
MIL BlackRock Systematic Global Equity High Income Fund,2018-08-13,USD,1.0080
MIL BlackRock Systematic Global Equity High Income Fund,2018-08-14,USD,1.0090
MIL BlackRock Systematic Global Equity High Income Fund,2018-08-15,USD,1.0080
MIL BlackRock Systematic Global Equity High Income Fund,2018-08-16,USD,1.0100
MIL BlackRock Systematic Global Equity High Income Fund,2018-08-17,USD,1.0110
MIL BlackRock Systematic Global Equity High Income Fund,2018-08-20,USD,1.0180
MIL BlackRock Systematic Global Equity High Income Fund,2018-08-21,USD,1.0200
MIL BlackRock Systematic Global Equity High Income Fund,2018-08-22,USD,1.0200
MIL BlackRock Systematic Global Equity High Income Fund,2018-08-23,USD,1.0200
MIL BlackRock Systematic Global Equity High Income Fund,2018-08-24,USD,1.0170
MIL BlackRock Systematic Global Equity High Income Fund,2018-08-27,USD,1.0240
MIL BlackRock Systematic Global Equity High Income Fund,2018-08-28,USD,1.0260
MIL BlackRock Systematic Global Equity High Income Fund,2018-08-29,USD,1.0240
MIL BlackRock Systematic Global Equity High Income Fund,2018-08-30,USD,1.0240
MIL BlackRock Systematic Global Equity High Income Fund,2018-08-31,USD,1.0220
MIL BlackRock Systematic Global Equity High Income Fund,2018-09-03,USD,1.0210
MIL BlackRock Systematic Global Equity High Income Fund,2018-09-04,USD,1.0150
MIL BlackRock Systematic Global Equity High Income Fund,2018-09-05,USD,1.0160
MIL BlackRock Systematic Global Equity High Income Fund,2018-09-06,USD,1.0190
MIL BlackRock Systematic Global Equity High Income Fund,2018-09-07,USD,1.0130
MIL BlackRock Systematic Global Equity High Income Fund,2018-09-10,USD,1.0190
MIL BlackRock Systematic Global Equity High Income Fund,2018-09-11,USD,1.0150
MIL BlackRock Systematic Global Equity High Income Fund,2018-09-12,USD,1.0170
MIL BlackRock Systematic Global Equity High Income Fund,2018-09-13,USD,1.0220
MIL BlackRock Systematic Global Equity High Income Fund,2018-09-14,USD,1.0220
MIL BlackRock Systematic Global Equity High Income Fund,2018-09-17,USD,1.0250
MIL BlackRock Systematic Global Equity High Income Fund,2018-09-18,USD,1.0240
MIL BlackRock Systematic Global Equity High Income Fund,2018-09-19,USD,1.0270
MIL BlackRock Systematic Global Equity High Income Fund,2018-09-20,USD,1.0290
MIL BlackRock Systematic Global Equity High Income Fund,2018-09-21,USD,1.0320
MIL BlackRock Systematic Global Equity High Income Fund,2018-09-24,USD,1.0290
MIL BlackRock Systematic Global Equity High Income Fund,2018-09-26,USD,1.0290
MIL BlackRock Systematic Global Equity High Income Fund,2018-09-27,USD,1.0260
MIL BlackRock Systematic Global Equity High Income Fund,2018-09-28,USD,1.0240
MIL BlackRock Systematic Global Equity High Income Fund,2018-10-02,USD,1.0190
MIL BlackRock Systematic Global Equity High Income Fund,2018-10-03,USD,1.0190
MIL BlackRock Systematic Global Equity High Income Fund,2018-10-04,USD,1.0100
MIL BlackRock Systematic Global Equity High Income Fund,2018-10-05,USD,1.0080
MIL BlackRock Systematic Global Equity High Income Fund,2018-10-08,USD,1.0030
MIL BlackRock Systematic Global Equity High Income Fund,2018-10-09,USD,1.0020
MIL BlackRock Systematic Global Equity High Income Fund,2018-10-10,USD,1.0020
MIL BlackRock Systematic Global Equity High Income Fund,2018-10-11,USD,0.9820
MIL BlackRock Systematic Global Equity High Income Fund,2018-10-12,USD,0.9750
