Investment choice name,Date,Currency,NAV / unit
MIL BlackRock World Healthscience Fund,2022-02-10,USD,1.0000
MIL BlackRock World Healthscience Fund,2022-02-11,USD,1.0000
MIL BlackRock World Healthscience Fund,2022-02-14,USD,1.0000
MIL BlackRock World Healthscience Fund,2022-02-15,USD,1.0000
MIL BlackRock World Healthscience Fund,2022-02-16,USD,1.0000
MIL BlackRock World Healthscience Fund,2022-02-17,USD,0.9950
MIL BlackRock World Healthscience Fund,2022-02-18,USD,0.9950
MIL BlackRock World Healthscience Fund,2022-02-21,USD,0.9930
MIL BlackRock World Healthscience Fund,2022-02-22,USD,0.9970
MIL BlackRock World Healthscience Fund,2022-02-23,USD,0.9980
MIL BlackRock World Healthscience Fund,2022-02-24,USD,0.9790
MIL BlackRock World Healthscience Fund,2022-02-25,USD,0.9960
MIL BlackRock World Healthscience Fund,2022-02-28,USD,1.0020
MIL BlackRock World Healthscience Fund,2022-03-01,USD,1.0060
MIL BlackRock World Healthscience Fund,2022-03-02,USD,1.0050
MIL BlackRock World Healthscience Fund,2022-03-03,USD,1.0130
MIL BlackRock World Healthscience Fund,2022-03-04,USD,0.9990
MIL BlackRock World Healthscience Fund,2022-03-07,USD,1.0000
MIL BlackRock World Healthscience Fund,2022-03-08,USD,0.9860
MIL BlackRock World Healthscience Fund,2022-03-09,USD,0.9910
MIL BlackRock World Healthscience Fund,2022-03-10,USD,0.9950
MIL BlackRock World Healthscience Fund,2022-03-11,USD,1.0010
MIL BlackRock World Healthscience Fund,2022-03-14,USD,1.0020
MIL BlackRock World Healthscience Fund,2022-03-15,USD,0.9980
MIL BlackRock World Healthscience Fund,2022-03-16,USD,1.0130
MIL BlackRock World Healthscience Fund,2022-03-17,USD,1.0240
MIL BlackRock World Healthscience Fund,2022-03-18,USD,1.0320
MIL BlackRock World Healthscience Fund,2022-03-21,USD,1.0380
MIL BlackRock World Healthscience Fund,2022-03-22,USD,1.0360
MIL BlackRock World Healthscience Fund,2022-03-23,USD,1.0280
MIL BlackRock World Healthscience Fund,2022-03-24,USD,1.0290
MIL BlackRock World Healthscience Fund,2022-03-25,USD,1.0370
MIL BlackRock World Healthscience Fund,2022-03-28,USD,1.0390
MIL BlackRock World Healthscience Fund,2022-03-29,USD,1.0510
MIL BlackRock World Healthscience Fund,2022-03-30,USD,1.0550
MIL BlackRock World Healthscience Fund,2022-03-31,USD,1.0540
MIL BlackRock World Healthscience Fund,2022-04-01,USD,1.0460
MIL BlackRock World Healthscience Fund,2022-04-04,USD,1.0480
MIL BlackRock World Healthscience Fund,2022-04-06,USD,1.0530
MIL BlackRock World Healthscience Fund,2022-04-07,USD,1.0730
MIL BlackRock World Healthscience Fund,2022-04-08,USD,1.0820
MIL BlackRock World Healthscience Fund,2022-04-11,USD,1.0810
MIL BlackRock World Healthscience Fund,2022-04-12,USD,1.0690
MIL BlackRock World Healthscience Fund,2022-04-13,USD,1.0620
MIL BlackRock World Healthscience Fund,2022-04-14,USD,1.0690
MIL BlackRock World Healthscience Fund,2022-04-19,USD,1.0580
MIL BlackRock World Healthscience Fund,2022-04-20,USD,1.0620
MIL BlackRock World Healthscience Fund,2022-04-21,USD,1.0720
MIL BlackRock World Healthscience Fund,2022-04-22,USD,1.0410
MIL BlackRock World Healthscience Fund,2022-04-25,USD,1.0160
MIL BlackRock World Healthscience Fund,2022-04-26,USD,1.0280
MIL BlackRock World Healthscience Fund,2022-04-27,USD,1.0190
MIL BlackRock World Healthscience Fund,2022-04-28,USD,1.0170
MIL BlackRock World Healthscience Fund,2022-04-29,USD,1.0200
