Investment choice name,Date,Currency,NAV / unit
MIL AllianceBernstein American Income Fund,2019-08-12,USD,1.0000
MIL AllianceBernstein American Income Fund,2019-08-13,USD,1.0000
MIL AllianceBernstein American Income Fund,2019-08-14,USD,1.0000
MIL AllianceBernstein American Income Fund,2019-08-15,USD,1.0000
MIL AllianceBernstein American Income Fund,2019-08-16,USD,1.0000
MIL AllianceBernstein American Income Fund,2019-08-19,USD,0.9990
MIL AllianceBernstein American Income Fund,2019-08-20,USD,1.0010
MIL AllianceBernstein American Income Fund,2019-08-21,USD,1.0010
MIL AllianceBernstein American Income Fund,2019-08-22,USD,1.0000
MIL AllianceBernstein American Income Fund,2019-08-23,USD,1.0030
MIL AllianceBernstein American Income Fund,2019-08-26,USD,1.0010
MIL AllianceBernstein American Income Fund,2019-08-27,USD,1.0030
MIL AllianceBernstein American Income Fund,2019-08-28,USD,1.0050
MIL AllianceBernstein American Income Fund,2019-08-29,USD,1.0040
MIL AllianceBernstein American Income Fund,2019-08-30,USD,1.0050
MIL AllianceBernstein American Income Fund,2019-09-02,USD,1.0040
MIL AllianceBernstein American Income Fund,2019-09-03,USD,1.0070
MIL AllianceBernstein American Income Fund,2019-09-04,USD,1.0080
MIL AllianceBernstein American Income Fund,2019-09-05,USD,1.0050
MIL AllianceBernstein American Income Fund,2019-09-06,USD,1.0060
MIL AllianceBernstein American Income Fund,2019-09-09,USD,1.0040
MIL AllianceBernstein American Income Fund,2019-09-10,USD,1.0010
MIL AllianceBernstein American Income Fund,2019-09-11,USD,1.0000
MIL AllianceBernstein American Income Fund,2019-09-12,USD,0.9990
MIL AllianceBernstein American Income Fund,2019-09-13,USD,0.9950
MIL AllianceBernstein American Income Fund,2019-09-16,USD,0.9980
MIL AllianceBernstein American Income Fund,2019-09-17,USD,0.9990
MIL AllianceBernstein American Income Fund,2019-09-18,USD,0.9990
MIL AllianceBernstein American Income Fund,2019-09-19,USD,1.0000
MIL AllianceBernstein American Income Fund,2019-09-20,USD,1.0010
MIL AllianceBernstein American Income Fund,2019-09-23,USD,1.0030
MIL AllianceBernstein American Income Fund,2019-09-24,USD,1.0040
MIL AllianceBernstein American Income Fund,2019-09-25,USD,1.0010
MIL AllianceBernstein American Income Fund,2019-09-26,USD,1.0020
MIL AllianceBernstein American Income Fund,2019-09-27,USD,1.0020
MIL AllianceBernstein American Income Fund,2019-09-30,USD,1.0020
MIL AllianceBernstein American Income Fund,2019-10-02,USD,1.0030
MIL AllianceBernstein American Income Fund,2019-10-03,USD,1.0050
MIL AllianceBernstein American Income Fund,2019-10-04,USD,1.0060
MIL AllianceBernstein American Income Fund,2019-10-08,USD,1.0040
MIL AllianceBernstein American Income Fund,2019-10-09,USD,1.0030
MIL AllianceBernstein American Income Fund,2019-10-10,USD,1.0010
MIL AllianceBernstein American Income Fund,2019-10-11,USD,0.9990
MIL AllianceBernstein American Income Fund,2019-10-14,USD,1.0000
MIL AllianceBernstein American Income Fund,2019-10-15,USD,1.0000
MIL AllianceBernstein American Income Fund,2019-10-16,USD,1.0010
MIL AllianceBernstein American Income Fund,2019-10-17,USD,1.0010
MIL AllianceBernstein American Income Fund,2019-10-18,USD,1.0020
MIL AllianceBernstein American Income Fund,2019-10-21,USD,1.0010
MIL AllianceBernstein American Income Fund,2019-10-22,USD,1.0020
MIL AllianceBernstein American Income Fund,2019-10-23,USD,1.0020
MIL AllianceBernstein American Income Fund,2019-10-24,USD,1.0020
