Investment choice name,Date,Currency,NAV / unit
MIL BlackRock Systematic Global SmallCap Fund,2014-09-22,USD,1.0000
MIL BlackRock Systematic Global SmallCap Fund,2014-09-23,USD,1.0000
MIL BlackRock Systematic Global SmallCap Fund,2014-09-24,USD,1.0000
MIL BlackRock Systematic Global SmallCap Fund,2014-09-25,USD,1.0000
MIL BlackRock Systematic Global SmallCap Fund,2014-09-26,USD,1.0000
MIL BlackRock Systematic Global SmallCap Fund,2014-09-29,USD,1.0000
MIL BlackRock Systematic Global SmallCap Fund,2014-09-30,USD,0.9990
MIL BlackRock Systematic Global SmallCap Fund,2014-10-03,USD,0.9900
MIL BlackRock Systematic Global SmallCap Fund,2014-10-06,USD,0.9920
MIL BlackRock Systematic Global SmallCap Fund,2014-10-07,USD,0.9820
MIL BlackRock Systematic Global SmallCap Fund,2014-10-08,USD,0.9740
MIL BlackRock Systematic Global SmallCap Fund,2014-10-09,USD,0.9800
MIL BlackRock Systematic Global SmallCap Fund,2014-10-10,USD,0.9600
MIL BlackRock Systematic Global SmallCap Fund,2014-10-13,USD,0.9500
MIL BlackRock Systematic Global SmallCap Fund,2014-10-14,USD,0.9500
MIL BlackRock Systematic Global SmallCap Fund,2014-10-15,USD,0.9460
MIL BlackRock Systematic Global SmallCap Fund,2014-10-16,USD,0.9420
MIL BlackRock Systematic Global SmallCap Fund,2014-10-17,USD,0.9600
MIL BlackRock Systematic Global SmallCap Fund,2014-10-20,USD,0.9610
MIL BlackRock Systematic Global SmallCap Fund,2014-10-21,USD,0.9730
MIL BlackRock Systematic Global SmallCap Fund,2014-10-22,USD,0.9810
MIL BlackRock Systematic Global SmallCap Fund,2014-10-23,USD,0.9720
MIL BlackRock Systematic Global SmallCap Fund,2014-10-24,USD,0.9780
MIL BlackRock Systematic Global SmallCap Fund,2014-10-27,USD,0.9750
MIL BlackRock Systematic Global SmallCap Fund,2014-10-28,USD,0.9890
MIL BlackRock Systematic Global SmallCap Fund,2014-10-29,USD,0.9940
MIL BlackRock Systematic Global SmallCap Fund,2014-10-30,USD,0.9900
MIL BlackRock Systematic Global SmallCap Fund,2014-10-31,USD,1.0000
