Name of Investment Choice,Date,Currency,Purchase Price,Unit Sell Price
MIL ChinaAMC China Focus Fund # @,2014/05/07,USD,1.0000,1.0000
MIL ChinaAMC China Focus Fund # @,2014/05/08,USD,1.0000,1.0000
MIL ChinaAMC China Focus Fund # @,2014/05/09,USD,1.0000,1.0000
MIL ChinaAMC China Focus Fund # @,2014/05/12,USD,1.0000,1.0000
MIL ChinaAMC China Focus Fund # @,2014/05/13,USD,1.0020,1.0020
MIL ChinaAMC China Focus Fund # @,2014/05/14,USD,1.0030,1.0030
MIL ChinaAMC China Focus Fund # @,2014/05/15,USD,1.0030,1.0030
MIL ChinaAMC China Focus Fund # @,2014/05/16,USD,1.0000,1.0000
MIL ChinaAMC China Focus Fund # @,2014/05/19,USD,1.0000,1.0000
MIL ChinaAMC China Focus Fund # @,2014/05/20,USD,1.0000,1.0000
MIL ChinaAMC China Focus Fund # @,2014/05/21,USD,1.0020,1.0020
MIL ChinaAMC China Focus Fund # @,2014/05/22,USD,1.0080,1.0080
MIL ChinaAMC China Focus Fund # @,2014/05/23,USD,1.0070,1.0070
MIL ChinaAMC China Focus Fund # @,2014/05/26,USD,1.0070,1.0070
MIL ChinaAMC China Focus Fund # @,2014/05/27,USD,1.0110,1.0110
MIL ChinaAMC China Focus Fund # @,2014/05/28,USD,1.0130,1.0130
MIL ChinaAMC China Focus Fund # @,2014/05/29,USD,1.0130,1.0130
MIL ChinaAMC China Focus Fund # @,2014/05/30,USD,1.0130,1.0130
MIL ChinaAMC China Focus Fund # @,2014/06/03,USD,1.0240,1.0240
MIL ChinaAMC China Focus Fund # @,2014/06/04,USD,1.0210,1.0210
MIL ChinaAMC China Focus Fund # @,2014/06/05,USD,1.0250,1.0250
MIL ChinaAMC China Focus Fund # @,2014/06/06,USD,1.0250,1.0250
MIL ChinaAMC China Focus Fund # @,2014/06/09,USD,1.0250,1.0250
MIL ChinaAMC China Focus Fund # @,2014/06/10,USD,1.0370,1.0370
MIL ChinaAMC China Focus Fund # @,2014/06/11,USD,1.0410,1.0410
MIL ChinaAMC China Focus Fund # @,2014/06/12,USD,1.0350,1.0350
MIL ChinaAMC China Focus Fund # @,2014/06/13,USD,1.0410,1.0410
MIL ChinaAMC China Focus Fund # @,2014/06/16,USD,1.0440,1.0440
