Investment choice name,Date,Currency,NAV / unit
MIL Amundi Emerging Markets Equity Focus Fund,2013-09-04,USD,1.0000
MIL Amundi Emerging Markets Equity Focus Fund,2013-09-05,USD,1.0000
MIL Amundi Emerging Markets Equity Focus Fund,2013-09-06,USD,1.0000
MIL Amundi Emerging Markets Equity Focus Fund,2013-09-09,USD,1.0000
MIL Amundi Emerging Markets Equity Focus Fund,2013-09-10,USD,1.0200
MIL Amundi Emerging Markets Equity Focus Fund,2013-09-11,USD,1.0230
MIL Amundi Emerging Markets Equity Focus Fund,2013-09-12,USD,1.0230
MIL Amundi Emerging Markets Equity Focus Fund,2013-09-13,USD,1.0230
MIL Amundi Emerging Markets Equity Focus Fund,2013-09-16,USD,1.0370
MIL Amundi Emerging Markets Equity Focus Fund,2013-09-17,USD,1.0400
MIL Amundi Emerging Markets Equity Focus Fund,2013-09-18,USD,1.0420
MIL Amundi Emerging Markets Equity Focus Fund,2013-09-19,USD,1.0650
MIL Amundi Emerging Markets Equity Focus Fund,2013-09-23,USD,1.0540
MIL Amundi Emerging Markets Equity Focus Fund,2013-09-24,USD,1.0490
MIL Amundi Emerging Markets Equity Focus Fund,2013-09-25,USD,1.0460
MIL Amundi Emerging Markets Equity Focus Fund,2013-09-26,USD,1.0440
MIL Amundi Emerging Markets Equity Focus Fund,2013-09-27,USD,1.0420
MIL Amundi Emerging Markets Equity Focus Fund,2013-09-30,USD,1.0290
MIL Amundi Emerging Markets Equity Focus Fund,2013-10-02,USD,1.0380
MIL Amundi Emerging Markets Equity Focus Fund,2013-10-03,USD,1.0430
MIL Amundi Emerging Markets Equity Focus Fund,2013-10-04,USD,1.0470
MIL Amundi Emerging Markets Equity Focus Fund,2013-10-07,USD,1.0420
MIL Amundi Emerging Markets Equity Focus Fund,2013-10-08,USD,1.0440
MIL Amundi Emerging Markets Equity Focus Fund,2013-10-09,USD,1.0410
MIL Amundi Emerging Markets Equity Focus Fund,2013-10-10,USD,1.0510
MIL Amundi Emerging Markets Equity Focus Fund,2013-10-11,USD,1.0610
MIL Amundi Emerging Markets Equity Focus Fund,2013-10-15,USD,1.0630
MIL Amundi Emerging Markets Equity Focus Fund,2013-10-16,USD,1.0640
MIL Amundi Emerging Markets Equity Focus Fund,2013-10-17,USD,1.0670
MIL Amundi Emerging Markets Equity Focus Fund,2013-10-18,USD,1.0730
MIL Amundi Emerging Markets Equity Focus Fund,2013-10-21,USD,1.0740
MIL Amundi Emerging Markets Equity Focus Fund,2013-10-22,USD,1.0750
MIL Amundi Emerging Markets Equity Focus Fund,2013-10-23,USD,1.0660
MIL Amundi Emerging Markets Equity Focus Fund,2013-10-24,USD,1.0640
MIL Amundi Emerging Markets Equity Focus Fund,2013-10-25,USD,1.0620
MIL Amundi Emerging Markets Equity Focus Fund,2013-10-28,USD,1.0640
MIL Amundi Emerging Markets Equity Focus Fund,2013-10-29,USD,1.0670
MIL Amundi Emerging Markets Equity Focus Fund,2013-10-30,USD,1.0710
MIL Amundi Emerging Markets Equity Focus Fund,2013-10-31,USD,1.0620
MIL Amundi Emerging Markets Equity Focus Fund,2013-11-01,USD,1.0660
MIL Amundi Emerging Markets Equity Focus Fund,2013-11-04,USD,1.0560
MIL Amundi Emerging Markets Equity Focus Fund,2013-11-05,USD,1.0490
MIL Amundi Emerging Markets Equity Focus Fund,2013-11-06,USD,1.0470
MIL Amundi Emerging Markets Equity Focus Fund,2013-11-07,USD,1.0410
MIL Amundi Emerging Markets Equity Focus Fund,2013-11-08,USD,1.0290
MIL Amundi Emerging Markets Equity Focus Fund,2013-11-11,USD,1.0260
MIL Amundi Emerging Markets Equity Focus Fund,2013-11-12,USD,1.0240
MIL Amundi Emerging Markets Equity Focus Fund,2013-11-13,USD,1.0160
MIL Amundi Emerging Markets Equity Focus Fund,2013-11-14,USD,1.0300
MIL Amundi Emerging Markets Equity Focus Fund,2013-11-15,USD,1.0410
MIL Amundi Emerging Markets Equity Focus Fund,2013-11-18,USD,1.0570
MIL Amundi Emerging Markets Equity Focus Fund,2013-11-19,USD,1.0550
MIL Amundi Emerging Markets Equity Focus Fund,2013-11-20,USD,1.0480
