Name of Investment Choice,Date,Currency,Purchase Price,Unit Sell Price
MIL Asia Value Dividend Equity Fund #,2014/05/07,USD,1.0000,1.0000
MIL Asia Value Dividend Equity Fund #,2014/05/08,USD,1.0000,1.0000
MIL Asia Value Dividend Equity Fund #,2014/05/09,USD,1.0000,1.0000
MIL Asia Value Dividend Equity Fund #,2014/05/12,USD,1.0000,1.0000
MIL Asia Value Dividend Equity Fund #,2014/05/13,USD,1.0050,1.0050
MIL Asia Value Dividend Equity Fund #,2014/05/14,USD,1.0170,1.0170
MIL Asia Value Dividend Equity Fund #,2014/05/15,USD,1.0150,1.0150
MIL Asia Value Dividend Equity Fund #,2014/05/16,USD,1.0150,1.0150
MIL Asia Value Dividend Equity Fund #,2014/05/19,USD,1.0180,1.0180
MIL Asia Value Dividend Equity Fund #,2014/05/20,USD,1.0180,1.0180
MIL Asia Value Dividend Equity Fund #,2014/05/21,USD,1.0180,1.0180
MIL Asia Value Dividend Equity Fund #,2014/05/22,USD,1.0210,1.0210
MIL Asia Value Dividend Equity Fund #,2014/05/23,USD,1.0260,1.0260
MIL Asia Value Dividend Equity Fund #,2014/05/26,USD,1.0270,1.0270
MIL Asia Value Dividend Equity Fund #,2014/05/27,USD,1.0270,1.0270
MIL Asia Value Dividend Equity Fund #,2014/05/28,USD,1.0280,1.0280
MIL Asia Value Dividend Equity Fund #,2014/05/29,USD,1.0280,1.0280
MIL Asia Value Dividend Equity Fund #,2014/05/30,USD,1.0280,1.0280
MIL Asia Value Dividend Equity Fund #,2014/06/03,USD,1.0330,1.0330
MIL Asia Value Dividend Equity Fund #,2014/06/04,USD,1.0320,1.0320
MIL Asia Value Dividend Equity Fund #,2014/06/05,USD,1.0370,1.0370
MIL Asia Value Dividend Equity Fund #,2014/06/06,USD,1.0350,1.0350
MIL Asia Value Dividend Equity Fund #,2014/06/09,USD,1.0350,1.0350
MIL Asia Value Dividend Equity Fund #,2014/06/10,USD,1.0400,1.0400
MIL Asia Value Dividend Equity Fund #,2014/06/11,USD,1.0380,1.0380
MIL Asia Value Dividend Equity Fund #,2014/06/12,USD,1.0350,1.0350
MIL Asia Value Dividend Equity Fund #,2014/06/13,USD,1.0350,1.0350
MIL Asia Value Dividend Equity Fund #,2014/06/16,USD,1.0350,1.0350
MIL Asia Value Dividend Equity Fund #,2014/06/17,USD,1.0360,1.0360
MIL Asia Value Dividend Equity Fund #,2014/06/18,USD,1.0310,1.0310
MIL Asia Value Dividend Equity Fund #,2014/06/19,USD,1.0320,1.0320
MIL Asia Value Dividend Equity Fund #,2014/06/20,USD,1.0300,1.0300
MIL Asia Value Dividend Equity Fund #,2014/06/23,USD,1.0300,1.0300
MIL Asia Value Dividend Equity Fund #,2014/06/24,USD,1.0260,1.0260
