Name of Investment Choice,Date,Currency,Purchase Price,Unit Sell Price
MIL Fidelity European Dynamic Growth Fund ,2013/09/04,USD,1.0000,1.0000
MIL Fidelity European Dynamic Growth Fund ,2013/09/05,USD,1.0000,1.0000
MIL Fidelity European Dynamic Growth Fund ,2013/09/06,USD,0.9970,0.9970
MIL Fidelity European Dynamic Growth Fund ,2013/09/09,USD,0.9850,0.9850
MIL Fidelity European Dynamic Growth Fund ,2013/09/10,USD,0.9980,0.9980
MIL Fidelity European Dynamic Growth Fund ,2013/09/11,USD,0.9950,0.9950
MIL Fidelity European Dynamic Growth Fund ,2013/09/12,USD,0.9950,0.9950
MIL Fidelity European Dynamic Growth Fund ,2013/09/13,USD,0.9910,0.9910
MIL Fidelity European Dynamic Growth Fund ,2013/09/16,USD,1.0030,1.0030
MIL Fidelity European Dynamic Growth Fund ,2013/09/17,USD,0.9950,0.9950
MIL Fidelity European Dynamic Growth Fund ,2013/09/18,USD,0.9990,0.9990
MIL Fidelity European Dynamic Growth Fund ,2013/09/19,USD,1.0080,1.0080
MIL Fidelity European Dynamic Growth Fund ,2013/09/23,USD,1.0010,1.0010
MIL Fidelity European Dynamic Growth Fund ,2013/09/24,USD,0.9990,0.9990
MIL Fidelity European Dynamic Growth Fund ,2013/09/25,USD,0.9950,0.9950
MIL Fidelity European Dynamic Growth Fund ,2013/09/26,USD,0.9960,0.9960
MIL Fidelity European Dynamic Growth Fund ,2013/09/27,USD,0.9920,0.9920
MIL Fidelity European Dynamic Growth Fund ,2013/09/30,USD,0.9900,0.9900
MIL Fidelity European Dynamic Growth Fund ,2013/10/02,USD,0.9870,0.9870
MIL Fidelity European Dynamic Growth Fund ,2013/10/03,USD,0.9890,0.9890
MIL Fidelity European Dynamic Growth Fund ,2013/10/04,USD,0.9900,0.9900
MIL Fidelity European Dynamic Growth Fund ,2013/10/07,USD,0.9830,0.9830
MIL Fidelity European Dynamic Growth Fund ,2013/10/08,USD,0.9760,0.9760
MIL Fidelity European Dynamic Growth Fund ,2013/10/09,USD,0.9670,0.9670
MIL Fidelity European Dynamic Growth Fund ,2013/10/10,USD,0.9740,0.9740
MIL Fidelity European Dynamic Growth Fund ,2013/10/11,USD,0.9790,0.9790
MIL Fidelity European Dynamic Growth Fund ,2013/10/15,USD,0.9820,0.9820
MIL Fidelity European Dynamic Growth Fund ,2013/10/16,USD,0.9770,0.9770
MIL Fidelity European Dynamic Growth Fund ,2013/10/17,USD,0.9830,0.9830
MIL Fidelity European Dynamic Growth Fund ,2013/10/18,USD,0.9980,0.9980
MIL Fidelity European Dynamic Growth Fund ,2013/10/21,USD,1.0060,1.0060
MIL Fidelity European Dynamic Growth Fund ,2013/10/22,USD,1.0080,1.0080
MIL Fidelity European Dynamic Growth Fund ,2013/10/23,USD,1.0120,1.0120
MIL Fidelity European Dynamic Growth Fund ,2013/10/24,USD,1.0140,1.0140
MIL Fidelity European Dynamic Growth Fund ,2013/10/25,USD,1.0120,1.0120
MIL Fidelity European Dynamic Growth Fund ,2013/10/28,USD,1.0140,1.0140
