Name of Investment Choice,Date,Currency,Purchase Price,Unit Sell Price
MIL Eastern European Fund #,2007/01/15,USD,1.0000,1.0000
MIL Eastern European Fund #,2007/01/16,USD,1.0000,1.0000
MIL Eastern European Fund #,2007/01/17,USD,1.0000,1.0000
MIL Eastern European Fund #,2007/01/18,USD,1.0000,1.0000
MIL Eastern European Fund #,2007/01/19,USD,1.0000,1.0000
MIL Eastern European Fund #,2007/01/22,USD,1.0000,1.0000
MIL Eastern European Fund #,2007/01/23,USD,1.0000,1.0000
MIL Eastern European Fund #,2007/01/24,USD,1.0040,1.0040
MIL Eastern European Fund #,2007/01/25,USD,1.0050,1.0050
MIL Eastern European Fund #,2007/01/26,USD,0.9990,0.9990
MIL Eastern European Fund #,2007/01/29,USD,0.9990,0.9990
MIL Eastern European Fund #,2007/01/30,USD,0.9910,0.9910
MIL Eastern European Fund #,2007/01/31,USD,1.0030,1.0030
MIL Eastern European Fund #,2007/02/01,USD,1.0200,1.0200
MIL Eastern European Fund #,2007/02/02,USD,1.0280,1.0280
MIL Eastern European Fund #,2007/02/05,USD,1.0230,1.0230
MIL Eastern European Fund #,2007/02/06,USD,1.0300,1.0300
MIL Eastern European Fund #,2007/02/07,USD,1.0230,1.0230
MIL Eastern European Fund #,2007/02/08,USD,1.0110,1.0110
MIL Eastern European Fund #,2007/02/09,USD,1.0100,1.0100
MIL Eastern European Fund #,2007/02/12,USD,0.9950,0.9950
MIL Eastern European Fund #,2007/02/13,USD,1.0000,1.0000
MIL Eastern European Fund #,2007/02/14,USD,1.0140,1.0140
MIL Eastern European Fund #,2007/02/15,USD,1.0240,1.0240
MIL Eastern European Fund #,2007/02/16,USD,1.0150,1.0150
MIL Eastern European Fund #,2007/02/21,USD,1.0230,1.0230
MIL Eastern European Fund #,2007/02/22,USD,1.0220,1.0220
MIL Eastern European Fund #,2007/02/23,USD,1.0260,1.0260
MIL Eastern European Fund #,2007/02/26,USD,1.0300,1.0300
MIL Eastern European Fund #,2007/02/27,USD,1.0110,1.0110
MIL Eastern European Fund #,2007/02/28,USD,0.9780,0.9780
MIL Eastern European Fund #,2007/03/01,USD,0.9930,0.9930
