Investment choice name,Date,Currency,NAV / unit
MIL Fidelity China Consumer Fund #,2013-09-04,USD,1.0000
MIL Fidelity China Consumer Fund #,2013-09-05,USD,1.0000
MIL Fidelity China Consumer Fund #,2013-09-06,USD,1.0000
MIL Fidelity China Consumer Fund #,2013-09-09,USD,1.0000
MIL Fidelity China Consumer Fund #,2013-09-10,USD,1.0040
MIL Fidelity China Consumer Fund #,2013-09-11,USD,1.0040
MIL Fidelity China Consumer Fund #,2013-09-12,USD,1.0050
MIL Fidelity China Consumer Fund #,2013-09-13,USD,1.0030
MIL Fidelity China Consumer Fund #,2013-09-16,USD,1.0140
MIL Fidelity China Consumer Fund #,2013-09-17,USD,1.0120
MIL Fidelity China Consumer Fund #,2013-09-18,USD,1.0040
MIL Fidelity China Consumer Fund #,2013-09-19,USD,1.0140
MIL Fidelity China Consumer Fund #,2013-09-23,USD,1.0130
MIL Fidelity China Consumer Fund #,2013-09-24,USD,1.0110
MIL Fidelity China Consumer Fund #,2013-09-25,USD,1.0150
MIL Fidelity China Consumer Fund #,2013-09-26,USD,1.0100
MIL Fidelity China Consumer Fund #,2013-09-27,USD,1.0100
MIL Fidelity China Consumer Fund #,2013-09-30,USD,1.0040
MIL Fidelity China Consumer Fund #,2013-10-02,USD,1.0130
MIL Fidelity China Consumer Fund #,2013-10-03,USD,1.0240
MIL Fidelity China Consumer Fund #,2013-10-04,USD,1.0300
MIL Fidelity China Consumer Fund #,2013-10-07,USD,1.0270
MIL Fidelity China Consumer Fund #,2013-10-08,USD,1.0270
MIL Fidelity China Consumer Fund #,2013-10-09,USD,1.0190
MIL Fidelity China Consumer Fund #,2013-10-10,USD,1.0290
MIL Fidelity China Consumer Fund #,2013-10-11,USD,1.0360
MIL Fidelity China Consumer Fund #,2013-10-15,USD,1.0430
MIL Fidelity China Consumer Fund #,2013-10-16,USD,1.0410
MIL Fidelity China Consumer Fund #,2013-10-17,USD,1.0410
MIL Fidelity China Consumer Fund #,2013-10-18,USD,1.0580
MIL Fidelity China Consumer Fund #,2013-10-21,USD,1.0640
MIL Fidelity China Consumer Fund #,2013-10-22,USD,1.0580
MIL Fidelity China Consumer Fund #,2013-10-23,USD,1.0440
MIL Fidelity China Consumer Fund #,2013-10-24,USD,1.0440
MIL Fidelity China Consumer Fund #,2013-10-25,USD,1.0390
MIL Fidelity China Consumer Fund #,2013-10-28,USD,1.0350
MIL Fidelity China Consumer Fund #,2013-10-29,USD,1.0270
MIL Fidelity China Consumer Fund #,2013-10-30,USD,1.0420
MIL Fidelity China Consumer Fund #,2013-10-31,USD,1.0410
MIL Fidelity China Consumer Fund #,2013-11-01,USD,1.0440
MIL Fidelity China Consumer Fund #,2013-11-04,USD,1.0430
MIL Fidelity China Consumer Fund #,2013-11-05,USD,1.0340
MIL Fidelity China Consumer Fund #,2013-11-06,USD,1.0340
MIL Fidelity China Consumer Fund #,2013-11-07,USD,1.0200
MIL Fidelity China Consumer Fund #,2013-11-08,USD,1.0180
MIL Fidelity China Consumer Fund #,2013-11-11,USD,1.0260
MIL Fidelity China Consumer Fund #,2013-11-12,USD,1.0210
MIL Fidelity China Consumer Fund #,2013-11-13,USD,1.0110
MIL Fidelity China Consumer Fund #,2013-11-14,USD,1.0250
MIL Fidelity China Consumer Fund #,2013-11-15,USD,1.0450
MIL Fidelity China Consumer Fund #,2013-11-18,USD,1.0780
MIL Fidelity China Consumer Fund #,2013-11-19,USD,1.0690
MIL Fidelity China Consumer Fund #,2013-11-20,USD,1.0700
MIL Fidelity China Consumer Fund #,2013-11-21,USD,1.0660
MIL Fidelity China Consumer Fund #,2013-11-22,USD,1.0710
MIL Fidelity China Consumer Fund #,2013-11-25,USD,1.0720
MIL Fidelity China Consumer Fund #,2013-11-26,USD,1.0730
MIL Fidelity China Consumer Fund #,2013-11-27,USD,1.0860
MIL Fidelity China Consumer Fund #,2013-11-28,USD,1.0850
MIL Fidelity China Consumer Fund #,2013-11-29,USD,1.0920
MIL Fidelity China Consumer Fund #,2013-12-02,USD,1.0960
MIL Fidelity China Consumer Fund #,2013-12-03,USD,1.0910
MIL Fidelity China Consumer Fund #,2013-12-04,USD,1.0910
MIL Fidelity China Consumer Fund #,2013-12-05,USD,1.0940
MIL Fidelity China Consumer Fund #,2013-12-06,USD,1.0990
MIL Fidelity China Consumer Fund #,2013-12-09,USD,1.1020
MIL Fidelity China Consumer Fund #,2013-12-10,USD,1.0970
MIL Fidelity China Consumer Fund #,2013-12-11,USD,1.0830
MIL Fidelity China Consumer Fund #,2013-12-12,USD,1.0830
