Investment choice name,Date,Currency,NAV / unit
MIL Schroder Emerging Markets Fund #,2014-09-22,USD,1.0000
MIL Schroder Emerging Markets Fund #,2014-09-23,USD,1.0000
MIL Schroder Emerging Markets Fund #,2014-09-24,USD,1.0000
MIL Schroder Emerging Markets Fund #,2014-09-25,USD,1.0000
MIL Schroder Emerging Markets Fund #,2014-09-26,USD,1.0000
MIL Schroder Emerging Markets Fund #,2014-09-29,USD,1.0000
MIL Schroder Emerging Markets Fund #,2014-09-30,USD,0.9940
MIL Schroder Emerging Markets Fund #,2014-10-03,USD,0.9880
MIL Schroder Emerging Markets Fund #,2014-10-06,USD,0.9930
MIL Schroder Emerging Markets Fund #,2014-10-07,USD,1.0010
MIL Schroder Emerging Markets Fund #,2014-10-08,USD,0.9930
MIL Schroder Emerging Markets Fund #,2014-10-09,USD,1.0020
MIL Schroder Emerging Markets Fund #,2014-10-10,USD,0.9880
MIL Schroder Emerging Markets Fund #,2014-10-13,USD,0.9770
MIL Schroder Emerging Markets Fund #,2014-10-14,USD,0.9780
MIL Schroder Emerging Markets Fund #,2014-10-15,USD,0.9770
MIL Schroder Emerging Markets Fund #,2014-10-16,USD,0.9590
MIL Schroder Emerging Markets Fund #,2014-10-17,USD,0.9560
MIL Schroder Emerging Markets Fund #,2014-10-20,USD,0.9710
MIL Schroder Emerging Markets Fund #,2014-10-21,USD,0.9670
MIL Schroder Emerging Markets Fund #,2014-10-22,USD,0.9700
MIL Schroder Emerging Markets Fund #,2014-10-23,USD,0.9690
MIL Schroder Emerging Markets Fund #,2014-10-24,USD,0.9640
MIL Schroder Emerging Markets Fund #,2014-10-27,USD,0.9600
MIL Schroder Emerging Markets Fund #,2014-10-28,USD,0.9760
MIL Schroder Emerging Markets Fund #,2014-10-29,USD,0.9890
MIL Schroder Emerging Markets Fund #,2014-10-30,USD,0.9860
MIL Schroder Emerging Markets Fund #,2014-10-31,USD,0.9950
MIL Schroder Emerging Markets Fund #,2014-11-03,USD,0.9920
MIL Schroder Emerging Markets Fund #,2014-11-04,USD,0.9870
MIL Schroder Emerging Markets Fund #,2014-11-05,USD,0.9830
MIL Schroder Emerging Markets Fund #,2014-11-06,USD,0.9790
MIL Schroder Emerging Markets Fund #,2014-11-07,USD,0.9700
MIL Schroder Emerging Markets Fund #,2014-11-10,USD,0.9820
MIL Schroder Emerging Markets Fund #,2014-11-11,USD,0.9790
MIL Schroder Emerging Markets Fund #,2014-11-12,USD,0.9810
MIL Schroder Emerging Markets Fund #,2014-11-13,USD,0.9850
MIL Schroder Emerging Markets Fund #,2014-11-14,USD,0.9790
MIL Schroder Emerging Markets Fund #,2014-11-17,USD,0.9760
MIL Schroder Emerging Markets Fund #,2014-11-18,USD,0.9750
MIL Schroder Emerging Markets Fund #,2014-11-19,USD,0.9760
MIL Schroder Emerging Markets Fund #,2014-11-20,USD,0.9770
MIL Schroder Emerging Markets Fund #,2014-11-21,USD,0.9830
MIL Schroder Emerging Markets Fund #,2014-11-24,USD,0.9970
MIL Schroder Emerging Markets Fund #,2014-11-25,USD,0.9940
MIL Schroder Emerging Markets Fund #,2014-11-26,USD,0.9960
MIL Schroder Emerging Markets Fund #,2014-11-27,USD,1.0020
MIL Schroder Emerging Markets Fund #,2014-11-28,USD,0.9980
MIL Schroder Emerging Markets Fund #,2014-12-01,USD,0.9850
MIL Schroder Emerging Markets Fund #,2014-12-02,USD,0.9770
MIL Schroder Emerging Markets Fund #,2014-12-03,USD,0.9740
MIL Schroder Emerging Markets Fund #,2014-12-04,USD,0.9810
MIL Schroder Emerging Markets Fund #,2014-12-05,USD,0.9780
MIL Schroder Emerging Markets Fund #,2014-12-08,USD,0.9750
MIL Schroder Emerging Markets Fund #,2014-12-09,USD,0.9630
MIL Schroder Emerging Markets Fund #,2014-12-10,USD,0.9560
MIL Schroder Emerging Markets Fund #,2014-12-11,USD,0.9420
MIL Schroder Emerging Markets Fund #,2014-12-12,USD,0.9370
MIL Schroder Emerging Markets Fund #,2014-12-15,USD,0.9240
MIL Schroder Emerging Markets Fund #,2014-12-16,USD,0.9100
MIL Schroder Emerging Markets Fund #,2014-12-17,USD,0.9030
MIL Schroder Emerging Markets Fund #,2014-12-18,USD,0.9200
MIL Schroder Emerging Markets Fund #,2014-12-19,USD,0.9310
MIL Schroder Emerging Markets Fund #,2014-12-22,USD,0.9420
MIL Schroder Emerging Markets Fund #,2014-12-23,USD,0.9390
MIL Schroder Emerging Markets Fund #,2014-12-24,USD,0.9390
MIL Schroder Emerging Markets Fund #,2014-12-29,USD,0.9470
MIL Schroder Emerging Markets Fund #,2014-12-30,USD,0.9430
MIL Schroder Emerging Markets Fund #,2014-12-31,USD,0.9480
MIL Schroder Emerging Markets Fund #,2015-01-02,USD,0.9470
MIL Schroder Emerging Markets Fund #,2015-01-05,USD,0.9350
MIL Schroder Emerging Markets Fund #,2015-01-06,USD,0.9190
MIL Schroder Emerging Markets Fund #,2015-01-07,USD,0.9290
MIL Schroder Emerging Markets Fund #,2015-01-08,USD,0.9470
MIL Schroder Emerging Markets Fund #,2015-01-09,USD,0.9520
MIL Schroder Emerging Markets Fund #,2015-01-12,USD,0.9500
MIL Schroder Emerging Markets Fund #,2015-01-13,USD,0.9530
MIL Schroder Emerging Markets Fund #,2015-01-14,USD,0.9500
MIL Schroder Emerging Markets Fund #,2015-01-15,USD,0.9580
MIL Schroder Emerging Markets Fund #,2015-01-16,USD,0.9500
MIL Schroder Emerging Markets Fund #,2015-01-19,USD,0.9510
MIL Schroder Emerging Markets Fund #,2015-01-20,USD,0.9580
MIL Schroder Emerging Markets Fund #,2015-01-21,USD,0.9690
MIL Schroder Emerging Markets Fund #,2015-01-22,USD,0.9740
MIL Schroder Emerging Markets Fund #,2015-01-23,USD,0.9880
MIL Schroder Emerging Markets Fund #,2015-01-26,USD,0.9820
MIL Schroder Emerging Markets Fund #,2015-01-27,USD,0.9850
MIL Schroder Emerging Markets Fund #,2015-01-28,USD,0.9820
MIL Schroder Emerging Markets Fund #,2015-01-29,USD,0.9690
MIL Schroder Emerging Markets Fund #,2015-01-30,USD,0.9590
MIL Schroder Emerging Markets Fund #,2015-02-02,USD,0.9590
MIL Schroder Emerging Markets Fund #,2015-02-03,USD,0.9660
MIL Schroder Emerging Markets Fund #,2015-02-04,USD,0.9690
MIL Schroder Emerging Markets Fund #,2015-02-05,USD,0.9690
MIL Schroder Emerging Markets Fund #,2015-02-06,USD,0.9640
MIL Schroder Emerging Markets Fund #,2015-02-09,USD,0.9520
MIL Schroder Emerging Markets Fund #,2015-02-10,USD,0.9530
MIL Schroder Emerging Markets Fund #,2015-02-11,USD,0.9500
MIL Schroder Emerging Markets Fund #,2015-02-12,USD,0.9560
MIL Schroder Emerging Markets Fund #,2015-02-13,USD,0.9680
MIL Schroder Emerging Markets Fund #,2015-02-16,USD,0.9690
MIL Schroder Emerging Markets Fund #,2015-02-17,USD,0.9680
MIL Schroder Emerging Markets Fund #,2015-02-18,USD,0.9670
MIL Schroder Emerging Markets Fund #,2015-02-23,USD,0.9630
MIL Schroder Emerging Markets Fund #,2015-02-24,USD,0.9710
MIL Schroder Emerging Markets Fund #,2015-02-25,USD,0.9790
MIL Schroder Emerging Markets Fund #,2015-02-26,USD,0.9780
MIL Schroder Emerging Markets Fund #,2015-02-27,USD,0.9740
MIL Schroder Emerging Markets Fund #,2015-03-02,USD,0.9810
MIL Schroder Emerging Markets Fund #,2015-03-03,USD,0.9780
MIL Schroder Emerging Markets Fund #,2015-03-04,USD,0.9710
MIL Schroder Emerging Markets Fund #,2015-03-05,USD,0.9630
MIL Schroder Emerging Markets Fund #,2015-03-06,USD,0.9640
MIL Schroder Emerging Markets Fund #,2015-03-09,USD,0.9500
MIL Schroder Emerging Markets Fund #,2015-03-10,USD,0.9410
MIL Schroder Emerging Markets Fund #,2015-03-11,USD,0.9360
MIL Schroder Emerging Markets Fund #,2015-03-12,USD,0.9450
MIL Schroder Emerging Markets Fund #,2015-03-13,USD,0.9360
MIL Schroder Emerging Markets Fund #,2015-03-16,USD,0.9390
MIL Schroder Emerging Markets Fund #,2015-03-17,USD,0.9460
MIL Schroder Emerging Markets Fund #,2015-03-18,USD,0.9550
MIL Schroder Emerging Markets Fund #,2015-03-19,USD,0.9650
MIL Schroder Emerging Markets Fund #,2015-03-20,USD,0.9670
MIL Schroder Emerging Markets Fund #,2015-03-23,USD,0.9760
MIL Schroder Emerging Markets Fund #,2015-03-24,USD,0.9740
MIL Schroder Emerging Markets Fund #,2015-03-25,USD,0.9740
MIL Schroder Emerging Markets Fund #,2015-03-26,USD,0.9560
MIL Schroder Emerging Markets Fund #,2015-03-27,USD,0.9520
MIL Schroder Emerging Markets Fund #,2015-03-30,USD,0.9590
MIL Schroder Emerging Markets Fund #,2015-03-31,USD,0.9640
MIL Schroder Emerging Markets Fund #,2015-04-01,USD,0.9680
MIL Schroder Emerging Markets Fund #,2015-04-02,USD,0.9780
MIL Schroder Emerging Markets Fund #,2015-04-08,USD,0.9990
MIL Schroder Emerging Markets Fund #,2015-04-09,USD,1.0080
MIL Schroder Emerging Markets Fund #,2015-04-10,USD,1.0110
MIL Schroder Emerging Markets Fund #,2015-04-13,USD,1.0170
MIL Schroder Emerging Markets Fund #,2015-04-14,USD,1.0110
MIL Schroder Emerging Markets Fund #,2015-04-15,USD,1.0080
MIL Schroder Emerging Markets Fund #,2015-04-16,USD,1.0210
MIL Schroder Emerging Markets Fund #,2015-04-17,USD,1.0180
MIL Schroder Emerging Markets Fund #,2015-04-20,USD,1.0040
MIL Schroder Emerging Markets Fund #,2015-04-21,USD,1.0100
MIL Schroder Emerging Markets Fund #,2015-04-22,USD,1.0150
MIL Schroder Emerging Markets Fund #,2015-04-23,USD,1.0190
MIL Schroder Emerging Markets Fund #,2015-04-24,USD,1.0270
MIL Schroder Emerging Markets Fund #,2015-04-27,USD,1.0350
MIL Schroder Emerging Markets Fund #,2015-04-28,USD,1.0330
MIL Schroder Emerging Markets Fund #,2015-04-29,USD,1.0280
MIL Schroder Emerging Markets Fund #,2015-04-30,USD,1.0200
MIL Schroder Emerging Markets Fund #,2015-05-04,USD,1.0170
MIL Schroder Emerging Markets Fund #,2015-05-05,USD,1.0130
MIL Schroder Emerging Markets Fund #,2015-05-06,USD,1.0070
MIL Schroder Emerging Markets Fund #,2015-05-07,USD,0.9940
MIL Schroder Emerging Markets Fund #,2015-05-08,USD,0.9980
MIL Schroder Emerging Markets Fund #,2015-05-11,USD,1.0040
MIL Schroder Emerging Markets Fund #,2015-05-12,USD,0.9950
MIL Schroder Emerging Markets Fund #,2015-05-13,USD,1.0010
MIL Schroder Emerging Markets Fund #,2015-05-14,USD,0.9990
MIL Schroder Emerging Markets Fund #,2015-05-15,USD,1.0050
MIL Schroder Emerging Markets Fund #,2015-05-18,USD,1.0090
MIL Schroder Emerging Markets Fund #,2015-05-19,USD,1.0090
MIL Schroder Emerging Markets Fund #,2015-05-20,USD,1.0020
MIL Schroder Emerging Markets Fund #,2015-05-21,USD,1.0030
MIL Schroder Emerging Markets Fund #,2015-05-22,USD,1.0090
MIL Schroder Emerging Markets Fund #,2015-05-26,USD,1.0020
MIL Schroder Emerging Markets Fund #,2015-05-27,USD,0.9880
MIL Schroder Emerging Markets Fund #,2015-05-28,USD,0.9830
MIL Schroder Emerging Markets Fund #,2015-05-29,USD,0.9820
MIL Schroder Emerging Markets Fund #,2015-06-01,USD,0.9760
MIL Schroder Emerging Markets Fund #,2015-06-02,USD,0.9700
MIL Schroder Emerging Markets Fund #,2015-06-03,USD,0.9720
