Name of Investment Choice,Date,Currency,Purchase Price,Unit Sell Price
MIL Investec Global Energy Fund,2012/04/30,USD,1.0000,1.0000
MIL Investec Global Energy Fund,2012/05/02,USD,1.0000,1.0000
MIL Investec Global Energy Fund,2012/05/03,USD,1.0000,1.0000
MIL Investec Global Energy Fund,2012/05/04,USD,0.9840,0.9840
MIL Investec Global Energy Fund,2012/05/07,USD,0.9840,0.9840
MIL Investec Global Energy Fund,2012/05/08,USD,0.9810,0.9810
MIL Investec Global Energy Fund,2012/05/09,USD,0.9800,0.9800
MIL Investec Global Energy Fund,2012/05/10,USD,0.9840,0.9840
MIL Investec Global Energy Fund,2012/05/11,USD,0.9740,0.9740
MIL Investec Global Energy Fund,2012/05/14,USD,0.9510,0.9510
MIL Investec Global Energy Fund,2012/05/15,USD,0.9290,0.9290
MIL Investec Global Energy Fund,2012/05/16,USD,0.9250,0.9250
MIL Investec Global Energy Fund,2012/05/17,USD,0.9250,0.9250
MIL Investec Global Energy Fund,2012/05/18,USD,0.9190,0.9190
MIL Investec Global Energy Fund,2012/05/21,USD,0.9410,0.9410
MIL Investec Global Energy Fund,2012/05/22,USD,0.9440,0.9440
MIL Investec Global Energy Fund,2012/05/23,USD,0.9400,0.9400
MIL Investec Global Energy Fund,2012/05/24,USD,0.9340,0.9340
MIL Investec Global Energy Fund,2012/05/25,USD,0.9390,0.9390
MIL Investec Global Energy Fund,2012/05/28,USD,0.9390,0.9390
MIL Investec Global Energy Fund,2012/05/29,USD,0.9480,0.9480
MIL Investec Global Energy Fund,2012/05/30,USD,0.9230,0.9230
MIL Investec Global Energy Fund,2012/05/31,USD,0.9190,0.9190
MIL Investec Global Energy Fund,2012/06/01,USD,0.8980,0.8980
MIL Investec Global Energy Fund,2012/06/04,USD,0.8980,0.8980
MIL Investec Global Energy Fund,2012/06/05,USD,0.8980,0.8980
MIL Investec Global Energy Fund,2012/06/06,USD,0.9280,0.9280
MIL Investec Global Energy Fund,2012/06/07,USD,0.9240,0.9240
MIL Investec Global Energy Fund,2012/06/08,USD,0.9150,0.9150
MIL Investec Global Energy Fund,2012/06/11,USD,0.9010,0.9010
MIL Investec Global Energy Fund,2012/06/12,USD,0.9070,0.9070
MIL Investec Global Energy Fund,2012/06/13,USD,0.9020,0.9020
MIL Investec Global Energy Fund,2012/06/14,USD,0.9120,0.9120
MIL Investec Global Energy Fund,2012/06/15,USD,0.9300,0.9300
MIL Investec Global Energy Fund,2012/06/18,USD,0.9270,0.9270
MIL Investec Global Energy Fund,2012/06/19,USD,0.9430,0.9430
MIL Investec Global Energy Fund,2012/06/20,USD,0.9390,0.9390
MIL Investec Global Energy Fund,2012/06/21,USD,0.8970,0.8970
MIL Investec Global Energy Fund,2012/06/22,USD,0.9040,0.9040
MIL Investec Global Energy Fund,2012/06/25,USD,0.8830,0.8830
MIL Investec Global Energy Fund,2012/06/26,USD,0.8850,0.8850
MIL Investec Global Energy Fund,2012/06/27,USD,0.8950,0.8950
MIL Investec Global Energy Fund,2012/06/28,USD,0.9010,0.9010
MIL Investec Global Energy Fund,2012/06/29,USD,0.9350,0.9350
MIL Investec Global Energy Fund,2012/07/03,USD,0.9590,0.9590
MIL Investec Global Energy Fund,2012/07/04,USD,0.9580,0.9580
MIL Investec Global Energy Fund,2012/07/05,USD,0.9500,0.9500
MIL Investec Global Energy Fund,2012/07/06,USD,0.9340,0.9340
MIL Investec Global Energy Fund,2012/07/09,USD,0.9280,0.9280
MIL Investec Global Energy Fund,2012/07/10,USD,0.9130,0.9130
MIL Investec Global Energy Fund,2012/07/11,USD,0.9190,0.9190
MIL Investec Global Energy Fund,2012/07/12,USD,0.9100,0.9100
MIL Investec Global Energy Fund,2012/07/13,USD,0.9250,0.9250
MIL Investec Global Energy Fund,2012/07/16,USD,0.9280,0.9280
MIL Investec Global Energy Fund,2012/07/17,USD,0.9410,0.9410
MIL Investec Global Energy Fund,2012/07/18,USD,0.9490,0.9490
MIL Investec Global Energy Fund,2012/07/19,USD,0.9560,0.9560
MIL Investec Global Energy Fund,2012/07/20,USD,0.9540,0.9540
MIL Investec Global Energy Fund,2012/07/23,USD,0.9560,0.9560
MIL Investec Global Energy Fund,2012/07/24,USD,0.9410,0.9410
MIL Investec Global Energy Fund,2012/07/25,USD,0.9430,0.9430
MIL Investec Global Energy Fund,2012/07/26,USD,0.9660,0.9660
MIL Investec Global Energy Fund,2012/07/27,USD,0.9900,0.9900
MIL Investec Global Energy Fund,2012/07/30,USD,0.9930,0.9930
MIL Investec Global Energy Fund,2012/07/31,USD,0.9830,0.9830
MIL Investec Global Energy Fund,2012/08/01,USD,0.9880,0.9880
MIL Investec Global Energy Fund,2012/08/02,USD,0.9660,0.9660
MIL Investec Global Energy Fund,2012/08/03,USD,0.9920,0.9920
MIL Investec Global Energy Fund,2012/08/06,USD,1.0000,1.0000
MIL Investec Global Energy Fund,2012/08/07,USD,1.0210,1.0210
MIL Investec Global Energy Fund,2012/08/08,USD,1.0200,1.0200
MIL Investec Global Energy Fund,2012/08/09,USD,1.0280,1.0280
MIL Investec Global Energy Fund,2012/08/10,USD,1.0250,1.0250
MIL Investec Global Energy Fund,2012/08/13,USD,1.0170,1.0170
MIL Investec Global Energy Fund,2012/08/14,USD,1.0190,1.0190
MIL Investec Global Energy Fund,2012/08/15,USD,1.0180,1.0180
MIL Investec Global Energy Fund,2012/08/16,USD,1.0310,1.0310
MIL Investec Global Energy Fund,2012/08/17,USD,1.0310,1.0310
MIL Investec Global Energy Fund,2012/08/20,USD,1.0300,1.0300
MIL Investec Global Energy Fund,2012/08/21,USD,1.0320,1.0320
MIL Investec Global Energy Fund,2012/08/22,USD,1.0300,1.0300
MIL Investec Global Energy Fund,2012/08/23,USD,1.0170,1.0170
MIL Investec Global Energy Fund,2012/08/24,USD,1.0190,1.0190
MIL Investec Global Energy Fund,2012/08/27,USD,1.0190,1.0190
MIL Investec Global Energy Fund,2012/08/28,USD,1.0160,1.0160
MIL Investec Global Energy Fund,2012/08/29,USD,1.0100,1.0100
MIL Investec Global Energy Fund,2012/08/30,USD,0.9980,0.9980
MIL Investec Global Energy Fund,2012/08/31,USD,1.0070,1.0070
MIL Investec Global Energy Fund,2012/09/03,USD,1.0080,1.0080
MIL Investec Global Energy Fund,2012/09/04,USD,1.0000,1.0000
MIL Investec Global Energy Fund,2012/09/05,USD,0.9990,0.9990
MIL Investec Global Energy Fund,2012/09/06,USD,1.0220,1.0220
MIL Investec Global Energy Fund,2012/09/07,USD,1.0420,1.0420
MIL Investec Global Energy Fund,2012/09/10,USD,1.0360,1.0360
MIL Investec Global Energy Fund,2012/09/11,USD,1.0520,1.0520
MIL Investec Global Energy Fund,2012/09/12,USD,1.0570,1.0570
MIL Investec Global Energy Fund,2012/09/13,USD,1.0760,1.0760
MIL Investec Global Energy Fund,2012/09/14,USD,1.0960,1.0960
MIL Investec Global Energy Fund,2012/09/17,USD,1.0840,1.0840
MIL Investec Global Energy Fund,2012/09/18,USD,1.0710,1.0710
MIL Investec Global Energy Fund,2012/09/19,USD,1.0630,1.0630
MIL Investec Global Energy Fund,2012/09/20,USD,1.0560,1.0560
MIL Investec Global Energy Fund,2012/09/21,USD,1.0590,1.0590
MIL Investec Global Energy Fund,2012/09/24,USD,1.0470,1.0470
MIL Investec Global Energy Fund,2012/09/25,USD,1.0350,1.0350
MIL Investec Global Energy Fund,2012/09/26,USD,1.0230,1.0230
MIL Investec Global Energy Fund,2012/09/27,USD,1.0360,1.0360
MIL Investec Global Energy Fund,2012/09/28,USD,1.0260,1.0260
MIL Investec Global Energy Fund,2012/10/03,USD,1.0240,1.0240
MIL Investec Global Energy Fund,2012/10/04,USD,1.0340,1.0340
MIL Investec Global Energy Fund,2012/10/05,USD,1.0290,1.0290
MIL Investec Global Energy Fund,2012/10/08,USD,1.0290,1.0290
MIL Investec Global Energy Fund,2012/10/09,USD,1.0320,1.0320
MIL Investec Global Energy Fund,2012/10/10,USD,1.0210,1.0210
MIL Investec Global Energy Fund,2012/10/11,USD,1.0330,1.0330
MIL Investec Global Energy Fund,2012/10/12,USD,1.0270,1.0270
MIL Investec Global Energy Fund,2012/10/15,USD,1.0300,1.0300
MIL Investec Global Energy Fund,2012/10/16,USD,1.0450,1.0450
MIL Investec Global Energy Fund,2012/10/17,USD,1.0590,1.0590
MIL Investec Global Energy Fund,2012/10/18,USD,1.0600,1.0600
MIL Investec Global Energy Fund,2012/10/19,USD,1.0460,1.0460
MIL Investec Global Energy Fund,2012/10/22,USD,1.0380,1.0380
MIL Investec Global Energy Fund,2012/10/24,USD,1.0020,1.0020
MIL Investec Global Energy Fund,2012/10/25,USD,1.0080,1.0080
MIL Investec Global Energy Fund,2012/10/26,USD,1.0050,1.0050
MIL Investec Global Energy Fund,2012/10/29,USD,0.9980,0.9980
MIL Investec Global Energy Fund,2012/10/30,USD,1.0090,1.0090
MIL Investec Global Energy Fund,2012/10/31,USD,1.0010,1.0010
MIL Investec Global Energy Fund,2012/11/01,USD,1.0010,1.0010
MIL Investec Global Energy Fund,2012/11/02,USD,1.0030,1.0030
MIL Investec Global Energy Fund,2012/11/05,USD,1.0060,1.0060
MIL Investec Global Energy Fund,2012/11/06,USD,1.0180,1.0180
MIL Investec Global Energy Fund,2012/11/07,USD,0.9890,0.9890
MIL Investec Global Energy Fund,2012/11/08,USD,0.9720,0.9720
MIL Investec Global Energy Fund,2012/11/09,USD,0.9760,0.9760
