Name of Investment Choice,Date,Currency,Purchase Price,Unit Sell Price
MIL Global Fund ‡,,,,
MIL Global Fund ‡,2007/01/15,USD,1.0000,1.0000
MIL Global Fund ‡,2007/01/16,USD,1.0000,1.0000
MIL Global Fund ‡,2007/01/17,USD,1.0000,1.0000
MIL Global Fund ‡,2007/01/18,USD,1.0000,1.0000
MIL Global Fund ‡,2007/01/19,USD,1.0000,1.0000
MIL Global Fund ‡,2007/01/22,USD,1.0000,1.0000
MIL Global Fund ‡,2007/01/23,USD,1.0000,1.0000
MIL Global Fund ‡,2007/01/24,USD,1.0000,1.0000
MIL Global Fund ‡,2007/01/25,USD,1.0000,1.0000
MIL Global Fund ‡,2007/01/26,USD,1.0000,1.0000
MIL Global Fund ‡,2007/01/29,USD,1.0000,1.0000
MIL Global Fund ‡,2007/01/30,USD,1.0000,1.0000
MIL Global Fund ‡,2007/01/31,USD,1.0030,1.0030
MIL Global Fund ‡,2007/02/01,USD,1.0130,1.0130
MIL Global Fund ‡,2007/02/02,USD,1.0140,1.0140
MIL Global Fund ‡,2007/02/05,USD,1.0120,1.0120
MIL Global Fund ‡,2007/02/06,USD,1.0160,1.0160
MIL Global Fund ‡,2007/02/07,USD,1.0190,1.0190
MIL Global Fund ‡,2007/02/08,USD,1.0160,1.0160
MIL Global Fund ‡,2007/02/09,USD,1.0140,1.0140
MIL Global Fund ‡,2007/02/12,USD,1.0090,1.0090
MIL Global Fund ‡,2007/02/13,USD,1.0130,1.0130
MIL Global Fund ‡,2007/02/14,USD,1.0180,1.0180
MIL Global Fund ‡,2007/02/15,USD,1.0210,1.0210
MIL Global Fund ‡,2007/02/16,USD,1.0210,1.0210
MIL Global Fund ‡,2007/02/21,USD,1.0180,1.0180
MIL Global Fund ‡,2007/02/22,USD,1.0180,1.0180
MIL Global Fund ‡,2007/02/23,USD,1.0190,1.0190
MIL Global Fund ‡,2007/02/26,USD,1.0210,1.0210
MIL Global Fund ‡,2007/02/27,USD,1.0050,1.0050
MIL Global Fund ‡,2007/02/28,USD,1.0000,1.0000
MIL Global Fund ‡,2007/03/01,USD,0.9950,0.9950
MIL Global Fund ‡,2007/03/02,USD,0.9880,0.9880
MIL Global Fund ‡,2007/03/05,USD,0.9730,0.9730
MIL Global Fund ‡,2007/03/06,USD,0.9830,0.9830
MIL Global Fund ‡,2007/03/07,USD,0.9860,0.9860
MIL Global Fund ‡,2007/03/08,USD,0.9920,0.9920
MIL Global Fund ‡,2007/03/09,USD,0.9940,0.9940
MIL Global Fund ‡,2007/03/12,USD,0.9960,0.9960
MIL Global Fund ‡,2007/03/13,USD,0.9870,0.9870
MIL Global Fund ‡,2007/03/14,USD,0.9820,0.9820
MIL Global Fund ‡,2007/03/15,USD,0.9910,0.9910
MIL Global Fund ‡,2007/03/16,USD,0.9900,0.9900
MIL Global Fund ‡,2007/03/19,USD,1.0000,1.0000
MIL Global Fund ‡,2007/03/20,USD,1.0070,1.0070
MIL Global Fund ‡,2007/03/21,USD,1.0110,1.0110
MIL Global Fund ‡,2007/03/22,USD,1.0150,1.0150
MIL Global Fund ‡,2007/03/23,USD,1.0170,1.0170
MIL Global Fund ‡,2007/03/26,USD,1.0150,1.0150
MIL Global Fund ‡,2007/03/27,USD,1.0110,1.0110
MIL Global Fund ‡,2007/03/28,USD,1.0060,1.0060
MIL Global Fund ‡,2007/03/29,USD,1.0090,1.0090
MIL Global Fund ‡,2007/03/30,USD,1.0090,1.0090
MIL Global Fund ‡,2007/04/02,USD,1.0090,1.0090
MIL Global Fund ‡,2007/04/03,USD,1.0190,1.0190
MIL Global Fund ‡,2007/04/04,USD,1.0230,1.0230
MIL Global Fund ‡,2007/04/10,USD,1.0310,1.0310
MIL Global Fund ‡,2007/04/11,USD,1.0290,1.0290
MIL Global Fund ‡,2007/04/12,USD,1.0320,1.0320
MIL Global Fund ‡,2007/04/13,USD,1.0330,1.0330
MIL Global Fund ‡,2007/04/16,USD,1.0440,1.0440
MIL Global Fund ‡,2007/04/17,USD,1.0450,1.0450
MIL Global Fund ‡,2007/04/18,USD,1.0470,1.0470
MIL Global Fund ‡,2007/04/19,USD,1.0410,1.0410
MIL Global Fund ‡,2007/04/20,USD,1.0490,1.0490
MIL Global Fund ‡,2007/04/23,USD,1.0480,1.0480
MIL Global Fund ‡,2007/04/24,USD,1.0450,1.0450
MIL Global Fund ‡,2007/04/25,USD,1.0500,1.0500
MIL Global Fund ‡,2007/04/26,USD,1.0490,1.0490
MIL Global Fund ‡,2007/04/27,USD,1.0480,1.0480
MIL Global Fund ‡,2007/04/30,USD,1.0430,1.0430
MIL Global Fund ‡,2007/05/02,USD,1.0490,1.0490
MIL Global Fund ‡,2007/05/03,USD,1.0520,1.0520
MIL Global Fund ‡,2007/05/04,USD,1.0580,1.0580
MIL Global Fund ‡,2007/05/07,USD,1.0610,1.0610
MIL Global Fund ‡,2007/05/08,USD,1.0550,1.0550
MIL Global Fund ‡,2007/05/09,USD,1.0590,1.0590
MIL Global Fund ‡,2007/05/10,USD,1.0480,1.0480
MIL Global Fund ‡,2007/05/11,USD,1.0530,1.0530
MIL Global Fund ‡,2007/05/14,USD,1.0510,1.0510
MIL Global Fund ‡,2007/05/15,USD,1.0530,1.0530
MIL Global Fund ‡,2007/05/16,USD,1.0550,1.0550
MIL Global Fund ‡,2007/05/17,USD,1.0540,1.0540
MIL Global Fund ‡,2007/05/18,USD,1.0590,1.0590
MIL Global Fund ‡,2007/05/21,USD,1.0600,1.0600
MIL Global Fund ‡,2007/05/22,USD,1.0610,1.0610
MIL Global Fund ‡,2007/05/23,USD,1.0640,1.0640
MIL Global Fund ‡,2007/05/25,USD,1.0550,1.0550
MIL Global Fund ‡,2007/05/28,USD,1.0560,1.0560
MIL Global Fund ‡,2007/05/29,USD,1.0590,1.0590
MIL Global Fund ‡,2007/05/30,USD,1.0590,1.0590
MIL Global Fund ‡,2007/05/31,USD,1.0660,1.0660
MIL Global Fund ‡,2007/06/01,USD,1.0710,1.0710
MIL Global Fund ‡,2007/06/04,USD,1.0710,1.0710
MIL Global Fund ‡,2007/06/05,USD,1.0690,1.0690
MIL Global Fund ‡,2007/06/06,USD,1.0590,1.0590
MIL Global Fund ‡,2007/06/07,USD,1.0450,1.0450
MIL Global Fund ‡,2007/06/08,USD,1.0440,1.0440
MIL Global Fund ‡,2007/06/11,USD,1.0470,1.0470
MIL Global Fund ‡,2007/06/12,USD,1.0410,1.0410
MIL Global Fund ‡,2007/06/13,USD,1.0470,1.0470
MIL Global Fund ‡,2007/06/14,USD,1.0570,1.0570
MIL Global Fund ‡,2007/06/15,USD,1.0660,1.0660
MIL Global Fund ‡,2007/06/18,USD,1.0670,1.0670
MIL Global Fund ‡,2007/06/20,USD,1.0620,1.0620
MIL Global Fund ‡,2007/06/21,USD,1.0610,1.0610
MIL Global Fund ‡,2007/06/22,USD,1.0540,1.0540
MIL Global Fund ‡,2007/06/25,USD,1.0510,1.0510
MIL Global Fund ‡,2007/06/26,USD,1.0480,1.0480
MIL Global Fund ‡,2007/06/27,USD,1.0490,1.0490
MIL Global Fund ‡,2007/06/28,USD,1.0540,1.0540
MIL Global Fund ‡,2007/06/29,USD,1.0570,1.0570
MIL Global Fund ‡,2007/07/03,USD,1.0700,1.0700
MIL Global Fund ‡,2007/07/04,USD,1.0730,1.0730
MIL Global Fund ‡,2007/07/05,USD,1.0710,1.0710
MIL Global Fund ‡,2007/07/06,USD,1.0750,1.0750
MIL Global Fund ‡,2007/07/09,USD,1.0790,1.0790
MIL Global Fund ‡,2007/07/10,USD,1.0710,1.0710
MIL Global Fund ‡,2007/07/11,USD,1.0720,1.0720
MIL Global Fund ‡,2007/07/12,USD,1.0850,1.0850
MIL Global Fund ‡,2007/07/13,USD,1.0910,1.0910
MIL Global Fund ‡,2007/07/16,USD,1.0880,1.0880
MIL Global Fund ‡,2007/07/17,USD,1.0860,1.0860
MIL Global Fund ‡,2007/07/18,USD,1.0800,1.0800
MIL Global Fund ‡,2007/07/19,USD,1.0870,1.0870
MIL Global Fund ‡,2007/07/20,USD,1.0790,1.0790
MIL Global Fund ‡,2007/07/23,USD,1.0840,1.0840
MIL Global Fund ‡,2007/07/24,USD,1.0720,1.0720
MIL Global Fund ‡,2007/07/25,USD,1.0650,1.0650
MIL Global Fund ‡,2007/07/26,USD,1.0410,1.0410
MIL Global Fund ‡,2007/07/27,USD,1.0260,1.0260
MIL Global Fund ‡,2007/07/30,USD,1.0310,1.0310
MIL Global Fund ‡,2007/07/31,USD,1.0320,1.0320
MIL Global Fund ‡,2007/08/01,USD,1.0250,1.0250
MIL Global Fund ‡,2007/08/02,USD,1.0300,1.0300
MIL Global Fund ‡,2007/08/03,USD,1.0160,1.0160
MIL Global Fund ‡,2007/08/06,USD,1.0230,1.0230
MIL Global Fund ‡,2007/08/07,USD,1.0280,1.0280
MIL Global Fund ‡,2007/08/08,USD,1.0410,1.0410
MIL Global Fund ‡,2007/08/09,USD,1.0190,1.0190
MIL Global Fund ‡,2007/08/10,USD,1.0080,1.0080
MIL Global Fund ‡,2007/08/13,USD,1.0160,1.0160
MIL Global Fund ‡,2007/08/14,USD,1.0010,1.0010
MIL Global Fund ‡,2007/08/15,USD,0.9840,0.9840
MIL Global Fund ‡,2007/08/16,USD,0.9700,0.9700
MIL Global Fund ‡,2007/08/17,USD,0.9830,0.9830
MIL Global Fund ‡,2007/08/20,USD,0.9900,0.9900
MIL Global Fund ‡,2007/08/21,USD,0.9910,0.9910
MIL Global Fund ‡,2007/08/22,USD,1.0050,1.0050
MIL Global Fund ‡,2007/08/23,USD,1.0120,1.0120
MIL Global Fund ‡,2007/08/24,USD,1.0190,1.0190
MIL Global Fund ‡,2007/08/27,USD,1.0170,1.0170
MIL Global Fund ‡,2007/08/28,USD,1.0010,1.0010
MIL Global Fund ‡,2007/08/29,USD,1.0110,1.0110
MIL Global Fund ‡,2007/08/30,USD,1.0110,1.0110
MIL Global Fund ‡,2007/08/31,USD,1.0270,1.0270
MIL Global Fund ‡,2007/09/03,USD,1.0270,1.0270
MIL Global Fund ‡,2007/09/04,USD,1.0350,1.0350
MIL Global Fund ‡,2007/09/05,USD,1.0250,1.0250
MIL Global Fund ‡,2007/09/06,USD,1.0280,1.0280
MIL Global Fund ‡,2007/09/07,USD,1.0160,1.0160
MIL Global Fund ‡,2007/09/10,USD,1.0080,1.0080
MIL Global Fund ‡,2007/09/11,USD,1.0240,1.0240
MIL Global Fund ‡,2007/09/12,USD,1.0250,1.0250
MIL Global Fund ‡,2007/09/13,USD,1.0300,1.0300
MIL Global Fund ‡,2007/09/14,USD,1.0290,1.0290
MIL Global Fund ‡,2007/09/17,USD,1.0190,1.0190
MIL Global Fund ‡,2007/09/18,USD,1.0330,1.0330
MIL Global Fund ‡,2007/09/19,USD,1.0560,1.0560
MIL Global Fund ‡,2007/09/20,USD,1.0560,1.0560
MIL Global Fund ‡,2007/09/21,USD,1.0570,1.0570
MIL Global Fund ‡,2007/09/24,USD,1.0530,1.0530
MIL Global Fund ‡,2007/09/25,USD,1.0530,1.0530
MIL Global Fund ‡,2007/09/27,USD,1.0690,1.0690
MIL Global Fund ‡,2007/09/28,USD,1.0720,1.0720
MIL Global Fund ‡,2007/10/02,USD,1.0800,1.0800
MIL Global Fund ‡,2007/10/03,USD,1.0780,1.0780
MIL Global Fund ‡,2007/10/04,USD,1.0780,1.0780
MIL Global Fund ‡,2007/10/05,USD,1.0880,1.0880
MIL Global Fund ‡,2007/10/08,USD,1.0830,1.0830
MIL Global Fund ‡,2007/10/09,USD,1.0910,1.0910
MIL Global Fund ‡,2007/10/10,USD,1.0950,1.0950
MIL Global Fund ‡,2007/10/11,USD,1.0970,1.0970
MIL Global Fund ‡,2007/10/12,USD,1.0970,1.0970
MIL Global Fund ‡,2007/10/15,USD,1.0890,1.0890
MIL Global Fund ‡,2007/10/16,USD,1.0780,1.0780
MIL Global Fund ‡,2007/10/17,USD,1.0810,1.0810
MIL Global Fund ‡,2007/10/18,USD,1.0830,1.0830
MIL Global Fund ‡,2007/10/22,USD,1.0570,1.0570
MIL Global Fund ‡,2007/10/23,USD,1.0670,1.0670
MIL Global Fund ‡,2007/10/24,USD,1.0600,1.0600
MIL Global Fund ‡,2007/10/25,USD,1.0640,1.0640
MIL Global Fund ‡,2007/10/26,USD,1.0800,1.0800
MIL Global Fund ‡,2007/10/29,USD,1.0900,1.0900
MIL Global Fund ‡,2007/10/30,USD,1.0840,1.0840
MIL Global Fund ‡,2007/10/31,USD,1.0960,1.0960
MIL Global Fund ‡,2007/11/01,USD,1.0770,1.0770
MIL Global Fund ‡,2007/11/02,USD,1.0680,1.0680
MIL Global Fund ‡,2007/11/05,USD,1.0580,1.0580
MIL Global Fund ‡,2007/11/06,USD,1.0670,1.0670
MIL Global Fund ‡,2007/11/07,USD,1.0520,1.0520
MIL Global Fund ‡,2007/11/08,USD,1.0460,1.0460
MIL Global Fund ‡,2007/11/09,USD,1.0360,1.0360
MIL Global Fund ‡,2007/11/12,USD,1.0210,1.0210
MIL Global Fund ‡,2007/11/13,USD,1.0350,1.0350
MIL Global Fund ‡,2007/11/14,USD,1.0410,1.0410
MIL Global Fund ‡,2007/11/15,USD,1.0290,1.0290
MIL Global Fund ‡,2007/11/16,USD,1.0260,1.0260
MIL Global Fund ‡,2007/11/19,USD,1.0080,1.0080
MIL Global Fund ‡,2007/11/20,USD,1.0150,1.0150
MIL Global Fund ‡,2007/11/21,USD,0.9970,0.9970
MIL Global Fund ‡,2007/11/22,USD,0.9980,0.9980
MIL Global Fund ‡,2007/11/23,USD,1.0100,1.0100
MIL Global Fund ‡,2007/11/26,USD,1.0040,1.0040
MIL Global Fund ‡,2007/11/27,USD,1.0080,1.0080
MIL Global Fund ‡,2007/11/28,USD,1.0270,1.0270
MIL Global Fund ‡,2007/11/29,USD,1.0330,1.0330
MIL Global Fund ‡,2007/11/30,USD,1.0400,1.0400
MIL Global Fund ‡,2007/12/03,USD,1.0330,1.0330
MIL Global Fund ‡,2007/12/04,USD,1.0260,1.0260
MIL Global Fund ‡,2007/12/05,USD,1.0340,1.0340
MIL Global Fund ‡,2007/12/06,USD,1.0430,1.0430
MIL Global Fund ‡,2007/12/07,USD,1.0470,1.0470
MIL Global Fund ‡,2007/12/10,USD,1.0540,1.0540
MIL Global Fund ‡,2007/12/11,USD,1.0430,1.0430
MIL Global Fund ‡,2007/12/12,USD,1.0450,1.0450
MIL Global Fund ‡,2007/12/13,USD,1.0320,1.0320
MIL Global Fund ‡,2007/12/14,USD,1.0190,1.0190
MIL Global Fund ‡,2007/12/17,USD,0.9990,0.9990
MIL Global Fund ‡,2007/12/18,USD,1.0000,1.0000
MIL Global Fund ‡,2007/12/19,USD,0.9960,0.9960
MIL Global Fund ‡,2007/12/20,USD,0.9990,0.9990
MIL Global Fund ‡,2007/12/21,USD,1.0130,1.0130
MIL Global Fund ‡,2007/12/24,USD,1.0190,1.0190
MIL Global Fund ‡,2007/12/27,USD,1.0200,1.0200
MIL Global Fund ‡,2007/12/28,USD,1.0240,1.0240
MIL Global Fund ‡,2007/12/31,USD,1.0200,1.0200
MIL Global Fund ‡,2008/01/02,USD,1.0130,1.0130
MIL Global Fund ‡,2008/01/03,USD,1.0090,1.0090
MIL Global Fund ‡,2008/01/04,USD,0.9900,0.9900
MIL Global Fund ‡,2008/01/07,USD,0.9850,0.9850
MIL Global Fund ‡,2008/01/08,USD,0.9790,0.9790
MIL Global Fund ‡,2008/01/09,USD,0.9830,0.9830
MIL Global Fund ‡,2008/01/10,USD,0.9800,0.9800
MIL Global Fund ‡,2008/01/11,USD,0.9720,0.9720
MIL Global Fund ‡,2008/01/14,USD,0.9790,0.9790
MIL Global Fund ‡,2008/01/15,USD,0.9570,0.9570
MIL Global Fund ‡,2008/01/16,USD,0.9420,0.9420
