Investment choice name,Date,Currency,NAV / unit
MIL Ninety One Global Gold Fund +++,2012-04-30,USD,1.0000
MIL Ninety One Global Gold Fund +++,2012-05-02,USD,1.0000
MIL Ninety One Global Gold Fund +++,2012-05-03,USD,1.0000
MIL Ninety One Global Gold Fund +++,2012-05-04,USD,1.0000
MIL Ninety One Global Gold Fund +++,2012-05-07,USD,1.0000
MIL Ninety One Global Gold Fund +++,2012-05-08,USD,0.9960
MIL Ninety One Global Gold Fund +++,2012-05-09,USD,1.0020
MIL Ninety One Global Gold Fund +++,2012-05-10,USD,1.0070
MIL Ninety One Global Gold Fund +++,2012-05-11,USD,0.9990
MIL Ninety One Global Gold Fund +++,2012-05-14,USD,0.9760
MIL Ninety One Global Gold Fund +++,2012-05-15,USD,0.9600
MIL Ninety One Global Gold Fund +++,2012-05-16,USD,0.9570
MIL Ninety One Global Gold Fund +++,2012-05-17,USD,0.9570
MIL Ninety One Global Gold Fund +++,2012-05-18,USD,0.9930
MIL Ninety One Global Gold Fund +++,2012-05-21,USD,1.0070
MIL Ninety One Global Gold Fund +++,2012-05-22,USD,1.0110
MIL Ninety One Global Gold Fund +++,2012-05-23,USD,1.0200
MIL Ninety One Global Gold Fund +++,2012-05-24,USD,1.0280
MIL Ninety One Global Gold Fund +++,2012-05-25,USD,1.0330
MIL Ninety One Global Gold Fund +++,2012-05-28,USD,1.0330
MIL Ninety One Global Gold Fund +++,2012-05-29,USD,1.0280
MIL Ninety One Global Gold Fund +++,2012-05-30,USD,1.0190
MIL Ninety One Global Gold Fund +++,2012-05-31,USD,1.0180
MIL Ninety One Global Gold Fund +++,2012-06-01,USD,1.0710
MIL Ninety One Global Gold Fund +++,2012-06-04,USD,1.0700
MIL Ninety One Global Gold Fund +++,2012-06-05,USD,1.0700
MIL Ninety One Global Gold Fund +++,2012-06-06,USD,1.1150
MIL Ninety One Global Gold Fund +++,2012-06-07,USD,1.0890
MIL Ninety One Global Gold Fund +++,2012-06-08,USD,1.0850
MIL Ninety One Global Gold Fund +++,2012-06-11,USD,1.0770
MIL Ninety One Global Gold Fund +++,2012-06-12,USD,1.0950
MIL Ninety One Global Gold Fund +++,2012-06-13,USD,1.0980
MIL Ninety One Global Gold Fund +++,2012-06-14,USD,1.0940
MIL Ninety One Global Gold Fund +++,2012-06-15,USD,1.0950
MIL Ninety One Global Gold Fund +++,2012-06-18,USD,1.1110
MIL Ninety One Global Gold Fund +++,2012-06-19,USD,1.1170
MIL Ninety One Global Gold Fund +++,2012-06-20,USD,1.1060
MIL Ninety One Global Gold Fund +++,2012-06-21,USD,1.0540
MIL Ninety One Global Gold Fund +++,2012-06-22,USD,1.0400
MIL Ninety One Global Gold Fund +++,2012-06-25,USD,1.0480
