Name of Investment Choice,Date,Currency,Purchase Price,Unit Sell Price
MIL Growth Fund ‡,2007/01/15,USD,1.0000,1.0000
MIL Growth Fund ‡,2007/01/16,USD,1.0000,1.0000
MIL Growth Fund ‡,2007/01/17,USD,1.0000,1.0000
MIL Growth Fund ‡,2007/01/18,USD,1.0000,1.0000
MIL Growth Fund ‡,2007/01/19,USD,1.0000,1.0000
MIL Growth Fund ‡,2007/01/22,USD,1.0000,1.0000
MIL Growth Fund ‡,2007/01/23,USD,1.0000,1.0000
MIL Growth Fund ‡,2007/01/24,USD,1.0000,1.0000
MIL Growth Fund ‡,2007/01/25,USD,1.0000,1.0000
MIL Growth Fund ‡,2007/01/26,USD,1.0000,1.0000
MIL Growth Fund ‡,2007/01/29,USD,1.0000,1.0000
MIL Growth Fund ‡,2007/01/30,USD,1.0000,1.0000
MIL Growth Fund ‡,2007/01/31,USD,1.0000,1.0000
MIL Growth Fund ‡,2007/02/01,USD,1.0000,1.0000
MIL Growth Fund ‡,2007/02/02,USD,1.0000,1.0000
MIL Growth Fund ‡,2007/02/05,USD,1.0000,1.0000
MIL Growth Fund ‡,2007/02/06,USD,1.0000,1.0000
MIL Growth Fund ‡,2007/02/07,USD,1.0000,1.0000
MIL Growth Fund ‡,2007/02/08,USD,1.0000,1.0000
MIL Growth Fund ‡,2007/02/09,USD,1.0000,1.0000
MIL Growth Fund ‡,2007/02/12,USD,0.9980,0.9980
MIL Growth Fund ‡,2007/02/13,USD,0.9980,0.9980
MIL Growth Fund ‡,2007/02/14,USD,1.0020,1.0020
MIL Growth Fund ‡,2007/02/15,USD,1.0060,1.0060
MIL Growth Fund ‡,2007/02/16,USD,1.0060,1.0060
MIL Growth Fund ‡,2007/02/21,USD,1.0030,1.0030
MIL Growth Fund ‡,2007/02/22,USD,1.0060,1.0060
MIL Growth Fund ‡,2007/02/23,USD,1.0080,1.0080
MIL Growth Fund ‡,2007/02/26,USD,1.0080,1.0080
MIL Growth Fund ‡,2007/02/27,USD,1.0030,1.0030
MIL Growth Fund ‡,2007/02/28,USD,0.9890,0.9890
MIL Growth Fund ‡,2007/03/01,USD,0.9830,0.9830
MIL Growth Fund ‡,2007/03/02,USD,0.9810,0.9810
MIL Growth Fund ‡,2007/03/05,USD,0.9650,0.9650
MIL Growth Fund ‡,2007/03/06,USD,0.9740,0.9740
MIL Growth Fund ‡,2007/03/07,USD,0.9760,0.9760
MIL Growth Fund ‡,2007/03/08,USD,0.9810,0.9810
MIL Growth Fund ‡,2007/03/09,USD,0.9820,0.9820
MIL Growth Fund ‡,2007/03/12,USD,0.9880,0.9880
MIL Growth Fund ‡,2007/03/13,USD,0.9830,0.9830
MIL Growth Fund ‡,2007/03/14,USD,0.9710,0.9710
MIL Growth Fund ‡,2007/03/15,USD,0.9770,0.9770
MIL Growth Fund ‡,2007/03/16,USD,0.9770,0.9770
MIL Growth Fund ‡,2007/03/19,USD,0.9830,0.9830
MIL Growth Fund ‡,2007/03/20,USD,0.9870,0.9870
MIL Growth Fund ‡,2007/03/21,USD,0.9910,0.9910
MIL Growth Fund ‡,2007/03/22,USD,0.9990,0.9990
MIL Growth Fund ‡,2007/03/23,USD,0.9990,0.9990
MIL Growth Fund ‡,2007/03/26,USD,1.0000,1.0000
MIL Growth Fund ‡,2007/03/27,USD,0.9980,0.9980
MIL Growth Fund ‡,2007/03/28,USD,0.9950,0.9950
MIL Growth Fund ‡,2007/03/29,USD,0.9970,0.9970
MIL Growth Fund ‡,2007/03/30,USD,0.9980,0.9980
MIL Growth Fund ‡,2007/04/02,USD,0.9980,0.9980
MIL Growth Fund ‡,2007/04/03,USD,1.0030,1.0030
MIL Growth Fund ‡,2007/04/04,USD,1.0080,1.0080
MIL Growth Fund ‡,2007/04/10,USD,1.0130,1.0130
MIL Growth Fund ‡,2007/04/11,USD,1.0140,1.0140
MIL Growth Fund ‡,2007/04/12,USD,1.0130,1.0130
MIL Growth Fund ‡,2007/04/13,USD,1.0120,1.0120
MIL Growth Fund ‡,2007/04/16,USD,1.0210,1.0210
MIL Growth Fund ‡,2007/04/17,USD,1.0220,1.0220
MIL Growth Fund ‡,2007/04/18,USD,1.0240,1.0240
MIL Growth Fund ‡,2007/04/19,USD,1.0160,1.0160
MIL Growth Fund ‡,2007/04/20,USD,1.0220,1.0220
MIL Growth Fund ‡,2007/04/23,USD,1.0220,1.0220
MIL Growth Fund ‡,2007/04/24,USD,1.0210,1.0210
MIL Growth Fund ‡,2007/04/25,USD,1.0220,1.0220
MIL Growth Fund ‡,2007/04/26,USD,1.0220,1.0220
MIL Growth Fund ‡,2007/04/27,USD,1.0200,1.0200
MIL Growth Fund ‡,2007/04/30,USD,1.0170,1.0170
MIL Growth Fund ‡,2007/05/02,USD,1.0180,1.0180
MIL Growth Fund ‡,2007/05/03,USD,1.0220,1.0220
MIL Growth Fund ‡,2007/05/04,USD,1.0270,1.0270
MIL Growth Fund ‡,2007/05/07,USD,1.0300,1.0300
MIL Growth Fund ‡,2007/05/08,USD,1.0250,1.0250
MIL Growth Fund ‡,2007/05/09,USD,1.0290,1.0290
MIL Growth Fund ‡,2007/05/10,USD,1.0250,1.0250
MIL Growth Fund ‡,2007/05/11,USD,1.0220,1.0220
MIL Growth Fund ‡,2007/05/14,USD,1.0280,1.0280
MIL Growth Fund ‡,2007/05/15,USD,1.0270,1.0270
MIL Growth Fund ‡,2007/05/16,USD,1.0280,1.0280
MIL Growth Fund ‡,2007/05/17,USD,1.0270,1.0270
MIL Growth Fund ‡,2007/05/18,USD,1.0260,1.0260
MIL Growth Fund ‡,2007/05/21,USD,1.0270,1.0270
MIL Growth Fund ‡,2007/05/22,USD,1.0280,1.0280
MIL Growth Fund ‡,2007/05/23,USD,1.0310,1.0310
MIL Growth Fund ‡,2007/05/25,USD,1.0220,1.0220
MIL Growth Fund ‡,2007/05/28,USD,1.0230,1.0230
MIL Growth Fund ‡,2007/05/29,USD,1.0250,1.0250
MIL Growth Fund ‡,2007/05/30,USD,1.0200,1.0200
MIL Growth Fund ‡,2007/05/31,USD,1.0290,1.0290
MIL Growth Fund ‡,2007/06/01,USD,1.0310,1.0310
MIL Growth Fund ‡,2007/06/04,USD,1.0340,1.0340
MIL Growth Fund ‡,2007/06/05,USD,1.0350,1.0350
MIL Growth Fund ‡,2007/06/06,USD,1.0320,1.0320
MIL Growth Fund ‡,2007/06/07,USD,1.0250,1.0250
MIL Growth Fund ‡,2007/06/08,USD,1.0180,1.0180
MIL Growth Fund ‡,2007/06/11,USD,1.0200,1.0200
MIL Growth Fund ‡,2007/06/12,USD,1.0170,1.0170
MIL Growth Fund ‡,2007/06/13,USD,1.0160,1.0160
MIL Growth Fund ‡,2007/06/14,USD,1.0240,1.0240
MIL Growth Fund ‡,2007/06/15,USD,1.0300,1.0300
MIL Growth Fund ‡,2007/06/18,USD,1.0370,1.0370
MIL Growth Fund ‡,2007/06/20,USD,1.0380,1.0380
MIL Growth Fund ‡,2007/06/21,USD,1.0400,1.0400
MIL Growth Fund ‡,2007/06/22,USD,1.0380,1.0380
MIL Growth Fund ‡,2007/06/25,USD,1.0350,1.0350
MIL Growth Fund ‡,2007/06/26,USD,1.0340,1.0340
MIL Growth Fund ‡,2007/06/27,USD,1.0310,1.0310
MIL Growth Fund ‡,2007/06/28,USD,1.0360,1.0360
MIL Growth Fund ‡,2007/06/29,USD,1.0380,1.0380
MIL Growth Fund ‡,2007/07/03,USD,1.0500,1.0500
MIL Growth Fund ‡,2007/07/04,USD,1.0530,1.0530
MIL Growth Fund ‡,2007/07/05,USD,1.0530,1.0530
MIL Growth Fund ‡,2007/07/06,USD,1.0570,1.0570
MIL Growth Fund ‡,2007/07/09,USD,1.0640,1.0640
MIL Growth Fund ‡,2007/07/10,USD,1.0650,1.0650
MIL Growth Fund ‡,2007/07/11,USD,1.0620,1.0620
MIL Growth Fund ‡,2007/07/12,USD,1.0670,1.0670
MIL Growth Fund ‡,2007/07/13,USD,1.0740,1.0740
MIL Growth Fund ‡,2007/07/16,USD,1.0710,1.0710
MIL Growth Fund ‡,2007/07/17,USD,1.0710,1.0710
MIL Growth Fund ‡,2007/07/18,USD,1.0670,1.0670
MIL Growth Fund ‡,2007/07/19,USD,1.0740,1.0740
MIL Growth Fund ‡,2007/07/20,USD,1.0770,1.0770
MIL Growth Fund ‡,2007/07/23,USD,1.0800,1.0800
MIL Growth Fund ‡,2007/07/24,USD,1.0790,1.0790
MIL Growth Fund ‡,2007/07/25,USD,1.0730,1.0730
MIL Growth Fund ‡,2007/07/26,USD,1.0620,1.0620
MIL Growth Fund ‡,2007/07/27,USD,1.0450,1.0450
MIL Growth Fund ‡,2007/07/30,USD,1.0480,1.0480
MIL Growth Fund ‡,2007/07/31,USD,1.0550,1.0550
MIL Growth Fund ‡,2007/08/01,USD,1.0400,1.0400
MIL Growth Fund ‡,2007/08/02,USD,1.0400,1.0400
MIL Growth Fund ‡,2007/08/03,USD,1.0390,1.0390
MIL Growth Fund ‡,2007/08/06,USD,1.0330,1.0330
MIL Growth Fund ‡,2007/08/07,USD,1.0320,1.0320
MIL Growth Fund ‡,2007/08/08,USD,1.0450,1.0450
MIL Growth Fund ‡,2007/08/09,USD,1.0380,1.0380
MIL Growth Fund ‡,2007/08/10,USD,1.0230,1.0230
MIL Growth Fund ‡,2007/08/13,USD,1.0250,1.0250
MIL Growth Fund ‡,2007/08/14,USD,1.0210,1.0210
MIL Growth Fund ‡,2007/08/15,USD,1.0040,1.0040
MIL Growth Fund ‡,2007/08/16,USD,0.9870,0.9870
MIL Growth Fund ‡,2007/08/17,USD,0.9840,0.9840
MIL Growth Fund ‡,2007/08/20,USD,1.0020,1.0020
MIL Growth Fund ‡,2007/08/21,USD,1.0060,1.0060
MIL Growth Fund ‡,2007/08/22,USD,1.0180,1.0180
MIL Growth Fund ‡,2007/08/23,USD,1.0300,1.0300
MIL Growth Fund ‡,2007/08/24,USD,1.0330,1.0330
MIL Growth Fund ‡,2007/08/27,USD,1.0440,1.0440
MIL Growth Fund ‡,2007/08/28,USD,1.0380,1.0380
MIL Growth Fund ‡,2007/08/29,USD,1.0350,1.0350
MIL Growth Fund ‡,2007/08/30,USD,1.0400,1.0400
MIL Growth Fund ‡,2007/08/31,USD,1.0540,1.0540
MIL Growth Fund ‡,2007/09/03,USD,1.0530,1.0530
MIL Growth Fund ‡,2007/09/04,USD,1.0560,1.0560
MIL Growth Fund ‡,2007/09/05,USD,1.0540,1.0540
MIL Growth Fund ‡,2007/09/06,USD,1.0560,1.0560
MIL Growth Fund ‡,2007/09/07,USD,1.0550,1.0550
MIL Growth Fund ‡,2007/09/10,USD,1.0510,1.0510
MIL Growth Fund ‡,2007/09/11,USD,1.0570,1.0570
MIL Growth Fund ‡,2007/09/12,USD,1.0630,1.0630
MIL Growth Fund ‡,2007/09/13,USD,1.0650,1.0650
MIL Growth Fund ‡,2007/09/14,USD,1.0700,1.0700
MIL Growth Fund ‡,2007/09/17,USD,1.0630,1.0630
MIL Growth Fund ‡,2007/09/18,USD,1.0650,1.0650
MIL Growth Fund ‡,2007/09/19,USD,1.0880,1.0880
MIL Growth Fund ‡,2007/09/20,USD,1.0930,1.0930
MIL Growth Fund ‡,2007/09/21,USD,1.0940,1.0940
MIL Growth Fund ‡,2007/09/24,USD,1.1020,1.1020
MIL Growth Fund ‡,2007/09/25,USD,1.1030,1.1030
MIL Growth Fund ‡,2007/09/27,USD,1.1180,1.1180
