Investment choice name,Date,Currency,NAV / unit
MIL Healthcare Fund,2007-01-15,USD,1.0000
MIL Healthcare Fund,2007-01-16,USD,1.0000
MIL Healthcare Fund,2007-01-17,USD,1.0000
MIL Healthcare Fund,2007-01-18,USD,1.0000
MIL Healthcare Fund,2007-01-19,USD,1.0000
MIL Healthcare Fund,2007-01-22,USD,1.0000
MIL Healthcare Fund,2007-01-23,USD,1.0000
MIL Healthcare Fund,2007-01-24,USD,1.0000
MIL Healthcare Fund,2007-01-25,USD,0.9940
MIL Healthcare Fund,2007-01-26,USD,0.9900
MIL Healthcare Fund,2007-01-29,USD,0.9900
MIL Healthcare Fund,2007-01-30,USD,0.9910
MIL Healthcare Fund,2007-01-31,USD,0.9920
MIL Healthcare Fund,2007-02-01,USD,1.0010
MIL Healthcare Fund,2007-02-02,USD,1.0000
MIL Healthcare Fund,2007-02-05,USD,0.9970
MIL Healthcare Fund,2007-02-06,USD,1.0000
MIL Healthcare Fund,2007-02-07,USD,1.0040
MIL Healthcare Fund,2007-02-08,USD,1.0070
MIL Healthcare Fund,2007-02-09,USD,1.0060
MIL Healthcare Fund,2007-02-12,USD,1.0050
MIL Healthcare Fund,2007-02-13,USD,1.0070
MIL Healthcare Fund,2007-02-14,USD,1.0150
MIL Healthcare Fund,2007-02-15,USD,1.0150
MIL Healthcare Fund,2007-02-16,USD,1.0160
MIL Healthcare Fund,2007-02-21,USD,1.0230
MIL Healthcare Fund,2007-02-22,USD,1.0190
MIL Healthcare Fund,2007-02-23,USD,1.0200
MIL Healthcare Fund,2007-02-26,USD,1.0140
MIL Healthcare Fund,2007-02-27,USD,0.9880
MIL Healthcare Fund,2007-02-28,USD,0.9880
MIL Healthcare Fund,2007-03-01,USD,0.9790
MIL Healthcare Fund,2007-03-02,USD,0.9690
MIL Healthcare Fund,2007-03-05,USD,0.9580
MIL Healthcare Fund,2007-03-06,USD,0.9720
MIL Healthcare Fund,2007-03-07,USD,0.9700
MIL Healthcare Fund,2007-03-08,USD,0.9780
MIL Healthcare Fund,2007-03-09,USD,0.9780
MIL Healthcare Fund,2007-03-12,USD,0.9810
MIL Healthcare Fund,2007-03-13,USD,0.9640
MIL Healthcare Fund,2007-03-14,USD,0.9600
MIL Healthcare Fund,2007-03-15,USD,0.9670
MIL Healthcare Fund,2007-03-16,USD,0.9680
MIL Healthcare Fund,2007-03-19,USD,0.9770
MIL Healthcare Fund,2007-03-20,USD,0.9840
MIL Healthcare Fund,2007-03-21,USD,0.9960
MIL Healthcare Fund,2007-03-22,USD,0.9980
MIL Healthcare Fund,2007-03-23,USD,0.9970
MIL Healthcare Fund,2007-03-26,USD,0.9940
MIL Healthcare Fund,2007-03-27,USD,0.9880
MIL Healthcare Fund,2007-03-28,USD,0.9880
