Investment choice name,Date,Currency,NAV / unit
MIL Hong Kong Fund,2007-01-15,USD,1.0000
MIL Hong Kong Fund,2007-01-16,USD,1.0000
MIL Hong Kong Fund,2007-01-17,USD,1.0000
MIL Hong Kong Fund,2007-01-18,USD,1.0000
MIL Hong Kong Fund,2007-01-19,USD,1.0000
MIL Hong Kong Fund,2007-01-22,USD,1.0000
MIL Hong Kong Fund,2007-01-23,USD,1.0000
MIL Hong Kong Fund,2007-01-24,USD,1.0000
MIL Hong Kong Fund,2007-01-25,USD,1.0000
MIL Hong Kong Fund,2007-01-26,USD,0.9820
MIL Hong Kong Fund,2007-01-29,USD,0.9810
MIL Hong Kong Fund,2007-01-30,USD,0.9900
MIL Hong Kong Fund,2007-01-31,USD,0.9830
MIL Hong Kong Fund,2007-02-01,USD,0.9890
MIL Hong Kong Fund,2007-02-02,USD,0.9980
MIL Hong Kong Fund,2007-02-05,USD,0.9940
MIL Hong Kong Fund,2007-02-06,USD,0.9970
MIL Hong Kong Fund,2007-02-07,USD,0.9980
MIL Hong Kong Fund,2007-02-08,USD,1.0010
MIL Hong Kong Fund,2007-02-09,USD,1.0010
MIL Hong Kong Fund,2007-02-12,USD,1.0000
MIL Hong Kong Fund,2007-02-13,USD,0.9890
MIL Hong Kong Fund,2007-02-14,USD,0.9920
MIL Hong Kong Fund,2007-02-15,USD,1.0020
MIL Hong Kong Fund,2007-02-16,USD,1.0030
MIL Hong Kong Fund,2007-02-21,USD,1.0050
MIL Hong Kong Fund,2007-02-22,USD,1.0120
MIL Hong Kong Fund,2007-02-23,USD,1.0090
MIL Hong Kong Fund,2007-02-26,USD,1.0040
MIL Hong Kong Fund,2007-02-27,USD,0.9890
MIL Hong Kong Fund,2007-02-28,USD,0.9660
MIL Hong Kong Fund,2007-03-01,USD,0.9530
MIL Hong Kong Fund,2007-03-02,USD,0.9530
MIL Hong Kong Fund,2007-03-05,USD,0.9170
MIL Hong Kong Fund,2007-03-06,USD,0.9360
MIL Hong Kong Fund,2007-03-07,USD,0.9340
MIL Hong Kong Fund,2007-03-08,USD,0.9450
MIL Hong Kong Fund,2007-03-09,USD,0.9480
MIL Hong Kong Fund,2007-03-12,USD,0.9560
MIL Hong Kong Fund,2007-03-13,USD,0.9530
MIL Hong Kong Fund,2007-03-14,USD,0.9380
MIL Hong Kong Fund,2007-03-15,USD,0.9430
MIL Hong Kong Fund,2007-03-16,USD,0.9410
MIL Hong Kong Fund,2007-03-19,USD,0.9500
MIL Hong Kong Fund,2007-03-20,USD,0.9520
MIL Hong Kong Fund,2007-03-21,USD,0.9600
MIL Hong Kong Fund,2007-03-22,USD,0.9690
MIL Hong Kong Fund,2007-03-23,USD,0.9720
MIL Hong Kong Fund,2007-03-26,USD,0.9760
MIL Hong Kong Fund,2007-03-27,USD,0.9750
MIL Hong Kong Fund,2007-03-28,USD,0.9710
MIL Hong Kong Fund,2007-03-29,USD,0.9780
MIL Hong Kong Fund,2007-03-30,USD,0.9780
MIL Hong Kong Fund,2007-04-02,USD,0.9800
MIL Hong Kong Fund,2007-04-03,USD,0.9890
MIL Hong Kong Fund,2007-04-04,USD,0.9990
MIL Hong Kong Fund,2007-04-10,USD,1.0060
MIL Hong Kong Fund,2007-04-11,USD,1.0090
MIL Hong Kong Fund,2007-04-12,USD,1.0060
MIL Hong Kong Fund,2007-04-13,USD,1.0030
MIL Hong Kong Fund,2007-04-16,USD,1.0160
MIL Hong Kong Fund,2007-04-17,USD,1.0170
MIL Hong Kong Fund,2007-04-18,USD,1.0190
MIL Hong Kong Fund,2007-04-19,USD,1.0000
MIL Hong Kong Fund,2007-04-20,USD,1.0090
MIL Hong Kong Fund,2007-04-23,USD,1.0120
MIL Hong Kong Fund,2007-04-24,USD,1.0130
MIL Hong Kong Fund,2007-04-25,USD,1.0090
MIL Hong Kong Fund,2007-04-26,USD,1.0150
MIL Hong Kong Fund,2007-04-27,USD,1.0080
MIL Hong Kong Fund,2007-04-30,USD,0.9980
MIL Hong Kong Fund,2007-05-02,USD,1.0020
MIL Hong Kong Fund,2007-05-03,USD,1.0170
MIL Hong Kong Fund,2007-05-04,USD,1.0310
MIL Hong Kong Fund,2007-05-07,USD,1.0340
MIL Hong Kong Fund,2007-05-08,USD,1.0270
MIL Hong Kong Fund,2007-05-09,USD,1.0340
MIL Hong Kong Fund,2007-05-10,USD,1.0370
MIL Hong Kong Fund,2007-05-11,USD,1.0230
MIL Hong Kong Fund,2007-05-14,USD,1.0530
MIL Hong Kong Fund,2007-05-15,USD,1.0480
MIL Hong Kong Fund,2007-05-16,USD,1.0540
MIL Hong Kong Fund,2007-05-17,USD,1.0550
MIL Hong Kong Fund,2007-05-18,USD,1.0470
MIL Hong Kong Fund,2007-05-21,USD,1.0470
MIL Hong Kong Fund,2007-05-22,USD,1.0450
MIL Hong Kong Fund,2007-05-23,USD,1.0470
MIL Hong Kong Fund,2007-05-25,USD,1.0350
MIL Hong Kong Fund,2007-05-28,USD,1.0360
MIL Hong Kong Fund,2007-05-29,USD,1.0350
MIL Hong Kong Fund,2007-05-30,USD,1.0230
MIL Hong Kong Fund,2007-05-31,USD,1.0430
MIL Hong Kong Fund,2007-06-01,USD,1.0490
MIL Hong Kong Fund,2007-06-04,USD,1.0530
MIL Hong Kong Fund,2007-06-05,USD,1.0580
MIL Hong Kong Fund,2007-06-06,USD,1.0580
MIL Hong Kong Fund,2007-06-07,USD,1.0550
MIL Hong Kong Fund,2007-06-08,USD,1.0420
MIL Hong Kong Fund,2007-06-11,USD,1.0460
MIL Hong Kong Fund,2007-06-12,USD,1.0460
MIL Hong Kong Fund,2007-06-13,USD,1.0430
MIL Hong Kong Fund,2007-06-14,USD,1.0580
MIL Hong Kong Fund,2007-06-15,USD,1.0660
MIL Hong Kong Fund,2007-06-18,USD,1.0910
MIL Hong Kong Fund,2007-06-20,USD,1.0950
MIL Hong Kong Fund,2007-06-21,USD,1.1090
MIL Hong Kong Fund,2007-06-22,USD,1.1080
MIL Hong Kong Fund,2007-06-25,USD,1.1000
MIL Hong Kong Fund,2007-06-26,USD,1.0970
MIL Hong Kong Fund,2007-06-27,USD,1.0930
MIL Hong Kong Fund,2007-06-28,USD,1.1020
MIL Hong Kong Fund,2007-06-29,USD,1.0990
MIL Hong Kong Fund,2007-07-03,USD,1.1190
MIL Hong Kong Fund,2007-07-04,USD,1.1250
MIL Hong Kong Fund,2007-07-05,USD,1.1320
MIL Hong Kong Fund,2007-07-06,USD,1.1450
MIL Hong Kong Fund,2007-07-09,USD,1.1630
MIL Hong Kong Fund,2007-07-10,USD,1.1670
MIL Hong Kong Fund,2007-07-11,USD,1.1530
MIL Hong Kong Fund,2007-07-12,USD,1.1590
MIL Hong Kong Fund,2007-07-13,USD,1.1720
MIL Hong Kong Fund,2007-07-16,USD,1.1630
MIL Hong Kong Fund,2007-07-17,USD,1.1650
MIL Hong Kong Fund,2007-07-18,USD,1.1530
