Investment choice name,Date,Currency,NAV / unit
MIL Janus Henderson Global Technology Leaders Fund @@@,2013-12-12,USD,1.0000
MIL Janus Henderson Global Technology Leaders Fund @@@,2013-12-13,USD,1.0000
MIL Janus Henderson Global Technology Leaders Fund @@@,2013-12-16,USD,0.9990
MIL Janus Henderson Global Technology Leaders Fund @@@,2013-12-17,USD,0.9990
MIL Janus Henderson Global Technology Leaders Fund @@@,2013-12-18,USD,0.9990
MIL Janus Henderson Global Technology Leaders Fund @@@,2013-12-19,USD,1.0080
MIL Janus Henderson Global Technology Leaders Fund @@@,2013-12-20,USD,1.0100
MIL Janus Henderson Global Technology Leaders Fund @@@,2013-12-23,USD,1.0140
MIL Janus Henderson Global Technology Leaders Fund @@@,2013-12-24,USD,1.0160
MIL Janus Henderson Global Technology Leaders Fund @@@,2013-12-27,USD,1.0180
MIL Janus Henderson Global Technology Leaders Fund @@@,2013-12-30,USD,1.0140
MIL Janus Henderson Global Technology Leaders Fund @@@,2013-12-31,USD,1.0160
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-01-02,USD,1.0110
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-01-03,USD,1.0100
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-01-06,USD,1.0040
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-01-07,USD,1.0100
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-01-08,USD,1.0160
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-01-09,USD,1.0170
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-01-10,USD,1.0110
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-01-13,USD,1.0140
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-01-14,USD,1.0070
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-01-15,USD,1.0240
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-01-16,USD,1.0260
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-01-17,USD,1.0230
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-01-20,USD,1.0210
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-01-21,USD,1.0250
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-01-22,USD,1.0260
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-01-23,USD,1.0190
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-01-24,USD,1.0140
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-01-27,USD,1.0020
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-01-28,USD,0.9910
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-01-29,USD,0.9920
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-01-30,USD,0.9950
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-02-04,USD,0.9790
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-02-05,USD,0.9750
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-02-06,USD,0.9850
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-02-07,USD,0.9960
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-02-10,USD,1.0070
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-02-11,USD,1.0110
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-02-12,USD,1.0220
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-02-13,USD,1.0190
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-02-14,USD,1.0260
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-02-17,USD,1.0290
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-02-18,USD,1.0300
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-02-19,USD,1.0330
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-02-20,USD,1.0240
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-02-21,USD,1.0340
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-02-24,USD,1.0330
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-02-25,USD,1.0310
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-02-26,USD,1.0330
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-02-27,USD,1.0340
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-02-28,USD,1.0400
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-03-03,USD,1.0290
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-03-04,USD,1.0390
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-03-05,USD,1.0440
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-03-06,USD,1.0490
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-03-07,USD,1.0470
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-03-10,USD,1.0380
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-03-11,USD,1.0440
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-03-12,USD,1.0330
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-03-13,USD,1.0320
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-03-14,USD,1.0160
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-03-17,USD,1.0220
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-03-18,USD,1.0310
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-03-19,USD,1.0320
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-03-20,USD,1.0300
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-03-21,USD,1.0310
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-03-24,USD,1.0150
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-03-25,USD,1.0180
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-03-26,USD,1.0230
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-03-27,USD,1.0110
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-03-28,USD,1.0180
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-03-31,USD,1.0230
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-04-01,USD,1.0320
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-04-02,USD,1.0370
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-04-03,USD,1.0410
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-04-04,USD,1.0250
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-04-07,USD,1.0060
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-04-08,USD,0.9990
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-04-09,USD,1.0110
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-04-10,USD,1.0180
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-04-11,USD,0.9930
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-04-14,USD,0.9860
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-04-15,USD,0.9960
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-04-16,USD,1.0000
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-04-17,USD,1.0020
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-04-22,USD,1.0150
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-04-23,USD,1.0120
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-04-24,USD,1.0100
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-04-25,USD,1.0030
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-04-28,USD,0.9980
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-04-29,USD,1.0000
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-04-30,USD,0.9990
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-05-02,USD,1.0110
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-05-05,USD,1.0080
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-05-07,USD,0.9950
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-05-08,USD,1.0020
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-05-09,USD,0.9960
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-05-12,USD,1.0120
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-05-13,USD,1.0160
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-05-14,USD,1.0160
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-05-15,USD,1.0080
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-05-16,USD,1.0040
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-05-19,USD,1.0100
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-05-20,USD,1.0140
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-05-21,USD,1.0190
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-05-22,USD,1.0270
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-05-23,USD,1.0280
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-05-26,USD,1.0340
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-05-27,USD,1.0380
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-05-28,USD,1.0430
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-05-29,USD,1.0430
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-05-30,USD,1.0440
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-06-03,USD,1.0430
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-06-04,USD,1.0400
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-06-05,USD,1.0460
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-06-06,USD,1.0550
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-06-09,USD,1.0550
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-06-10,USD,1.0570
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-06-11,USD,1.0590
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-06-12,USD,1.0580
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-06-13,USD,1.0500
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-06-16,USD,1.0510
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-06-17,USD,1.0540
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-06-18,USD,1.0550
MIL Janus Henderson Global Technology Leaders Fund @@@,2014-06-19,USD,1.0590
