Investment choice name,Date,Currency,NAV / unit
MIL Invesco Asian Equity Fund #,2013-12-12,USD,1.0000
MIL Invesco Asian Equity Fund #,2013-12-13,USD,1.0000
MIL Invesco Asian Equity Fund #,2013-12-16,USD,1.0000
MIL Invesco Asian Equity Fund #,2013-12-17,USD,1.0010
MIL Invesco Asian Equity Fund #,2013-12-18,USD,1.0010
MIL Invesco Asian Equity Fund #,2013-12-19,USD,1.0010
MIL Invesco Asian Equity Fund #,2013-12-20,USD,1.0020
MIL Invesco Asian Equity Fund #,2013-12-23,USD,1.0030
MIL Invesco Asian Equity Fund #,2013-12-24,USD,1.0030
MIL Invesco Asian Equity Fund #,2013-12-27,USD,1.0060
MIL Invesco Asian Equity Fund #,2013-12-30,USD,1.0070
MIL Invesco Asian Equity Fund #,2013-12-31,USD,1.0080
MIL Invesco Asian Equity Fund #,2014-01-02,USD,1.0010
MIL Invesco Asian Equity Fund #,2014-01-03,USD,0.9900
MIL Invesco Asian Equity Fund #,2014-01-06,USD,0.9880
MIL Invesco Asian Equity Fund #,2014-01-07,USD,0.9880
MIL Invesco Asian Equity Fund #,2014-01-08,USD,0.9970
MIL Invesco Asian Equity Fund #,2014-01-09,USD,0.9940
MIL Invesco Asian Equity Fund #,2014-01-10,USD,0.9890
MIL Invesco Asian Equity Fund #,2014-01-13,USD,0.9970
MIL Invesco Asian Equity Fund #,2014-01-14,USD,0.9930
MIL Invesco Asian Equity Fund #,2014-01-15,USD,0.9940
MIL Invesco Asian Equity Fund #,2014-01-16,USD,0.9960
MIL Invesco Asian Equity Fund #,2014-01-17,USD,0.9990
MIL Invesco Asian Equity Fund #,2014-01-20,USD,0.9930
MIL Invesco Asian Equity Fund #,2014-01-21,USD,0.9920
MIL Invesco Asian Equity Fund #,2014-01-22,USD,0.9940
MIL Invesco Asian Equity Fund #,2014-01-23,USD,0.9870
MIL Invesco Asian Equity Fund #,2014-01-24,USD,0.9770
MIL Invesco Asian Equity Fund #,2014-01-27,USD,0.9640
MIL Invesco Asian Equity Fund #,2014-01-28,USD,0.9650
MIL Invesco Asian Equity Fund #,2014-01-29,USD,0.9780
MIL Invesco Asian Equity Fund #,2014-01-30,USD,0.9680
MIL Invesco Asian Equity Fund #,2014-02-04,USD,0.9460
MIL Invesco Asian Equity Fund #,2014-02-05,USD,0.9470
MIL Invesco Asian Equity Fund #,2014-02-06,USD,0.9500
MIL Invesco Asian Equity Fund #,2014-02-07,USD,0.9600
MIL Invesco Asian Equity Fund #,2014-02-10,USD,0.9610
MIL Invesco Asian Equity Fund #,2014-02-11,USD,0.9690
MIL Invesco Asian Equity Fund #,2014-02-12,USD,0.9800
MIL Invesco Asian Equity Fund #,2014-02-13,USD,0.9750
MIL Invesco Asian Equity Fund #,2014-02-14,USD,0.9820
