Name of Investment Choice,Date,Currency,Purchase Price,Unit Sell Price
MIL India Fund #,2007/01/15,USD,1.0000,1.0000
MIL India Fund #,2007/01/16,USD,1.0000,1.0000
MIL India Fund #,2007/01/17,USD,1.0000,1.0000
MIL India Fund #,2007/01/18,USD,1.0000,1.0000
MIL India Fund #,2007/01/19,USD,1.0000,1.0000
MIL India Fund #,2007/01/22,USD,1.0000,1.0000
MIL India Fund #,2007/01/23,USD,1.0000,1.0000
MIL India Fund #,2007/01/24,USD,1.0000,1.0000
MIL India Fund #,2007/01/25,USD,1.0000,1.0000
MIL India Fund #,2007/01/26,USD,1.0000,1.0000
MIL India Fund #,2007/01/29,USD,1.0000,1.0000
MIL India Fund #,2007/01/30,USD,1.0000,1.0000
MIL India Fund #,2007/01/31,USD,0.9990,0.9990
MIL India Fund #,2007/02/01,USD,1.0060,1.0060
MIL India Fund #,2007/02/02,USD,1.0170,1.0170
MIL India Fund #,2007/02/05,USD,1.0230,1.0230
MIL India Fund #,2007/02/06,USD,1.0150,1.0150
MIL India Fund #,2007/02/07,USD,1.0230,1.0230
MIL India Fund #,2007/02/08,USD,1.0230,1.0230
MIL India Fund #,2007/02/09,USD,1.0130,1.0130
MIL India Fund #,2007/02/12,USD,0.9770,0.9770
MIL India Fund #,2007/02/13,USD,0.9680,0.9680
MIL India Fund #,2007/02/14,USD,0.9670,0.9670
MIL India Fund #,2007/02/15,USD,0.9950,0.9950
MIL India Fund #,2007/02/16,USD,0.9970,0.9970
MIL India Fund #,2007/02/21,USD,0.9780,0.9780
MIL India Fund #,2007/02/22,USD,0.9630,0.9630
MIL India Fund #,2007/02/23,USD,0.9350,0.9350
MIL India Fund #,2007/02/26,USD,0.9330,0.9330
MIL India Fund #,2007/02/27,USD,0.9290,0.9290
MIL India Fund #,2007/02/28,USD,0.8950,0.8950
MIL India Fund #,2007/03/01,USD,0.9030,0.9030
MIL India Fund #,2007/03/02,USD,0.8880,0.8880
MIL India Fund #,2007/03/05,USD,0.8470,0.8470
MIL India Fund #,2007/03/06,USD,0.8580,0.8580
MIL India Fund #,2007/03/07,USD,0.8470,0.8470
MIL India Fund #,2007/03/08,USD,0.8760,0.8760
MIL India Fund #,2007/03/09,USD,0.8760,0.8760
MIL India Fund #,2007/03/12,USD,0.8810,0.8810
MIL India Fund #,2007/03/13,USD,0.8890,0.8890
MIL India Fund #,2007/03/14,USD,0.8680,0.8680
MIL India Fund #,2007/03/15,USD,0.8700,0.8700
MIL India Fund #,2007/03/16,USD,0.8620,0.8620
MIL India Fund #,2007/03/19,USD,0.8740,0.8740
MIL India Fund #,2007/03/20,USD,0.8850,0.8850
MIL India Fund #,2007/03/21,USD,0.8970,0.8970
MIL India Fund #,2007/03/22,USD,0.9110,0.9110
MIL India Fund #,2007/03/23,USD,0.9150,0.9150
MIL India Fund #,2007/03/26,USD,0.9110,0.9110
MIL India Fund #,2007/03/27,USD,0.9150,0.9150
MIL India Fund #,2007/03/28,USD,0.8990,0.8990
MIL India Fund #,2007/03/29,USD,0.8900,0.8900
MIL India Fund #,2007/03/30,USD,0.9020,0.9020
MIL India Fund #,2007/04/02,USD,0.8680,0.8680
MIL India Fund #,2007/04/03,USD,0.8810,0.8810
MIL India Fund #,2007/04/04,USD,0.8860,0.8860
MIL India Fund #,2007/04/10,USD,0.9210,0.9210
MIL India Fund #,2007/04/11,USD,0.9220,0.9220
MIL India Fund #,2007/04/12,USD,0.9160,0.9160
MIL India Fund #,2007/04/13,USD,0.9400,0.9400
MIL India Fund #,2007/04/16,USD,0.9710,0.9710
MIL India Fund #,2007/04/17,USD,0.9660,0.9660
MIL India Fund #,2007/04/18,USD,0.9670,0.9670
MIL India Fund #,2007/04/19,USD,0.9570,0.9570
MIL India Fund #,2007/04/20,USD,0.9780,0.9780
MIL India Fund #,2007/04/23,USD,0.9830,0.9830
MIL India Fund #,2007/04/24,USD,1.0030,1.0030
MIL India Fund #,2007/04/25,USD,1.0140,1.0140
MIL India Fund #,2007/04/26,USD,1.0150,1.0150
MIL India Fund #,2007/04/27,USD,0.9940,0.9940
MIL India Fund #,2007/04/30,USD,0.9950,0.9950
MIL India Fund #,2007/05/02,USD,0.9960,0.9960
MIL India Fund #,2007/05/03,USD,1.0110,1.0110
MIL India Fund #,2007/05/04,USD,1.0110,1.0110
MIL India Fund #,2007/05/07,USD,1.0110,1.0110
MIL India Fund #,2007/05/08,USD,0.9980,0.9980
MIL India Fund #,2007/05/09,USD,0.9950,0.9950
MIL India Fund #,2007/05/10,USD,0.9890,0.9890
MIL India Fund #,2007/05/11,USD,0.9870,0.9870
MIL India Fund #,2007/05/14,USD,1.0030,1.0030
MIL India Fund #,2007/05/15,USD,1.0050,1.0050
MIL India Fund #,2007/05/16,USD,1.0220,1.0220
MIL India Fund #,2007/05/17,USD,1.0210,1.0210
MIL India Fund #,2007/05/18,USD,1.0340,1.0340
MIL India Fund #,2007/05/21,USD,1.0430,1.0430
MIL India Fund #,2007/05/22,USD,1.0530,1.0530
MIL India Fund #,2007/05/23,USD,1.0430,1.0430
MIL India Fund #,2007/05/25,USD,1.0440,1.0440
MIL India Fund #,2007/05/28,USD,1.0440,1.0440
MIL India Fund #,2007/05/29,USD,1.0680,1.0680
MIL India Fund #,2007/05/30,USD,1.0510,1.0510
MIL India Fund #,2007/05/31,USD,1.0600,1.0600
MIL India Fund #,2007/06/01,USD,1.0670,1.0670
MIL India Fund #,2007/06/04,USD,1.0640,1.0640
MIL India Fund #,2007/06/05,USD,1.0670,1.0670
