Investment choice name,Date,Currency,NAV / unit
MIL JPMorgan ASEAN Fund #,2013-04-17,USD,1.0000
MIL JPMorgan ASEAN Fund #,2013-04-18,USD,1.0000
MIL JPMorgan ASEAN Fund #,2013-04-19,USD,1.0000
MIL JPMorgan ASEAN Fund #,2013-04-22,USD,1.0000
MIL JPMorgan ASEAN Fund #,2013-04-23,USD,0.9970
MIL JPMorgan ASEAN Fund #,2013-04-24,USD,0.9980
MIL JPMorgan ASEAN Fund #,2013-04-25,USD,1.0000
MIL JPMorgan ASEAN Fund #,2013-04-26,USD,1.0000
MIL JPMorgan ASEAN Fund #,2013-04-29,USD,1.0040
MIL JPMorgan ASEAN Fund #,2013-04-30,USD,1.0080
MIL JPMorgan ASEAN Fund #,2013-05-02,USD,1.0070
MIL JPMorgan ASEAN Fund #,2013-05-03,USD,1.0020
MIL JPMorgan ASEAN Fund #,2013-05-06,USD,1.0100
MIL JPMorgan ASEAN Fund #,2013-05-07,USD,1.0140
MIL JPMorgan ASEAN Fund #,2013-05-08,USD,1.0230
MIL JPMorgan ASEAN Fund #,2013-05-09,USD,1.0230
MIL JPMorgan ASEAN Fund #,2013-05-10,USD,1.0240
MIL JPMorgan ASEAN Fund #,2013-05-13,USD,1.0210
MIL JPMorgan ASEAN Fund #,2013-05-14,USD,1.0250
MIL JPMorgan ASEAN Fund #,2013-05-15,USD,1.0250
MIL JPMorgan ASEAN Fund #,2013-05-16,USD,1.0190
MIL JPMorgan ASEAN Fund #,2013-05-20,USD,1.0270
MIL JPMorgan ASEAN Fund #,2013-05-21,USD,1.0260
MIL JPMorgan ASEAN Fund #,2013-05-22,USD,1.0230
MIL JPMorgan ASEAN Fund #,2013-05-23,USD,1.0060
MIL JPMorgan ASEAN Fund #,2013-05-24,USD,1.0050
MIL JPMorgan ASEAN Fund #,2013-05-27,USD,1.0000
MIL JPMorgan ASEAN Fund #,2013-05-28,USD,1.0050
MIL JPMorgan ASEAN Fund #,2013-05-29,USD,0.9970
MIL JPMorgan ASEAN Fund #,2013-05-30,USD,0.9870
MIL JPMorgan ASEAN Fund #,2013-05-31,USD,0.9760
MIL JPMorgan ASEAN Fund #,2013-06-03,USD,0.9660
MIL JPMorgan ASEAN Fund #,2013-06-04,USD,0.9720
MIL JPMorgan ASEAN Fund #,2013-06-05,USD,0.9630
MIL JPMorgan ASEAN Fund #,2013-06-06,USD,0.9550
MIL JPMorgan ASEAN Fund #,2013-06-07,USD,0.9550
MIL JPMorgan ASEAN Fund #,2013-06-10,USD,0.9480
MIL JPMorgan ASEAN Fund #,2013-06-11,USD,0.9250
MIL JPMorgan ASEAN Fund #,2013-06-13,USD,0.9130
MIL JPMorgan ASEAN Fund #,2013-06-14,USD,0.9370
MIL JPMorgan ASEAN Fund #,2013-06-17,USD,0.9390
MIL JPMorgan ASEAN Fund #,2013-06-18,USD,0.9370
MIL JPMorgan ASEAN Fund #,2013-06-19,USD,0.9400
MIL JPMorgan ASEAN Fund #,2013-06-20,USD,0.9050
MIL JPMorgan ASEAN Fund #,2013-06-21,USD,0.8970
MIL JPMorgan ASEAN Fund #,2013-06-24,USD,0.8770
MIL JPMorgan ASEAN Fund #,2013-06-25,USD,0.8820
MIL JPMorgan ASEAN Fund #,2013-06-26,USD,0.8960
MIL JPMorgan ASEAN Fund #,2013-06-27,USD,0.9120
MIL JPMorgan ASEAN Fund #,2013-06-28,USD,0.9290
MIL JPMorgan ASEAN Fund #,2013-07-02,USD,0.9290
MIL JPMorgan ASEAN Fund #,2013-07-03,USD,0.9140
MIL JPMorgan ASEAN Fund #,2013-07-04,USD,0.9160
MIL JPMorgan ASEAN Fund #,2013-07-05,USD,0.9180
MIL JPMorgan ASEAN Fund #,2013-07-08,USD,0.8990
MIL JPMorgan ASEAN Fund #,2013-07-09,USD,0.9020
MIL JPMorgan ASEAN Fund #,2013-07-10,USD,0.9070
MIL JPMorgan ASEAN Fund #,2013-07-11,USD,0.9340
MIL JPMorgan ASEAN Fund #,2013-07-12,USD,0.9350
MIL JPMorgan ASEAN Fund #,2013-07-15,USD,0.9340
MIL JPMorgan ASEAN Fund #,2013-07-16,USD,0.9340
MIL JPMorgan ASEAN Fund #,2013-07-17,USD,0.9350
MIL JPMorgan ASEAN Fund #,2013-07-18,USD,0.9400
MIL JPMorgan ASEAN Fund #,2013-07-19,USD,0.9400
MIL JPMorgan ASEAN Fund #,2013-07-22,USD,0.9420
MIL JPMorgan ASEAN Fund #,2013-07-23,USD,0.9510
MIL JPMorgan ASEAN Fund #,2013-07-24,USD,0.9480
MIL JPMorgan ASEAN Fund #,2013-07-25,USD,0.9360
MIL JPMorgan ASEAN Fund #,2013-07-26,USD,0.9390
MIL JPMorgan ASEAN Fund #,2013-07-29,USD,0.9290
MIL JPMorgan ASEAN Fund #,2013-07-30,USD,0.9260
MIL JPMorgan ASEAN Fund #,2013-07-31,USD,0.9190
MIL JPMorgan ASEAN Fund #,2013-08-01,USD,0.9260
MIL JPMorgan ASEAN Fund #,2013-08-02,USD,0.9250
MIL JPMorgan ASEAN Fund #,2013-08-05,USD,0.9270
MIL JPMorgan ASEAN Fund #,2013-08-06,USD,0.9240
MIL JPMorgan ASEAN Fund #,2013-08-07,USD,0.9230
MIL JPMorgan ASEAN Fund #,2013-08-08,USD,0.9230
MIL JPMorgan ASEAN Fund #,2013-08-09,USD,0.9220
MIL JPMorgan ASEAN Fund #,2013-08-12,USD,0.9250
MIL JPMorgan ASEAN Fund #,2013-08-13,USD,0.9320
MIL JPMorgan ASEAN Fund #,2013-08-15,USD,0.9260
MIL JPMorgan ASEAN Fund #,2013-08-16,USD,0.9190
MIL JPMorgan ASEAN Fund #,2013-08-19,USD,0.8950
MIL JPMorgan ASEAN Fund #,2013-08-20,USD,0.8770
MIL JPMorgan ASEAN Fund #,2013-08-21,USD,0.8720
