Investment choice name,Date,Currency,NAV / unit
MIL JPMorgan Multi Income Fund,2013-04-17,USD,1.0000
MIL JPMorgan Multi Income Fund,2013-04-18,USD,1.0000
MIL JPMorgan Multi Income Fund,2013-04-19,USD,1.0000
MIL JPMorgan Multi Income Fund,2013-04-22,USD,1.0000
MIL JPMorgan Multi Income Fund,2013-04-23,USD,1.0000
MIL JPMorgan Multi Income Fund,2013-04-24,USD,1.0010
MIL JPMorgan Multi Income Fund,2013-04-25,USD,1.0030
MIL JPMorgan Multi Income Fund,2013-04-26,USD,1.0020
MIL JPMorgan Multi Income Fund,2013-04-29,USD,1.0050
MIL JPMorgan Multi Income Fund,2013-04-30,USD,1.0080
MIL JPMorgan Multi Income Fund,2013-05-02,USD,1.0100
MIL JPMorgan Multi Income Fund,2013-05-03,USD,1.0130
MIL JPMorgan Multi Income Fund,2013-05-06,USD,1.0130
MIL JPMorgan Multi Income Fund,2013-05-07,USD,1.0160
MIL JPMorgan Multi Income Fund,2013-05-08,USD,1.0180
MIL JPMorgan Multi Income Fund,2013-05-09,USD,1.0170
MIL JPMorgan Multi Income Fund,2013-05-10,USD,1.0170
MIL JPMorgan Multi Income Fund,2013-05-13,USD,1.0160
MIL JPMorgan Multi Income Fund,2013-05-14,USD,1.0160
MIL JPMorgan Multi Income Fund,2013-05-15,USD,1.0160
MIL JPMorgan Multi Income Fund,2013-05-16,USD,1.0150
MIL JPMorgan Multi Income Fund,2013-05-20,USD,1.0170
MIL JPMorgan Multi Income Fund,2013-05-21,USD,1.0170
MIL JPMorgan Multi Income Fund,2013-05-22,USD,1.0160
MIL JPMorgan Multi Income Fund,2013-05-23,USD,1.0090
MIL JPMorgan Multi Income Fund,2013-05-24,USD,1.0070
MIL JPMorgan Multi Income Fund,2013-05-27,USD,1.0070
MIL JPMorgan Multi Income Fund,2013-05-28,USD,1.0100
MIL JPMorgan Multi Income Fund,2013-05-29,USD,1.0020
MIL JPMorgan Multi Income Fund,2013-05-30,USD,0.9990
MIL JPMorgan Multi Income Fund,2013-05-31,USD,0.9940
MIL JPMorgan Multi Income Fund,2013-06-03,USD,0.9880
MIL JPMorgan Multi Income Fund,2013-06-04,USD,0.9900
MIL JPMorgan Multi Income Fund,2013-06-05,USD,0.9800
MIL JPMorgan Multi Income Fund,2013-06-06,USD,0.9760
MIL JPMorgan Multi Income Fund,2013-06-07,USD,0.9790
MIL JPMorgan Multi Income Fund,2013-06-10,USD,0.9770
MIL JPMorgan Multi Income Fund,2013-06-11,USD,0.9680
MIL JPMorgan Multi Income Fund,2013-06-13,USD,0.9650
MIL JPMorgan Multi Income Fund,2013-06-14,USD,0.9710
MIL JPMorgan Multi Income Fund,2013-06-17,USD,0.9740
MIL JPMorgan Multi Income Fund,2013-06-18,USD,0.9740
MIL JPMorgan Multi Income Fund,2013-06-19,USD,0.9700
MIL JPMorgan Multi Income Fund,2013-06-20,USD,0.9490
MIL JPMorgan Multi Income Fund,2013-06-21,USD,0.9440
MIL JPMorgan Multi Income Fund,2013-06-24,USD,0.9310
MIL JPMorgan Multi Income Fund,2013-06-25,USD,0.9340
MIL JPMorgan Multi Income Fund,2013-06-26,USD,0.9450
MIL JPMorgan Multi Income Fund,2013-06-27,USD,0.9530
MIL JPMorgan Multi Income Fund,2013-06-28,USD,0.9580
MIL JPMorgan Multi Income Fund,2013-07-02,USD,0.9620
MIL JPMorgan Multi Income Fund,2013-07-03,USD,0.9550
MIL JPMorgan Multi Income Fund,2013-07-04,USD,0.9600
MIL JPMorgan Multi Income Fund,2013-07-05,USD,0.9590
MIL JPMorgan Multi Income Fund,2013-07-08,USD,0.9580
MIL JPMorgan Multi Income Fund,2013-07-09,USD,0.9620
MIL JPMorgan Multi Income Fund,2013-07-10,USD,0.9630
MIL JPMorgan Multi Income Fund,2013-07-11,USD,0.9750
MIL JPMorgan Multi Income Fund,2013-07-12,USD,0.9770
MIL JPMorgan Multi Income Fund,2013-07-15,USD,0.9790
MIL JPMorgan Multi Income Fund,2013-07-16,USD,0.9790
MIL JPMorgan Multi Income Fund,2013-07-17,USD,0.9810
MIL JPMorgan Multi Income Fund,2013-07-18,USD,0.9840
MIL JPMorgan Multi Income Fund,2013-07-19,USD,0.9840
MIL JPMorgan Multi Income Fund,2013-07-22,USD,0.9860
MIL JPMorgan Multi Income Fund,2013-07-23,USD,0.9890
MIL JPMorgan Multi Income Fund,2013-07-24,USD,0.9860
MIL JPMorgan Multi Income Fund,2013-07-25,USD,0.9830
MIL JPMorgan Multi Income Fund,2013-07-26,USD,0.9760
MIL JPMorgan Multi Income Fund,2013-07-29,USD,0.9730
MIL JPMorgan Multi Income Fund,2013-07-30,USD,0.9740
MIL JPMorgan Multi Income Fund,2013-07-31,USD,0.9730
MIL JPMorgan Multi Income Fund,2013-08-01,USD,0.9760
MIL JPMorgan Multi Income Fund,2013-08-02,USD,0.9780
MIL JPMorgan Multi Income Fund,2013-08-05,USD,0.9760
MIL JPMorgan Multi Income Fund,2013-08-06,USD,0.9720
MIL JPMorgan Multi Income Fund,2013-08-07,USD,0.9690
MIL JPMorgan Multi Income Fund,2013-08-08,USD,0.9710
MIL JPMorgan Multi Income Fund,2013-08-09,USD,0.9720
