Investment choice name,Date,Currency,NAV / unit
MIL JPMorgan China Income Fund #,2017-04-03,USD,1.0000
MIL JPMorgan China Income Fund #,2017-04-05,USD,1.0000
MIL JPMorgan China Income Fund #,2017-04-06,USD,1.0000
MIL JPMorgan China Income Fund #,2017-04-07,USD,0.9990
MIL JPMorgan China Income Fund #,2017-04-10,USD,0.9990
MIL JPMorgan China Income Fund #,2017-04-11,USD,0.9980
MIL JPMorgan China Income Fund #,2017-04-12,USD,1.0000
MIL JPMorgan China Income Fund #,2017-04-13,USD,1.0000
MIL JPMorgan China Income Fund #,2017-04-18,USD,0.9960
MIL JPMorgan China Income Fund #,2017-04-19,USD,0.9940
MIL JPMorgan China Income Fund #,2017-04-20,USD,0.9970
MIL JPMorgan China Income Fund #,2017-04-21,USD,0.9970
MIL JPMorgan China Income Fund #,2017-04-24,USD,0.9930
MIL JPMorgan China Income Fund #,2017-04-25,USD,1.0010
MIL JPMorgan China Income Fund #,2017-04-26,USD,1.0040
MIL JPMorgan China Income Fund #,2017-04-27,USD,0.9990
MIL JPMorgan China Income Fund #,2017-04-28,USD,0.9940
MIL JPMorgan China Income Fund #,2017-05-02,USD,0.9930
MIL JPMorgan China Income Fund #,2017-05-04,USD,0.9910
MIL JPMorgan China Income Fund #,2017-05-05,USD,0.9870
MIL JPMorgan China Income Fund #,2017-05-08,USD,0.9860
MIL JPMorgan China Income Fund #,2017-05-09,USD,0.9860
MIL JPMorgan China Income Fund #,2017-05-10,USD,0.9870
MIL JPMorgan China Income Fund #,2017-05-11,USD,0.9920
MIL JPMorgan China Income Fund #,2017-05-12,USD,0.9930
MIL JPMorgan China Income Fund #,2017-05-15,USD,0.9940
MIL JPMorgan China Income Fund #,2017-05-16,USD,0.9980
MIL JPMorgan China Income Fund #,2017-05-17,USD,0.9940
MIL JPMorgan China Income Fund #,2017-05-18,USD,0.9920
MIL JPMorgan China Income Fund #,2017-05-19,USD,0.9970
MIL JPMorgan China Income Fund #,2017-05-22,USD,1.0090
MIL JPMorgan China Income Fund #,2017-05-23,USD,1.0160
MIL JPMorgan China Income Fund #,2017-05-24,USD,1.0140
MIL JPMorgan China Income Fund #,2017-05-25,USD,1.0230
MIL JPMorgan China Income Fund #,2017-05-26,USD,1.0270
MIL JPMorgan China Income Fund #,2017-05-29,USD,1.0280
MIL JPMorgan China Income Fund #,2017-05-31,USD,1.0340
MIL JPMorgan China Income Fund #,2017-06-01,USD,1.0380
MIL JPMorgan China Income Fund #,2017-06-02,USD,1.0360
MIL JPMorgan China Income Fund #,2017-06-05,USD,1.0320
MIL JPMorgan China Income Fund #,2017-06-06,USD,1.0390
MIL JPMorgan China Income Fund #,2017-06-07,USD,1.0440
MIL JPMorgan China Income Fund #,2017-06-08,USD,1.0560
MIL JPMorgan China Income Fund #,2017-06-09,USD,1.0570
MIL JPMorgan China Income Fund #,2017-06-12,USD,1.0550
MIL JPMorgan China Income Fund #,2017-06-13,USD,1.0560
MIL JPMorgan China Income Fund #,2017-06-14,USD,1.0490
MIL JPMorgan China Income Fund #,2017-06-15,USD,1.0420
MIL JPMorgan China Income Fund #,2017-06-16,USD,1.0400
MIL JPMorgan China Income Fund #,2017-06-19,USD,1.0460
MIL JPMorgan China Income Fund #,2017-06-20,USD,1.0440
MIL JPMorgan China Income Fund #,2017-06-21,USD,1.0540
MIL JPMorgan China Income Fund #,2017-06-22,USD,1.0570
MIL JPMorgan China Income Fund #,2017-06-23,USD,1.0630
MIL JPMorgan China Income Fund #,2017-06-26,USD,1.0710
MIL JPMorgan China Income Fund #,2017-06-27,USD,1.0750
MIL JPMorgan China Income Fund #,2017-06-28,USD,1.0710
MIL JPMorgan China Income Fund #,2017-06-29,USD,1.0770
MIL JPMorgan China Income Fund #,2017-06-30,USD,1.0770
MIL JPMorgan China Income Fund #,2017-07-03,USD,1.0740
MIL JPMorgan China Income Fund #,2017-07-04,USD,1.0670
MIL JPMorgan China Income Fund #,2017-07-05,USD,1.0730
MIL JPMorgan China Income Fund #,2017-07-06,USD,1.0730
MIL JPMorgan China Income Fund #,2017-07-07,USD,1.0690
MIL JPMorgan China Income Fund #,2017-07-10,USD,1.0690
MIL JPMorgan China Income Fund #,2017-07-11,USD,1.0770
MIL JPMorgan China Income Fund #,2017-07-12,USD,1.0770
MIL JPMorgan China Income Fund #,2017-07-13,USD,1.0810
MIL JPMorgan China Income Fund #,2017-07-14,USD,1.0860
MIL JPMorgan China Income Fund #,2017-07-17,USD,1.0860
MIL JPMorgan China Income Fund #,2017-07-18,USD,1.0840
MIL JPMorgan China Income Fund #,2017-07-19,USD,1.0910
MIL JPMorgan China Income Fund #,2017-07-20,USD,1.0960
MIL JPMorgan China Income Fund #,2017-07-21,USD,1.0930
MIL JPMorgan China Income Fund #,2017-07-24,USD,1.0950
MIL JPMorgan China Income Fund #,2017-07-25,USD,1.0920
MIL JPMorgan China Income Fund #,2017-07-26,USD,1.0900
MIL JPMorgan China Income Fund #,2017-07-27,USD,1.0900
MIL JPMorgan China Income Fund #,2017-07-28,USD,1.0920
MIL JPMorgan China Income Fund #,2017-07-31,USD,1.0940
MIL JPMorgan China Income Fund #,2017-08-01,USD,1.1000
MIL JPMorgan China Income Fund #,2017-08-02,USD,1.1000
MIL JPMorgan China Income Fund #,2017-08-03,USD,1.0960
MIL JPMorgan China Income Fund #,2017-08-04,USD,1.0940
MIL JPMorgan China Income Fund #,2017-08-07,USD,1.1000
MIL JPMorgan China Income Fund #,2017-08-08,USD,1.1020
MIL JPMorgan China Income Fund #,2017-08-09,USD,1.1040
MIL JPMorgan China Income Fund #,2017-08-10,USD,1.1000
MIL JPMorgan China Income Fund #,2017-08-11,USD,1.0880
MIL JPMorgan China Income Fund #,2017-08-14,USD,1.0920
MIL JPMorgan China Income Fund #,2017-08-15,USD,1.0950
MIL JPMorgan China Income Fund #,2017-08-16,USD,1.0950
MIL JPMorgan China Income Fund #,2017-08-17,USD,1.0980
MIL JPMorgan China Income Fund #,2017-08-18,USD,1.0950
MIL JPMorgan China Income Fund #,2017-08-21,USD,1.0980
