Name of Investment Choice,Date,Currency,Purchase Price,Unit Sell Price
MIL Fidelity Global Multi Asset Income Fund #,2014/09/22,USD,1.0000,1.0000
MIL Fidelity Global Multi Asset Income Fund #,2014/09/23,USD,1.0000,1.0000
MIL Fidelity Global Multi Asset Income Fund #,2014/09/24,USD,1.0000,1.0000
MIL Fidelity Global Multi Asset Income Fund #,2014/09/25,USD,1.0000,1.0000
MIL Fidelity Global Multi Asset Income Fund #,2014/09/26,USD,1.0000,1.0000
MIL Fidelity Global Multi Asset Income Fund #,2014/09/29,USD,1.0000,1.0000
MIL Fidelity Global Multi Asset Income Fund #,2014/09/30,USD,1.0000,1.0000
MIL Fidelity Global Multi Asset Income Fund #,2014/10/03,USD,1.0000,1.0000
MIL Fidelity Global Multi Asset Income Fund #,2014/10/06,USD,1.0000,1.0000
MIL Fidelity Global Multi Asset Income Fund #,2014/10/07,USD,1.0000,1.0000
MIL Fidelity Global Multi Asset Income Fund #,2014/10/08,USD,0.9970,0.9970
MIL Fidelity Global Multi Asset Income Fund #,2014/10/09,USD,0.9990,0.9990
MIL Fidelity Global Multi Asset Income Fund #,2014/10/10,USD,0.9920,0.9920
MIL Fidelity Global Multi Asset Income Fund #,2014/10/13,USD,0.9920,0.9920
MIL Fidelity Global Multi Asset Income Fund #,2014/10/14,USD,0.9910,0.9910
MIL Fidelity Global Multi Asset Income Fund #,2014/10/15,USD,0.9860,0.9860
MIL Fidelity Global Multi Asset Income Fund #,2014/10/16,USD,0.9860,0.9860
MIL Fidelity Global Multi Asset Income Fund #,2014/10/17,USD,0.9940,0.9940
MIL Fidelity Global Multi Asset Income Fund #,2014/10/20,USD,0.9960,0.9960
MIL Fidelity Global Multi Asset Income Fund #,2014/10/21,USD,1.0010,1.0010
MIL Fidelity Global Multi Asset Income Fund #,2014/10/22,USD,1.0030,1.0030
MIL Fidelity Global Multi Asset Income Fund #,2014/10/23,USD,1.0040,1.0040
