Name of Investment Choice,Date,Currency,Purchase Price,Unit Sell Price
MIL U.S. Equity Fund,,,,
MIL U.S. Equity Fund,2007/01/15,USD,1.0000,1.0000
MIL U.S. Equity Fund,2007/01/16,USD,1.0000,1.0000
MIL U.S. Equity Fund,2007/01/17,USD,1.0000,1.0000
MIL U.S. Equity Fund,2007/01/18,USD,1.0000,1.0000
MIL U.S. Equity Fund,2007/01/19,USD,1.0000,1.0000
MIL U.S. Equity Fund,2007/01/22,USD,1.0000,1.0000
MIL U.S. Equity Fund,2007/01/23,USD,1.0000,1.0000
MIL U.S. Equity Fund,2007/01/24,USD,1.0000,1.0000
MIL U.S. Equity Fund,2007/01/25,USD,1.0000,1.0000
MIL U.S. Equity Fund,2007/01/26,USD,1.0000,1.0000
MIL U.S. Equity Fund,2007/01/29,USD,1.0000,1.0000
MIL U.S. Equity Fund,2007/01/30,USD,1.0080,1.0080
MIL U.S. Equity Fund,2007/01/31,USD,1.0160,1.0160
MIL U.S. Equity Fund,2007/02/01,USD,1.0230,1.0230
MIL U.S. Equity Fund,2007/02/02,USD,1.0270,1.0270
MIL U.S. Equity Fund,2007/02/05,USD,1.0240,1.0240
MIL U.S. Equity Fund,2007/02/06,USD,1.0250,1.0250
MIL U.S. Equity Fund,2007/02/07,USD,1.0280,1.0280
MIL U.S. Equity Fund,2007/02/08,USD,1.0250,1.0250
MIL U.S. Equity Fund,2007/02/09,USD,1.0170,1.0170
MIL U.S. Equity Fund,2007/02/12,USD,1.0130,1.0130
MIL U.S. Equity Fund,2007/02/13,USD,1.0210,1.0210
MIL U.S. Equity Fund,2007/02/14,USD,1.0290,1.0290
MIL U.S. Equity Fund,2007/02/15,USD,1.0300,1.0300
MIL U.S. Equity Fund,2007/02/16,USD,1.0310,1.0310
MIL U.S. Equity Fund,2007/02/21,USD,1.0310,1.0310
MIL U.S. Equity Fund,2007/02/22,USD,1.0290,1.0290
MIL U.S. Equity Fund,2007/02/23,USD,1.0240,1.0240
MIL U.S. Equity Fund,2007/02/26,USD,1.0230,1.0230
MIL U.S. Equity Fund,2007/02/27,USD,0.9970,0.9970
MIL U.S. Equity Fund,2007/02/28,USD,1.0010,1.0010
MIL U.S. Equity Fund,2007/03/01,USD,0.9980,0.9980
MIL U.S. Equity Fund,2007/03/02,USD,0.9930,0.9930
MIL U.S. Equity Fund,2007/03/05,USD,0.9880,0.9880
MIL U.S. Equity Fund,2007/03/06,USD,1.0030,1.0030
MIL U.S. Equity Fund,2007/03/07,USD,1.0040,1.0040
MIL U.S. Equity Fund,2007/03/08,USD,1.0100,1.0100
MIL U.S. Equity Fund,2007/03/09,USD,1.0110,1.0110
MIL U.S. Equity Fund,2007/03/12,USD,1.0120,1.0120
MIL U.S. Equity Fund,2007/03/13,USD,1.0020,1.0020
MIL U.S. Equity Fund,2007/03/14,USD,1.0060,1.0060
MIL U.S. Equity Fund,2007/03/15,USD,1.0100,1.0100
MIL U.S. Equity Fund,2007/03/16,USD,1.0050,1.0050
MIL U.S. Equity Fund,2007/03/19,USD,1.0180,1.0180
MIL U.S. Equity Fund,2007/03/20,USD,1.0250,1.0250
MIL U.S. Equity Fund,2007/03/21,USD,1.0430,1.0430
MIL U.S. Equity Fund,2007/03/22,USD,1.0420,1.0420
MIL U.S. Equity Fund,2007/03/23,USD,1.0450,1.0450
MIL U.S. Equity Fund,2007/03/26,USD,1.0450,1.0450
MIL U.S. Equity Fund,2007/03/27,USD,1.0360,1.0360
MIL U.S. Equity Fund,2007/03/28,USD,1.0290,1.0290
MIL U.S. Equity Fund,2007/03/29,USD,1.0320,1.0320
MIL U.S. Equity Fund,2007/03/30,USD,1.0310,1.0310
MIL U.S. Equity Fund,2007/04/02,USD,1.0300,1.0300
MIL U.S. Equity Fund,2007/04/03,USD,1.0410,1.0410
MIL U.S. Equity Fund,2007/04/04,USD,1.0430,1.0430
MIL U.S. Equity Fund,2007/04/10,USD,1.0510,1.0510
MIL U.S. Equity Fund,2007/04/11,USD,1.0470,1.0470
MIL U.S. Equity Fund,2007/04/12,USD,1.0530,1.0530
MIL U.S. Equity Fund,2007/04/13,USD,1.0550,1.0550
MIL U.S. Equity Fund,2007/04/16,USD,1.0680,1.0680
MIL U.S. Equity Fund,2007/04/17,USD,1.0690,1.0690
MIL U.S. Equity Fund,2007/04/18,USD,1.0720,1.0720
MIL U.S. Equity Fund,2007/04/19,USD,1.0670,1.0670
MIL U.S. Equity Fund,2007/04/20,USD,1.0750,1.0750
MIL U.S. Equity Fund,2007/04/23,USD,1.0730,1.0730
MIL U.S. Equity Fund,2007/04/24,USD,1.0700,1.0700
MIL U.S. Equity Fund,2007/04/25,USD,1.0770,1.0770
MIL U.S. Equity Fund,2007/04/26,USD,1.0750,1.0750
MIL U.S. Equity Fund,2007/04/27,USD,1.0750,1.0750
MIL U.S. Equity Fund,2007/04/30,USD,1.0650,1.0650
MIL U.S. Equity Fund,2007/05/02,USD,1.0760,1.0760
MIL U.S. Equity Fund,2007/05/03,USD,1.0800,1.0800
MIL U.S. Equity Fund,2007/05/04,USD,1.0850,1.0850
MIL U.S. Equity Fund,2007/05/07,USD,1.0850,1.0850
MIL U.S. Equity Fund,2007/05/08,USD,1.0850,1.0850
MIL U.S. Equity Fund,2007/05/09,USD,1.0870,1.0870
MIL U.S. Equity Fund,2007/05/10,USD,1.0730,1.0730
MIL U.S. Equity Fund,2007/05/11,USD,1.0840,1.0840
MIL U.S. Equity Fund,2007/05/14,USD,1.0800,1.0800
MIL U.S. Equity Fund,2007/05/15,USD,1.0790,1.0790
MIL U.S. Equity Fund,2007/05/16,USD,1.0870,1.0870
MIL U.S. Equity Fund,2007/05/17,USD,1.0900,1.0900
MIL U.S. Equity Fund,2007/05/18,USD,1.0960,1.0960
MIL U.S. Equity Fund,2007/05/21,USD,1.0990,1.0990
MIL U.S. Equity Fund,2007/05/22,USD,1.0980,1.0980
MIL U.S. Equity Fund,2007/05/23,USD,1.0970,1.0970
MIL U.S. Equity Fund,2007/05/25,USD,1.0900,1.0900
MIL U.S. Equity Fund,2007/05/28,USD,1.0890,1.0890
MIL U.S. Equity Fund,2007/05/29,USD,1.0920,1.0920
MIL U.S. Equity Fund,2007/05/30,USD,1.1000,1.1000
MIL U.S. Equity Fund,2007/05/31,USD,1.1020,1.1020
MIL U.S. Equity Fund,2007/06/01,USD,1.1050,1.1050
MIL U.S. Equity Fund,2007/06/04,USD,1.1040,1.1040
MIL U.S. Equity Fund,2007/06/05,USD,1.1000,1.1000
MIL U.S. Equity Fund,2007/06/06,USD,1.0900,1.0900
MIL U.S. Equity Fund,2007/06/07,USD,1.0700,1.0700
MIL U.S. Equity Fund,2007/06/08,USD,1.0800,1.0800
MIL U.S. Equity Fund,2007/06/11,USD,1.0810,1.0810
MIL U.S. Equity Fund,2007/06/12,USD,1.0740,1.0740
MIL U.S. Equity Fund,2007/06/13,USD,1.0890,1.0890
MIL U.S. Equity Fund,2007/06/14,USD,1.0960,1.0960
MIL U.S. Equity Fund,2007/06/15,USD,1.1010,1.1010
MIL U.S. Equity Fund,2007/06/18,USD,1.1000,1.1000
MIL U.S. Equity Fund,2007/06/20,USD,1.0870,1.0870
MIL U.S. Equity Fund,2007/06/21,USD,1.0900,1.0900
MIL U.S. Equity Fund,2007/06/22,USD,1.0770,1.0770
MIL U.S. Equity Fund,2007/06/25,USD,1.0720,1.0720
