Name of Investment Choice,Date,Currency,Purchase Price,Unit Sell Price
MIL PARVEST Bond Best Selection World Emerging Fund #,2018/04/16,USD,1.0000,1.0000
MIL PARVEST Bond Best Selection World Emerging Fund #,2018/04/17,USD,1.0000,1.0000
MIL PARVEST Bond Best Selection World Emerging Fund #,2018/04/18,USD,1.0000,1.0000
MIL PARVEST Bond Best Selection World Emerging Fund #,2018/04/19,USD,1.0000,1.0000
MIL PARVEST Bond Best Selection World Emerging Fund #,2018/04/20,USD,0.9990,0.9990
MIL PARVEST Bond Best Selection World Emerging Fund #,2018/04/23,USD,0.9960,0.9960
MIL PARVEST Bond Best Selection World Emerging Fund #,2018/04/24,USD,0.9960,0.9960
MIL PARVEST Bond Best Selection World Emerging Fund #,2018/04/25,USD,0.9890,0.9890
MIL PARVEST Bond Best Selection World Emerging Fund #,2018/04/26,USD,0.9900,0.9900
MIL PARVEST Bond Best Selection World Emerging Fund #,2018/04/27,USD,0.9930,0.9930
MIL PARVEST Bond Best Selection World Emerging Fund #,2018/04/30,USD,0.9900,0.9900
MIL PARVEST Bond Best Selection World Emerging Fund #,2018/05/02,USD,0.9750,0.9750
MIL PARVEST Bond Best Selection World Emerging Fund #,2018/05/03,USD,0.9710,0.9710
MIL PARVEST Bond Best Selection World Emerging Fund #,2018/05/04,USD,0.9730,0.9730
MIL PARVEST Bond Best Selection World Emerging Fund #,2018/05/07,USD,0.9700,0.9700
MIL PARVEST Bond Best Selection World Emerging Fund #,2018/05/08,USD,0.9600,0.9600
MIL PARVEST Bond Best Selection World Emerging Fund #,2018/05/09,USD,0.9590,0.9590
MIL PARVEST Bond Best Selection World Emerging Fund #,2018/05/10,USD,0.9580,0.9580
MIL PARVEST Bond Best Selection World Emerging Fund #,2018/05/11,USD,0.9700,0.9700
MIL PARVEST Bond Best Selection World Emerging Fund #,2018/05/14,USD,0.9690,0.9690
MIL PARVEST Bond Best Selection World Emerging Fund #,2018/05/15,USD,0.9560,0.9560
MIL PARVEST Bond Best Selection World Emerging Fund #,2018/05/16,USD,0.9580,0.9580
MIL PARVEST Bond Best Selection World Emerging Fund #,2018/05/17,USD,0.9540,0.9540
MIL PARVEST Bond Best Selection World Emerging Fund #,2018/05/18,USD,0.9540,0.9540
MIL PARVEST Bond Best Selection World Emerging Fund #,2018/05/21,USD,0.9470,0.9470
MIL PARVEST Bond Best Selection World Emerging Fund #,2018/05/23,USD,0.9500,0.9500
MIL PARVEST Bond Best Selection World Emerging Fund #,2018/05/24,USD,0.9530,0.9530
MIL PARVEST Bond Best Selection World Emerging Fund #,2018/05/25,USD,0.9540,0.9540


