Investment choice name,Date,Currency,NAV / unit
MIL Asia Pacific REIT Fund,2019-01-14,USD,1.0000
MIL Asia Pacific REIT Fund,2019-01-15,USD,1.0000
MIL Asia Pacific REIT Fund,2019-01-16,USD,1.0000
MIL Asia Pacific REIT Fund,2019-01-17,USD,1.0000
MIL Asia Pacific REIT Fund,2019-01-18,USD,1.0000
MIL Asia Pacific REIT Fund,2019-01-21,USD,0.9980
MIL Asia Pacific REIT Fund,2019-01-22,USD,0.9990
MIL Asia Pacific REIT Fund,2019-01-23,USD,1.0010
MIL Asia Pacific REIT Fund,2019-01-24,USD,1.0080
MIL Asia Pacific REIT Fund,2019-01-25,USD,1.0180
MIL Asia Pacific REIT Fund,2019-01-28,USD,1.0220
MIL Asia Pacific REIT Fund,2019-01-29,USD,1.0240
MIL Asia Pacific REIT Fund,2019-01-30,USD,1.0230
MIL Asia Pacific REIT Fund,2019-01-31,USD,1.0340
MIL Asia Pacific REIT Fund,2019-02-01,USD,1.0290
MIL Asia Pacific REIT Fund,2019-02-04,USD,1.0330
MIL Asia Pacific REIT Fund,2019-02-08,USD,1.0350
MIL Asia Pacific REIT Fund,2019-02-11,USD,1.0310
MIL Asia Pacific REIT Fund,2019-02-12,USD,1.0300
MIL Asia Pacific REIT Fund,2019-02-13,USD,1.0270
MIL Asia Pacific REIT Fund,2019-02-14,USD,1.0270
MIL Asia Pacific REIT Fund,2019-02-15,USD,1.0290
MIL Asia Pacific REIT Fund,2019-02-18,USD,1.0340
MIL Asia Pacific REIT Fund,2019-02-19,USD,1.0350
MIL Asia Pacific REIT Fund,2019-02-20,USD,1.0430
MIL Asia Pacific REIT Fund,2019-02-21,USD,1.0410
MIL Asia Pacific REIT Fund,2019-02-22,USD,1.0450
MIL Asia Pacific REIT Fund,2019-02-25,USD,1.0470
MIL Asia Pacific REIT Fund,2019-02-26,USD,1.0450
MIL Asia Pacific REIT Fund,2019-02-27,USD,1.0410
MIL Asia Pacific REIT Fund,2019-02-28,USD,1.0370
MIL Asia Pacific REIT Fund,2019-03-01,USD,1.0430
MIL Asia Pacific REIT Fund,2019-03-04,USD,1.0450
MIL Asia Pacific REIT Fund,2019-03-05,USD,1.0430
MIL Asia Pacific REIT Fund,2019-03-06,USD,1.0440
MIL Asia Pacific REIT Fund,2019-03-07,USD,1.0430
MIL Asia Pacific REIT Fund,2019-03-08,USD,1.0370
MIL Asia Pacific REIT Fund,2019-03-11,USD,1.0380
MIL Asia Pacific REIT Fund,2019-03-12,USD,1.0450
MIL Asia Pacific REIT Fund,2019-03-13,USD,1.0420
MIL Asia Pacific REIT Fund,2019-03-14,USD,1.0420
MIL Asia Pacific REIT Fund,2019-03-15,USD,1.0390
MIL Asia Pacific REIT Fund,2019-03-18,USD,1.0470
MIL Asia Pacific REIT Fund,2019-03-19,USD,1.0500
MIL Asia Pacific REIT Fund,2019-03-20,USD,1.0500
MIL Asia Pacific REIT Fund,2019-03-21,USD,1.0520
MIL Asia Pacific REIT Fund,2019-03-22,USD,1.0560
MIL Asia Pacific REIT Fund,2019-03-25,USD,1.0540
MIL Asia Pacific REIT Fund,2019-03-26,USD,1.0630
MIL Asia Pacific REIT Fund,2019-03-27,USD,1.0640
MIL Asia Pacific REIT Fund,2019-03-28,USD,1.0700
MIL Asia Pacific REIT Fund,2019-03-29,USD,1.0720
MIL Asia Pacific REIT Fund,2019-04-01,USD,1.0800
MIL Asia Pacific REIT Fund,2019-04-02,USD,1.0810
MIL Asia Pacific REIT Fund,2019-04-03,USD,1.0790
MIL Asia Pacific REIT Fund,2019-04-04,USD,1.0770
MIL Asia Pacific REIT Fund,2019-04-08,USD,1.0740
MIL Asia Pacific REIT Fund,2019-04-09,USD,1.0770
MIL Asia Pacific REIT Fund,2019-04-10,USD,1.0790
MIL Asia Pacific REIT Fund,2019-04-11,USD,1.0730
MIL Asia Pacific REIT Fund,2019-04-12,USD,1.0760
MIL Asia Pacific REIT Fund,2019-04-15,USD,1.0720
MIL Asia Pacific REIT Fund,2019-04-16,USD,1.0710
MIL Asia Pacific REIT Fund,2019-04-17,USD,1.0650
MIL Asia Pacific REIT Fund,2019-04-18,USD,1.0610
MIL Asia Pacific REIT Fund,2019-04-23,USD,1.0570
MIL Asia Pacific REIT Fund,2019-04-24,USD,1.0630
MIL Asia Pacific REIT Fund,2019-04-25,USD,1.0620
MIL Asia Pacific REIT Fund,2019-04-26,USD,1.0680
MIL Asia Pacific REIT Fund,2019-04-29,USD,1.0700
MIL Asia Pacific REIT Fund,2019-04-30,USD,1.0680
MIL Asia Pacific REIT Fund,2019-05-02,USD,1.0760
MIL Asia Pacific REIT Fund,2019-05-03,USD,1.0780
MIL Asia Pacific REIT Fund,2019-05-06,USD,1.0660
MIL Asia Pacific REIT Fund,2019-05-07,USD,1.0710
MIL Asia Pacific REIT Fund,2019-05-08,USD,1.0690
MIL Asia Pacific REIT Fund,2019-05-09,USD,1.0690
MIL Asia Pacific REIT Fund,2019-05-10,USD,1.0640
MIL Asia Pacific REIT Fund,2019-05-14,USD,1.0620
MIL Asia Pacific REIT Fund,2019-05-15,USD,1.0600
MIL Asia Pacific REIT Fund,2019-05-16,USD,1.0630
MIL Asia Pacific REIT Fund,2019-05-17,USD,1.0560
MIL Asia Pacific REIT Fund,2019-05-20,USD,1.0580
MIL Asia Pacific REIT Fund,2019-05-21,USD,1.0540
MIL Asia Pacific REIT Fund,2019-05-22,USD,1.0560
MIL Asia Pacific REIT Fund,2019-05-23,USD,1.0510
MIL Asia Pacific REIT Fund,2019-05-24,USD,1.0580
MIL Asia Pacific REIT Fund,2019-05-27,USD,1.0610
MIL Asia Pacific REIT Fund,2019-05-28,USD,1.0620
MIL Asia Pacific REIT Fund,2019-05-29,USD,1.0580
MIL Asia Pacific REIT Fund,2019-05-30,USD,1.0580
MIL Asia Pacific REIT Fund,2019-05-31,USD,1.0460
MIL Asia Pacific REIT Fund,2019-06-03,USD,1.0580
MIL Asia Pacific REIT Fund,2019-06-04,USD,1.0650
MIL Asia Pacific REIT Fund,2019-06-05,USD,1.0670
MIL Asia Pacific REIT Fund,2019-06-06,USD,1.0820
MIL Asia Pacific REIT Fund,2019-06-10,USD,1.0810
MIL Asia Pacific REIT Fund,2019-06-11,USD,1.0930
MIL Asia Pacific REIT Fund,2019-06-12,USD,1.0850
MIL Asia Pacific REIT Fund,2019-06-13,USD,1.0890
MIL Asia Pacific REIT Fund,2019-06-14,USD,1.0850
MIL Asia Pacific REIT Fund,2019-06-17,USD,1.0820
MIL Asia Pacific REIT Fund,2019-06-18,USD,1.0930
MIL Asia Pacific REIT Fund,2019-06-19,USD,1.1000
MIL Asia Pacific REIT Fund,2019-06-20,USD,1.1110
MIL Asia Pacific REIT Fund,2019-06-21,USD,1.1090
MIL Asia Pacific REIT Fund,2019-06-24,USD,1.1150
MIL Asia Pacific REIT Fund,2019-06-25,USD,1.1160
MIL Asia Pacific REIT Fund,2019-06-26,USD,1.1140
MIL Asia Pacific REIT Fund,2019-06-27,USD,1.1170
MIL Asia Pacific REIT Fund,2019-06-28,USD,1.1180
MIL Asia Pacific REIT Fund,2019-07-02,USD,1.1210
MIL Asia Pacific REIT Fund,2019-07-03,USD,1.1330
MIL Asia Pacific REIT Fund,2019-07-04,USD,1.1390
MIL Asia Pacific REIT Fund,2019-07-05,USD,1.1460
MIL Asia Pacific REIT Fund,2019-07-08,USD,1.1360
MIL Asia Pacific REIT Fund,2019-07-09,USD,1.1210
MIL Asia Pacific REIT Fund,2019-07-10,USD,1.1240
MIL Asia Pacific REIT Fund,2019-07-11,USD,1.1320
MIL Asia Pacific REIT Fund,2019-07-12,USD,1.1290
MIL Asia Pacific REIT Fund,2019-07-15,USD,1.1250
MIL Asia Pacific REIT Fund,2019-07-16,USD,1.1280
MIL Asia Pacific REIT Fund,2019-07-17,USD,1.1250
MIL Asia Pacific REIT Fund,2019-07-18,USD,1.1240
MIL Asia Pacific REIT Fund,2019-07-19,USD,1.1270
MIL Asia Pacific REIT Fund,2019-07-22,USD,1.1150
MIL Asia Pacific REIT Fund,2019-07-23,USD,1.1140
MIL Asia Pacific REIT Fund,2019-07-24,USD,1.1120
MIL Asia Pacific REIT Fund,2019-07-25,USD,1.1120
MIL Asia Pacific REIT Fund,2019-07-26,USD,1.1080
MIL Asia Pacific REIT Fund,2019-07-29,USD,1.0990
MIL Asia Pacific REIT Fund,2019-07-30,USD,1.1010
MIL Asia Pacific REIT Fund,2019-07-31,USD,1.0940
MIL Asia Pacific REIT Fund,2019-08-01,USD,1.0800
MIL Asia Pacific REIT Fund,2019-08-02,USD,1.0830
MIL Asia Pacific REIT Fund,2019-08-05,USD,1.0650
MIL Asia Pacific REIT Fund,2019-08-06,USD,1.0590
MIL Asia Pacific REIT Fund,2019-08-07,USD,1.0550
MIL Asia Pacific REIT Fund,2019-08-08,USD,1.0670
MIL Asia Pacific REIT Fund,2019-08-09,USD,1.0640
MIL Asia Pacific REIT Fund,2019-08-12,USD,1.0560
MIL Asia Pacific REIT Fund,2019-08-13,USD,1.0520
MIL Asia Pacific REIT Fund,2019-08-14,USD,1.0490
MIL Asia Pacific REIT Fund,2019-08-15,USD,1.0490
MIL Asia Pacific REIT Fund,2019-08-16,USD,1.0680
MIL Asia Pacific REIT Fund,2019-08-19,USD,1.0760
MIL Asia Pacific REIT Fund,2019-08-20,USD,1.0780
MIL Asia Pacific REIT Fund,2019-08-21,USD,1.0790
MIL Asia Pacific REIT Fund,2019-08-22,USD,1.0730
MIL Asia Pacific REIT Fund,2019-08-23,USD,1.0700
MIL Asia Pacific REIT Fund,2019-08-26,USD,1.0600
MIL Asia Pacific REIT Fund,2019-08-27,USD,1.0570
MIL Asia Pacific REIT Fund,2019-08-28,USD,1.0640
MIL Asia Pacific REIT Fund,2019-08-29,USD,1.0650
MIL Asia Pacific REIT Fund,2019-08-30,USD,1.0680
MIL Asia Pacific REIT Fund,2019-09-02,USD,1.0620
MIL Asia Pacific REIT Fund,2019-09-03,USD,1.0610
MIL Asia Pacific REIT Fund,2019-09-04,USD,1.0880
MIL Asia Pacific REIT Fund,2019-09-05,USD,1.0870
MIL Asia Pacific REIT Fund,2019-09-06,USD,1.0850
MIL Asia Pacific REIT Fund,2019-09-09,USD,1.0820
MIL Asia Pacific REIT Fund,2019-09-10,USD,1.0770
MIL Asia Pacific REIT Fund,2019-09-11,USD,1.0810
MIL Asia Pacific REIT Fund,2019-09-12,USD,1.0810
MIL Asia Pacific REIT Fund,2019-09-13,USD,1.0880
MIL Asia Pacific REIT Fund,2019-09-16,USD,1.0810
MIL Asia Pacific REIT Fund,2019-09-17,USD,1.0790
MIL Asia Pacific REIT Fund,2019-09-18,USD,1.0820
MIL Asia Pacific REIT Fund,2019-09-19,USD,1.0830
MIL Asia Pacific REIT Fund,2019-09-20,USD,1.0850
MIL Asia Pacific REIT Fund,2019-09-23,USD,1.0780
MIL Asia Pacific REIT Fund,2019-09-24,USD,1.0790
MIL Asia Pacific REIT Fund,2019-09-25,USD,1.0780
MIL Asia Pacific REIT Fund,2019-09-26,USD,1.0770
MIL Asia Pacific REIT Fund,2019-09-27,USD,1.0730
MIL Asia Pacific REIT Fund,2019-09-30,USD,1.0740
MIL Asia Pacific REIT Fund,2019-10-02,USD,1.0700
MIL Asia Pacific REIT Fund,2019-10-03,USD,1.0720
MIL Asia Pacific REIT Fund,2019-10-04,USD,1.0730
MIL Asia Pacific REIT Fund,2019-10-08,USD,1.0740
MIL Asia Pacific REIT Fund,2019-10-09,USD,1.0710
MIL Asia Pacific REIT Fund,2019-10-10,USD,1.0680
MIL Asia Pacific REIT Fund,2019-10-11,USD,1.0820
MIL Asia Pacific REIT Fund,2019-10-14,USD,1.0840
MIL Asia Pacific REIT Fund,2019-10-15,USD,1.0750
MIL Asia Pacific REIT Fund,2019-10-16,USD,1.0880
MIL Asia Pacific REIT Fund,2019-10-17,USD,1.0960
MIL Asia Pacific REIT Fund,2019-10-18,USD,1.0890
MIL Asia Pacific REIT Fund,2019-10-21,USD,1.0960
MIL Asia Pacific REIT Fund,2019-10-22,USD,1.0920
MIL Asia Pacific REIT Fund,2019-10-23,USD,1.0920
MIL Asia Pacific REIT Fund,2019-10-24,USD,1.0960
MIL Asia Pacific REIT Fund,2019-10-25,USD,1.0950
MIL Asia Pacific REIT Fund,2019-10-28,USD,1.0960
MIL Asia Pacific REIT Fund,2019-10-29,USD,1.0930
MIL Asia Pacific REIT Fund,2019-10-30,USD,1.0950
MIL Asia Pacific REIT Fund,2019-10-31,USD,1.0980
MIL Asia Pacific REIT Fund,2019-11-01,USD,1.0980
MIL Asia Pacific REIT Fund,2019-11-04,USD,1.1060
MIL Asia Pacific REIT Fund,2019-11-05,USD,1.1080
MIL Asia Pacific REIT Fund,2019-11-06,USD,1.1040
MIL Asia Pacific REIT Fund,2019-11-07,USD,1.1090
MIL Asia Pacific REIT Fund,2019-11-08,USD,1.0900
MIL Asia Pacific REIT Fund,2019-11-11,USD,1.0720
MIL Asia Pacific REIT Fund,2019-11-12,USD,1.0740
MIL Asia Pacific REIT Fund,2019-11-13,USD,1.0680
MIL Asia Pacific REIT Fund,2019-11-14,USD,1.0670
MIL Asia Pacific REIT Fund,2019-11-15,USD,1.0730
MIL Asia Pacific REIT Fund,2019-11-18,USD,1.0780
MIL Asia Pacific REIT Fund,2019-11-19,USD,1.0870
MIL Asia Pacific REIT Fund,2019-11-20,USD,1.0830
MIL Asia Pacific REIT Fund,2019-11-21,USD,1.0740
MIL Asia Pacific REIT Fund,2019-11-22,USD,1.0770
MIL Asia Pacific REIT Fund,2019-11-25,USD,1.0800
MIL Asia Pacific REIT Fund,2019-11-26,USD,1.0820
MIL Asia Pacific REIT Fund,2019-11-27,USD,1.0860
MIL Asia Pacific REIT Fund,2019-11-28,USD,1.0850
MIL Asia Pacific REIT Fund,2019-11-29,USD,1.0810
MIL Asia Pacific REIT Fund,2019-12-02,USD,1.0840
MIL Asia Pacific REIT Fund,2019-12-03,USD,1.0810
MIL Asia Pacific REIT Fund,2019-12-04,USD,1.0780
MIL Asia Pacific REIT Fund,2019-12-05,USD,1.0830
MIL Asia Pacific REIT Fund,2019-12-06,USD,1.0920
MIL Asia Pacific REIT Fund,2019-12-09,USD,1.0900
MIL Asia Pacific REIT Fund,2019-12-10,USD,1.0880
MIL Asia Pacific REIT Fund,2019-12-11,USD,1.0850
MIL Asia Pacific REIT Fund,2019-12-12,USD,1.0810
MIL Asia Pacific REIT Fund,2019-12-13,USD,1.0780
MIL Asia Pacific REIT Fund,2019-12-16,USD,1.0780
MIL Asia Pacific REIT Fund,2019-12-17,USD,1.0740
MIL Asia Pacific REIT Fund,2019-12-18,USD,1.0780
MIL Asia Pacific REIT Fund,2019-12-19,USD,1.0790
MIL Asia Pacific REIT Fund,2019-12-20,USD,1.0860
MIL Asia Pacific REIT Fund,2019-12-23,USD,1.0890
MIL Asia Pacific REIT Fund,2019-12-24,USD,1.0890
MIL Asia Pacific REIT Fund,2019-12-27,USD,1.1000
MIL Asia Pacific REIT Fund,2019-12-30,USD,1.1070
MIL Asia Pacific REIT Fund,2019-12-31,USD,1.1080
MIL Asia Pacific REIT Fund,2020-01-02,USD,1.1080
MIL Asia Pacific REIT Fund,2020-01-03,USD,1.1060
MIL Asia Pacific REIT Fund,2020-01-06,USD,1.1020
MIL Asia Pacific REIT Fund,2020-01-07,USD,1.1050
MIL Asia Pacific REIT Fund,2020-01-08,USD,1.1030
MIL Asia Pacific REIT Fund,2020-01-09,USD,1.1100
MIL Asia Pacific REIT Fund,2020-01-10,USD,1.1130
MIL Asia Pacific REIT Fund,2020-01-13,USD,1.1200
MIL Asia Pacific REIT Fund,2020-01-14,USD,1.1260
MIL Asia Pacific REIT Fund,2020-01-15,USD,1.1300
MIL Asia Pacific REIT Fund,2020-01-16,USD,1.1370
MIL Asia Pacific REIT Fund,2020-01-17,USD,1.1410
MIL Asia Pacific REIT Fund,2020-01-20,USD,1.1370
MIL Asia Pacific REIT Fund,2020-01-21,USD,1.1210
MIL Asia Pacific REIT Fund,2020-01-22,USD,1.1210
MIL Asia Pacific REIT Fund,2020-01-23,USD,1.1180
MIL Asia Pacific REIT Fund,2020-01-24,USD,1.1190
MIL Asia Pacific REIT Fund,2020-01-29,USD,1.0920
MIL Asia Pacific REIT Fund,2020-01-30,USD,1.0860
MIL Asia Pacific REIT Fund,2020-01-31,USD,1.0830
MIL Asia Pacific REIT Fund,2020-02-03,USD,1.0730
MIL Asia Pacific REIT Fund,2020-02-04,USD,1.0800
MIL Asia Pacific REIT Fund,2020-02-05,USD,1.0870
MIL Asia Pacific REIT Fund,2020-02-06,USD,1.0940
MIL Asia Pacific REIT Fund,2020-02-07,USD,1.0850
MIL Asia Pacific REIT Fund,2020-02-10,USD,1.0840
MIL Asia Pacific REIT Fund,2020-02-11,USD,1.0900
MIL Asia Pacific REIT Fund,2020-02-12,USD,1.1020
MIL Asia Pacific REIT Fund,2020-02-13,USD,1.1060
MIL Asia Pacific REIT Fund,2020-02-14,USD,1.1060
MIL Asia Pacific REIT Fund,2020-02-17,USD,1.1080
MIL Asia Pacific REIT Fund,2020-02-18,USD,1.1040
MIL Asia Pacific REIT Fund,2020-02-19,USD,1.1100
MIL Asia Pacific REIT Fund,2020-02-20,USD,1.1030
MIL Asia Pacific REIT Fund,2020-02-21,USD,1.0920
MIL Asia Pacific REIT Fund,2020-02-24,USD,1.0780
MIL Asia Pacific REIT Fund,2020-02-25,USD,1.0770
MIL Asia Pacific REIT Fund,2020-02-26,USD,1.0630
MIL Asia Pacific REIT Fund,2020-02-27,USD,1.0610
MIL Asia Pacific REIT Fund,2020-02-28,USD,1.0280
MIL Asia Pacific REIT Fund,2020-03-02,USD,1.0330
MIL Asia Pacific REIT Fund,2020-03-03,USD,1.0430
MIL Asia Pacific REIT Fund,2020-03-04,USD,1.0700
MIL Asia Pacific REIT Fund,2020-03-05,USD,1.0870
MIL Asia Pacific REIT Fund,2020-03-06,USD,1.0720
MIL Asia Pacific REIT Fund,2020-03-09,USD,1.0280
MIL Asia Pacific REIT Fund,2020-03-10,USD,1.0350
MIL Asia Pacific REIT Fund,2020-03-11,USD,1.0310
MIL Asia Pacific REIT Fund,2020-03-12,USD,0.9720
MIL Asia Pacific REIT Fund,2020-03-13,USD,0.9380
MIL Asia Pacific REIT Fund,2020-03-16,USD,0.8610
MIL Asia Pacific REIT Fund,2020-03-17,USD,0.8310
MIL Asia Pacific REIT Fund,2020-03-18,USD,0.8040
MIL Asia Pacific REIT Fund,2020-03-19,USD,0.7560
MIL Asia Pacific REIT Fund,2020-03-20,USD,0.7780
MIL Asia Pacific REIT Fund,2020-03-23,USD,0.7200
MIL Asia Pacific REIT Fund,2020-03-24,USD,0.7640
MIL Asia Pacific REIT Fund,2020-03-25,USD,0.8190
MIL Asia Pacific REIT Fund,2020-03-26,USD,0.8190
MIL Asia Pacific REIT Fund,2020-03-27,USD,0.8320
MIL Asia Pacific REIT Fund,2020-03-30,USD,0.8170
MIL Asia Pacific REIT Fund,2020-03-31,USD,0.8350
