Name of Investment Choice,Date,Currency,Purchase Price,Unit Sell Price
MIL Preferred Securities Income Fund ,2020/05/04,USD,1.0000,1.0000
MIL Preferred Securities Income Fund ,2020/05/05,USD,1.0000,1.0000
MIL Preferred Securities Income Fund ,2020/05/06,USD,1.0000,1.0000
MIL Preferred Securities Income Fund ,2020/05/07,USD,1.0000,1.0000
MIL Preferred Securities Income Fund ,2020/05/08,USD,1.0000,1.0000
MIL Preferred Securities Income Fund ,2020/05/11,USD,1.0000,1.0000
MIL Preferred Securities Income Fund ,2020/05/12,USD,1.0000,1.0000
MIL Preferred Securities Income Fund ,2020/05/13,USD,1.0000,1.0000
MIL Preferred Securities Income Fund ,2020/05/14,USD,1.0000,1.0000
MIL Preferred Securities Income Fund ,2020/05/15,USD,1.0000,1.0000
MIL Preferred Securities Income Fund ,2020/05/18,USD,1.0000,1.0000
MIL Preferred Securities Income Fund ,2020/05/19,USD,1.0000,1.0000
MIL Preferred Securities Income Fund ,2020/05/20,USD,1.0000,1.0000
MIL Preferred Securities Income Fund ,2020/05/21,USD,1.0000,1.0000
MIL Preferred Securities Income Fund ,2020/05/22,USD,1.0000,1.0000
MIL Preferred Securities Income Fund ,2020/05/25,USD,1.0000,1.0000
MIL Preferred Securities Income Fund ,2020/05/26,USD,1.0000,1.0000
MIL Preferred Securities Income Fund ,2020/05/27,USD,1.0000,1.0000
MIL Preferred Securities Income Fund ,2020/05/28,USD,1.0000,1.0000
MIL Preferred Securities Income Fund ,2020/05/29,USD,1.0000,1.0000
MIL Preferred Securities Income Fund ,2020/06/01,USD,S,S
MIL Preferred Securities Income Fund ,2020/06/02,USD,1.0000,1.0000
MIL Preferred Securities Income Fund ,2020/06/03,USD,1.0070,1.0070
MIL Preferred Securities Income Fund ,2020/06/04,USD,1.0100,1.0100
MIL Preferred Securities Income Fund ,2020/06/05,USD,1.0180,1.0180
MIL Preferred Securities Income Fund ,2020/06/08,USD,1.0230,1.0230
MIL Preferred Securities Income Fund ,2020/06/09,USD,1.0230,1.0230
MIL Preferred Securities Income Fund ,2020/06/10,USD,1.0220,1.0220
MIL Preferred Securities Income Fund ,2020/06/11,USD,1.0200,1.0200
MIL Preferred Securities Income Fund ,2020/06/12,USD,1.0190,1.0190
MIL Preferred Securities Income Fund ,2020/06/15,USD,1.0030,1.0030
MIL Preferred Securities Income Fund ,2020/06/16,USD,1.0240,1.0240
MIL Preferred Securities Income Fund ,2020/06/17,USD,1.0230,1.0230
MIL Preferred Securities Income Fund ,2020/06/18,USD,1.0220,1.0220
MIL Preferred Securities Income Fund ,2020/06/19,USD,1.0270,1.0270
MIL Preferred Securities Income Fund ,2020/06/22,USD,1.0190,1.0190
MIL Preferred Securities Income Fund ,2020/06/23,USD,1.0190,1.0190
MIL Preferred Securities Income Fund ,2020/06/24,USD,1.0160,1.0160
MIL Preferred Securities Income Fund ,2020/06/26,USD,1.0100,1.0100
MIL Preferred Securities Income Fund ,2020/06/29,USD,1.0070,1.0070
MIL Preferred Securities Income Fund ,2020/06/30,USD,1.0090,1.0090
MIL Preferred Securities Income Fund ,2020/07/02,USD,1.0150,1.0150
MIL Preferred Securities Income Fund ,2020/07/03,USD,1.0150,1.0150
MIL Preferred Securities Income Fund ,2020/07/06,USD,1.0170,1.0170
MIL Preferred Securities Income Fund ,2020/07/07,USD,1.0110,1.0110
MIL Preferred Securities Income Fund ,2020/07/08,USD,1.0120,1.0120
MIL Preferred Securities Income Fund ,2020/07/09,USD,1.0100,1.0100
MIL Preferred Securities Income Fund ,2020/07/10,USD,1.0100,1.0100
MIL Preferred Securities Income Fund ,2020/07/13,USD,1.0150,1.0150
MIL Preferred Securities Income Fund ,2020/07/14,USD,1.0100,1.0100
MIL Preferred Securities Income Fund ,2020/07/15,USD,1.0160,1.0160
MIL Preferred Securities Income Fund ,2020/07/16,USD,1.0170,1.0170
MIL Preferred Securities Income Fund ,2020/07/17,USD,1.0210,1.0210
MIL Preferred Securities Income Fund ,2020/07/20,USD,1.0230,1.0230
MIL Preferred Securities Income Fund ,2020/07/21,USD,1.0250,1.0250
MIL Preferred Securities Income Fund ,2020/07/22,USD,1.0280,1.0280
MIL Preferred Securities Income Fund ,2020/07/23,USD,1.0320,1.0320
MIL Preferred Securities Income Fund ,2020/07/24,USD,1.0320,1.0320
MIL Preferred Securities Income Fund ,2020/07/27,USD,1.0340,1.0340
MIL Preferred Securities Income Fund ,2020/07/28,USD,1.0340,1.0340
MIL Preferred Securities Income Fund ,2020/07/29,USD,1.0370,1.0370
MIL Preferred Securities Income Fund ,2020/07/30,USD,1.0370,1.0370
MIL Preferred Securities Income Fund ,2020/07/31,USD,1.0380,1.0380
MIL Preferred Securities Income Fund ,2020/08/03,USD,1.0380,1.0380
MIL Preferred Securities Income Fund ,2020/08/04,USD,1.0410,1.0410
MIL Preferred Securities Income Fund ,2020/08/05,USD,1.0430,1.0430
MIL Preferred Securities Income Fund ,2020/08/06,USD,1.0420,1.0420
MIL Preferred Securities Income Fund ,2020/08/07,USD,1.0440,1.0440
