Name of Investment Choice,Date,Currency,Purchase Price,Unit Sell Price
MIL Stable Fund ‡,,,,
MIL Stable Fund ‡,2007/01/15,USD,1.0000,1.0000
MIL Stable Fund ‡,2007/01/16,USD,1.0000,1.0000
MIL Stable Fund ‡,2007/01/17,USD,1.0000,1.0000
MIL Stable Fund ‡,2007/01/18,USD,1.0000,1.0000
MIL Stable Fund ‡,2007/01/19,USD,1.0000,1.0000
MIL Stable Fund ‡,2007/01/22,USD,1.0000,1.0000
MIL Stable Fund ‡,2007/01/23,USD,1.0000,1.0000
MIL Stable Fund ‡,2007/01/24,USD,1.0000,1.0000
MIL Stable Fund ‡,2007/01/25,USD,1.0000,1.0000
MIL Stable Fund ‡,2007/01/26,USD,1.0000,1.0000
MIL Stable Fund ‡,2007/01/29,USD,1.0000,1.0000
MIL Stable Fund ‡,2007/01/30,USD,1.0000,1.0000
MIL Stable Fund ‡,2007/01/31,USD,1.0000,1.0000
MIL Stable Fund ‡,2007/02/01,USD,1.0000,1.0000
MIL Stable Fund ‡,2007/02/02,USD,1.0000,1.0000
MIL Stable Fund ‡,2007/02/05,USD,0.9990,0.9990
MIL Stable Fund ‡,2007/02/06,USD,1.0020,1.0020
MIL Stable Fund ‡,2007/02/07,USD,1.0040,1.0040
MIL Stable Fund ‡,2007/02/08,USD,1.0030,1.0030
MIL Stable Fund ‡,2007/02/09,USD,1.0010,1.0010
MIL Stable Fund ‡,2007/02/12,USD,0.9980,0.9980
MIL Stable Fund ‡,2007/02/13,USD,0.9990,0.9990
MIL Stable Fund ‡,2007/02/14,USD,1.0050,1.0050
MIL Stable Fund ‡,2007/02/15,USD,1.0110,1.0110
MIL Stable Fund ‡,2007/02/16,USD,1.0110,1.0110
MIL Stable Fund ‡,2007/02/21,USD,1.0080,1.0080
MIL Stable Fund ‡,2007/02/22,USD,1.0090,1.0090
MIL Stable Fund ‡,2007/02/23,USD,1.0100,1.0100
MIL Stable Fund ‡,2007/02/26,USD,1.0110,1.0110
MIL Stable Fund ‡,2007/02/27,USD,1.0090,1.0090
MIL Stable Fund ‡,2007/02/28,USD,1.0030,1.0030
MIL Stable Fund ‡,2007/03/01,USD,1.0000,1.0000
MIL Stable Fund ‡,2007/03/02,USD,1.0000,1.0000
MIL Stable Fund ‡,2007/03/05,USD,0.9920,0.9920
MIL Stable Fund ‡,2007/03/06,USD,0.9960,0.9960
MIL Stable Fund ‡,2007/03/07,USD,0.9970,0.9970
MIL Stable Fund ‡,2007/03/08,USD,0.9980,0.9980
MIL Stable Fund ‡,2007/03/09,USD,0.9980,0.9980
MIL Stable Fund ‡,2007/03/12,USD,1.0020,1.0020
MIL Stable Fund ‡,2007/03/13,USD,1.0010,1.0010
MIL Stable Fund ‡,2007/03/14,USD,0.9960,0.9960
MIL Stable Fund ‡,2007/03/15,USD,0.9980,0.9980
MIL Stable Fund ‡,2007/03/16,USD,1.0000,1.0000
MIL Stable Fund ‡,2007/03/19,USD,1.0010,1.0010
MIL Stable Fund ‡,2007/03/20,USD,1.0020,1.0020
MIL Stable Fund ‡,2007/03/21,USD,1.0030,1.0030
MIL Stable Fund ‡,2007/03/22,USD,1.0080,1.0080
MIL Stable Fund ‡,2007/03/23,USD,1.0070,1.0070
MIL Stable Fund ‡,2007/03/26,USD,1.0070,1.0070
MIL Stable Fund ‡,2007/03/27,USD,1.0060,1.0060
MIL Stable Fund ‡,2007/03/28,USD,1.0060,1.0060
MIL Stable Fund ‡,2007/03/29,USD,1.0050,1.0050
MIL Stable Fund ‡,2007/03/30,USD,1.0050,1.0050
MIL Stable Fund ‡,2007/04/02,USD,1.0050,1.0050
MIL Stable Fund ‡,2007/04/03,USD,1.0060,1.0060
MIL Stable Fund ‡,2007/04/04,USD,1.0070,1.0070
MIL Stable Fund ‡,2007/04/10,USD,1.0080,1.0080
MIL Stable Fund ‡,2007/04/11,USD,1.0080,1.0080
MIL Stable Fund ‡,2007/04/12,USD,1.0080,1.0080
MIL Stable Fund ‡,2007/04/13,USD,1.0070,1.0070
MIL Stable Fund ‡,2007/04/16,USD,1.0120,1.0120
MIL Stable Fund ‡,2007/04/17,USD,1.0140,1.0140
MIL Stable Fund ‡,2007/04/18,USD,1.0160,1.0160
MIL Stable Fund ‡,2007/04/19,USD,1.0130,1.0130
MIL Stable Fund ‡,2007/04/20,USD,1.0140,1.0140
MIL Stable Fund ‡,2007/04/23,USD,1.0140,1.0140
MIL Stable Fund ‡,2007/04/24,USD,1.0160,1.0160
MIL Stable Fund ‡,2007/04/25,USD,1.0160,1.0160
MIL Stable Fund ‡,2007/04/26,USD,1.0140,1.0140
MIL Stable Fund ‡,2007/04/27,USD,1.0140,1.0140
MIL Stable Fund ‡,2007/04/30,USD,1.0130,1.0130
MIL Stable Fund ‡,2007/05/02,USD,1.0120,1.0120
MIL Stable Fund ‡,2007/05/03,USD,1.0130,1.0130
MIL Stable Fund ‡,2007/05/04,USD,1.0160,1.0160
MIL Stable Fund ‡,2007/05/07,USD,1.0190,1.0190
MIL Stable Fund ‡,2007/05/08,USD,1.0150,1.0150
MIL Stable Fund ‡,2007/05/09,USD,1.0170,1.0170
MIL Stable Fund ‡,2007/05/10,USD,1.0140,1.0140
MIL Stable Fund ‡,2007/05/11,USD,1.0130,1.0130
MIL Stable Fund ‡,2007/05/14,USD,1.0180,1.0180
MIL Stable Fund ‡,2007/05/15,USD,1.0200,1.0200
MIL Stable Fund ‡,2007/05/16,USD,1.0190,1.0190
MIL Stable Fund ‡,2007/05/17,USD,1.0170,1.0170
MIL Stable Fund ‡,2007/05/18,USD,1.0160,1.0160
MIL Stable Fund ‡,2007/05/21,USD,1.0160,1.0160
MIL Stable Fund ‡,2007/05/22,USD,1.0160,1.0160
MIL Stable Fund ‡,2007/05/23,USD,1.0180,1.0180
MIL Stable Fund ‡,2007/05/25,USD,1.0120,1.0120
MIL Stable Fund ‡,2007/05/28,USD,1.0120,1.0120
MIL Stable Fund ‡,2007/05/29,USD,1.0130,1.0130
MIL Stable Fund ‡,2007/05/30,USD,1.0100,1.0100
MIL Stable Fund ‡,2007/05/31,USD,1.0160,1.0160
