Name of Investment Choice,Date,Currency,Purchase Price,Unit Sell Price
MIL Barings Global Senior Secured Bond Fund ,2019/07/22,USD,1.0000,1.0000
MIL Barings Global Senior Secured Bond Fund ,2019/07/23,USD,1.0000,1.0000
MIL Barings Global Senior Secured Bond Fund ,2019/07/24,USD,1.0000,1.0000
MIL Barings Global Senior Secured Bond Fund ,2019/07/25,USD,1.0000,1.0000
MIL Barings Global Senior Secured Bond Fund ,2019/07/26,USD,1.0010,1.0010
MIL Barings Global Senior Secured Bond Fund ,2019/07/29,USD,1.0010,1.0010
MIL Barings Global Senior Secured Bond Fund ,2019/07/30,USD,1.0000,1.0000
MIL Barings Global Senior Secured Bond Fund ,2019/07/31,USD,1.0000,1.0000
MIL Barings Global Senior Secured Bond Fund ,2019/08/01,USD,1.0000,1.0000
MIL Barings Global Senior Secured Bond Fund ,2019/08/02,USD,0.9990,0.9990
MIL Barings Global Senior Secured Bond Fund ,2019/08/05,USD,0.9990,0.9990
MIL Barings Global Senior Secured Bond Fund ,2019/08/06,USD,0.9980,0.9980
MIL Barings Global Senior Secured Bond Fund ,2019/08/07,USD,0.9980,0.9980
MIL Barings Global Senior Secured Bond Fund ,2019/08/08,USD,1.0000,1.0000
MIL Barings Global Senior Secured Bond Fund ,2019/08/09,USD,1.0000,1.0000
MIL Barings Global Senior Secured Bond Fund ,2019/08/12,USD,1.0000,1.0000
MIL Barings Global Senior Secured Bond Fund ,2019/08/13,USD,1.0010,1.0010
MIL Barings Global Senior Secured Bond Fund ,2019/08/14,USD,0.9990,0.9990
MIL Barings Global Senior Secured Bond Fund ,2019/08/15,USD,0.9980,0.9980
MIL Barings Global Senior Secured Bond Fund ,2019/08/16,USD,0.9990,0.9990
MIL Barings Global Senior Secured Bond Fund ,2019/08/19,USD,1.0010,1.0010
MIL Barings Global Senior Secured Bond Fund ,2019/08/20,USD,1.0010,1.0010
MIL Barings Global Senior Secured Bond Fund ,2019/08/21,USD,1.0030,1.0030
MIL Barings Global Senior Secured Bond Fund ,2019/08/22,USD,1.0040,1.0040
MIL Barings Global Senior Secured Bond Fund ,2019/08/23,USD,1.0050,1.0050
MIL Barings Global Senior Secured Bond Fund ,2019/08/26,USD,1.0050,1.0050
MIL Barings Global Senior Secured Bond Fund ,2019/08/27,USD,1.0060,1.0060
MIL Barings Global Senior Secured Bond Fund ,2019/08/28,USD,1.0070,1.0070
MIL Barings Global Senior Secured Bond Fund ,2019/08/29,USD,1.0080,1.0080


