Investment choice name,Date,Currency,NAV / unit
MIL Amundi Asia Equity Concentrated Fund,2007-01-15,USD,1.0000
MIL Amundi Asia Equity Concentrated Fund,2007-01-16,USD,1.0000
MIL Amundi Asia Equity Concentrated Fund,2007-01-17,USD,1.0000
MIL Amundi Asia Equity Concentrated Fund,2007-01-18,USD,1.0000
MIL Amundi Asia Equity Concentrated Fund,2007-01-19,USD,1.0000
MIL Amundi Asia Equity Concentrated Fund,2007-01-22,USD,1.0000
MIL Amundi Asia Equity Concentrated Fund,2007-01-23,USD,1.0000
MIL Amundi Asia Equity Concentrated Fund,2007-01-24,USD,1.0000
MIL Amundi Asia Equity Concentrated Fund,2007-01-25,USD,1.0000
MIL Amundi Asia Equity Concentrated Fund,2007-01-26,USD,1.0000
MIL Amundi Asia Equity Concentrated Fund,2007-01-29,USD,1.0000
MIL Amundi Asia Equity Concentrated Fund,2007-01-30,USD,1.0000
MIL Amundi Asia Equity Concentrated Fund,2007-01-31,USD,1.0000
MIL Amundi Asia Equity Concentrated Fund,2007-02-01,USD,0.9960
MIL Amundi Asia Equity Concentrated Fund,2007-02-02,USD,1.0150
MIL Amundi Asia Equity Concentrated Fund,2007-02-05,USD,1.0300
MIL Amundi Asia Equity Concentrated Fund,2007-02-06,USD,1.0320
MIL Amundi Asia Equity Concentrated Fund,2007-02-07,USD,1.0310
MIL Amundi Asia Equity Concentrated Fund,2007-02-08,USD,1.0590
MIL Amundi Asia Equity Concentrated Fund,2007-02-09,USD,1.0800
MIL Amundi Asia Equity Concentrated Fund,2007-02-12,USD,1.0870
MIL Amundi Asia Equity Concentrated Fund,2007-02-13,USD,1.0800
MIL Amundi Asia Equity Concentrated Fund,2007-02-14,USD,1.1010
MIL Amundi Asia Equity Concentrated Fund,2007-02-15,USD,1.0930
MIL Amundi Asia Equity Concentrated Fund,2007-02-16,USD,1.0880
MIL Amundi Asia Equity Concentrated Fund,2007-02-21,USD,1.0800
MIL Amundi Asia Equity Concentrated Fund,2007-02-22,USD,1.0850
MIL Amundi Asia Equity Concentrated Fund,2007-02-23,USD,1.0890
MIL Amundi Asia Equity Concentrated Fund,2007-02-26,USD,1.0720
MIL Amundi Asia Equity Concentrated Fund,2007-02-27,USD,1.0570
MIL Amundi Asia Equity Concentrated Fund,2007-02-28,USD,1.0500
MIL Amundi Asia Equity Concentrated Fund,2007-03-01,USD,1.0630
MIL Amundi Asia Equity Concentrated Fund,2007-03-02,USD,1.0630
MIL Amundi Asia Equity Concentrated Fund,2007-03-05,USD,1.0790
MIL Amundi Asia Equity Concentrated Fund,2007-03-06,USD,1.0800
MIL Amundi Asia Equity Concentrated Fund,2007-03-07,USD,1.0800
MIL Amundi Asia Equity Concentrated Fund,2007-03-08,USD,1.0780
MIL Amundi Asia Equity Concentrated Fund,2007-03-09,USD,1.0830
MIL Amundi Asia Equity Concentrated Fund,2007-03-12,USD,1.0820
MIL Amundi Asia Equity Concentrated Fund,2007-03-13,USD,1.0860
MIL Amundi Asia Equity Concentrated Fund,2007-03-14,USD,1.0750
MIL Amundi Asia Equity Concentrated Fund,2007-03-15,USD,1.0860
MIL Amundi Asia Equity Concentrated Fund,2007-03-16,USD,1.0870
MIL Amundi Asia Equity Concentrated Fund,2007-03-19,USD,1.0810
MIL Amundi Asia Equity Concentrated Fund,2007-03-20,USD,1.0860
MIL Amundi Asia Equity Concentrated Fund,2007-03-21,USD,1.1070
MIL Amundi Asia Equity Concentrated Fund,2007-03-22,USD,1.1150
MIL Amundi Asia Equity Concentrated Fund,2007-03-23,USD,1.1150
MIL Amundi Asia Equity Concentrated Fund,2007-03-26,USD,1.1070
MIL Amundi Asia Equity Concentrated Fund,2007-03-27,USD,1.0390
MIL Amundi Asia Equity Concentrated Fund,2007-03-28,USD,1.0260
MIL Amundi Asia Equity Concentrated Fund,2007-03-29,USD,1.0240
MIL Amundi Asia Equity Concentrated Fund,2007-03-30,USD,1.0320
MIL Amundi Asia Equity Concentrated Fund,2007-04-02,USD,1.0460
MIL Amundi Asia Equity Concentrated Fund,2007-04-03,USD,1.0670
MIL Amundi Asia Equity Concentrated Fund,2007-04-04,USD,1.0770
MIL Amundi Asia Equity Concentrated Fund,2007-04-10,USD,1.0720
MIL Amundi Asia Equity Concentrated Fund,2007-04-11,USD,1.0790
MIL Amundi Asia Equity Concentrated Fund,2007-04-12,USD,1.0770
MIL Amundi Asia Equity Concentrated Fund,2007-04-13,USD,1.0770
MIL Amundi Asia Equity Concentrated Fund,2007-04-16,USD,1.0770
MIL Amundi Asia Equity Concentrated Fund,2007-04-17,USD,1.0800
MIL Amundi Asia Equity Concentrated Fund,2007-04-18,USD,1.0750
MIL Amundi Asia Equity Concentrated Fund,2007-04-19,USD,1.0660
MIL Amundi Asia Equity Concentrated Fund,2007-04-20,USD,1.0650
MIL Amundi Asia Equity Concentrated Fund,2007-04-23,USD,1.0610
MIL Amundi Asia Equity Concentrated Fund,2007-04-24,USD,1.0610
MIL Amundi Asia Equity Concentrated Fund,2007-04-25,USD,1.0700
MIL Amundi Asia Equity Concentrated Fund,2007-04-26,USD,1.0710
MIL Amundi Asia Equity Concentrated Fund,2007-04-27,USD,1.0740
MIL Amundi Asia Equity Concentrated Fund,2007-04-30,USD,1.0840
MIL Amundi Asia Equity Concentrated Fund,2007-05-02,USD,1.0910
MIL Amundi Asia Equity Concentrated Fund,2007-05-03,USD,1.0960
MIL Amundi Asia Equity Concentrated Fund,2007-05-04,USD,1.1060
MIL Amundi Asia Equity Concentrated Fund,2007-05-07,USD,1.1050
MIL Amundi Asia Equity Concentrated Fund,2007-05-08,USD,1.1020
MIL Amundi Asia Equity Concentrated Fund,2007-05-09,USD,1.0930
MIL Amundi Asia Equity Concentrated Fund,2007-05-10,USD,1.1010
MIL Amundi Asia Equity Concentrated Fund,2007-05-11,USD,1.0980
MIL Amundi Asia Equity Concentrated Fund,2007-05-14,USD,1.1120
MIL Amundi Asia Equity Concentrated Fund,2007-05-15,USD,1.1110
MIL Amundi Asia Equity Concentrated Fund,2007-05-16,USD,1.1190
MIL Amundi Asia Equity Concentrated Fund,2007-05-17,USD,1.1180
MIL Amundi Asia Equity Concentrated Fund,2007-05-18,USD,1.1320
MIL Amundi Asia Equity Concentrated Fund,2007-05-21,USD,1.1330
MIL Amundi Asia Equity Concentrated Fund,2007-05-22,USD,1.1400
MIL Amundi Asia Equity Concentrated Fund,2007-05-23,USD,1.1340
MIL Amundi Asia Equity Concentrated Fund,2007-05-25,USD,1.1110
MIL Amundi Asia Equity Concentrated Fund,2007-05-28,USD,1.1110
MIL Amundi Asia Equity Concentrated Fund,2007-05-29,USD,1.1280
MIL Amundi Asia Equity Concentrated Fund,2007-05-30,USD,1.1380
MIL Amundi Asia Equity Concentrated Fund,2007-05-31,USD,1.1380
MIL Amundi Asia Equity Concentrated Fund,2007-06-01,USD,1.1740
MIL Amundi Asia Equity Concentrated Fund,2007-06-04,USD,1.1980
MIL Amundi Asia Equity Concentrated Fund,2007-06-05,USD,1.1800
MIL Amundi Asia Equity Concentrated Fund,2007-06-06,USD,1.1760
MIL Amundi Asia Equity Concentrated Fund,2007-06-07,USD,1.1730
MIL Amundi Asia Equity Concentrated Fund,2007-06-08,USD,1.1650
MIL Amundi Asia Equity Concentrated Fund,2007-06-11,USD,1.1670
MIL Amundi Asia Equity Concentrated Fund,2007-06-12,USD,1.1500
MIL Amundi Asia Equity Concentrated Fund,2007-06-13,USD,1.1150
MIL Amundi Asia Equity Concentrated Fund,2007-06-14,USD,1.1300
MIL Amundi Asia Equity Concentrated Fund,2007-06-15,USD,1.1490
MIL Amundi Asia Equity Concentrated Fund,2007-06-18,USD,1.1930
MIL Amundi Asia Equity Concentrated Fund,2007-06-20,USD,1.2150
MIL Amundi Asia Equity Concentrated Fund,2007-06-21,USD,1.2100
MIL Amundi Asia Equity Concentrated Fund,2007-06-22,USD,1.2030
MIL Amundi Asia Equity Concentrated Fund,2007-06-25,USD,1.1900
MIL Amundi Asia Equity Concentrated Fund,2007-06-26,USD,1.1970
MIL Amundi Asia Equity Concentrated Fund,2007-06-27,USD,1.2020
MIL Amundi Asia Equity Concentrated Fund,2007-06-28,USD,1.2140
MIL Amundi Asia Equity Concentrated Fund,2007-06-29,USD,1.2160
MIL Amundi Asia Equity Concentrated Fund,2007-07-03,USD,1.2900
MIL Amundi Asia Equity Concentrated Fund,2007-07-04,USD,1.3150
MIL Amundi Asia Equity Concentrated Fund,2007-07-05,USD,1.3160
MIL Amundi Asia Equity Concentrated Fund,2007-07-06,USD,1.3270
MIL Amundi Asia Equity Concentrated Fund,2007-07-09,USD,1.3590
MIL Amundi Asia Equity Concentrated Fund,2007-07-10,USD,1.4050
MIL Amundi Asia Equity Concentrated Fund,2007-07-11,USD,1.3880
MIL Amundi Asia Equity Concentrated Fund,2007-07-12,USD,1.3810
MIL Amundi Asia Equity Concentrated Fund,2007-07-13,USD,1.4050
MIL Amundi Asia Equity Concentrated Fund,2007-07-16,USD,1.3920
MIL Amundi Asia Equity Concentrated Fund,2007-07-17,USD,1.3900
MIL Amundi Asia Equity Concentrated Fund,2007-07-18,USD,1.3740
MIL Amundi Asia Equity Concentrated Fund,2007-07-19,USD,1.3540
MIL Amundi Asia Equity Concentrated Fund,2007-07-20,USD,1.3590
