Investment choice name,Date,Currency,NAV / unit
MIL US Small Cap Fund,2007-01-15,USD,1.0000
MIL US Small Cap Fund,2007-01-16,USD,1.0000
MIL US Small Cap Fund,2007-01-17,USD,1.0000
MIL US Small Cap Fund,2007-01-18,USD,1.0000
MIL US Small Cap Fund,2007-01-19,USD,1.0000
MIL US Small Cap Fund,2007-01-22,USD,1.0000
MIL US Small Cap Fund,2007-01-23,USD,1.0000
MIL US Small Cap Fund,2007-01-24,USD,1.0000
MIL US Small Cap Fund,2007-01-25,USD,1.0000
MIL US Small Cap Fund,2007-01-26,USD,0.9880
MIL US Small Cap Fund,2007-01-29,USD,1.0010
MIL US Small Cap Fund,2007-01-30,USD,1.0010
MIL US Small Cap Fund,2007-01-31,USD,1.0070
MIL US Small Cap Fund,2007-02-01,USD,1.0130
MIL US Small Cap Fund,2007-02-02,USD,1.0230
MIL US Small Cap Fund,2007-02-05,USD,1.0190
MIL US Small Cap Fund,2007-02-06,USD,1.0170
MIL US Small Cap Fund,2007-02-07,USD,1.0250
MIL US Small Cap Fund,2007-02-08,USD,1.0210
MIL US Small Cap Fund,2007-02-09,USD,1.0210
MIL US Small Cap Fund,2007-02-12,USD,1.0200
MIL US Small Cap Fund,2007-02-13,USD,1.0240
MIL US Small Cap Fund,2007-02-14,USD,1.0330
MIL US Small Cap Fund,2007-02-15,USD,1.0360
MIL US Small Cap Fund,2007-02-16,USD,1.0430
MIL US Small Cap Fund,2007-02-21,USD,1.0460
MIL US Small Cap Fund,2007-02-22,USD,1.0600
MIL US Small Cap Fund,2007-02-23,USD,1.0700
MIL US Small Cap Fund,2007-02-26,USD,1.0680
MIL US Small Cap Fund,2007-02-27,USD,1.0660
MIL US Small Cap Fund,2007-02-28,USD,1.0200
MIL US Small Cap Fund,2007-03-01,USD,1.0220
MIL US Small Cap Fund,2007-03-02,USD,1.0200
MIL US Small Cap Fund,2007-03-05,USD,0.9970
MIL US Small Cap Fund,2007-03-06,USD,0.9770
MIL US Small Cap Fund,2007-03-07,USD,1.0040
MIL US Small Cap Fund,2007-03-08,USD,1.0020
MIL US Small Cap Fund,2007-03-09,USD,1.0030
MIL US Small Cap Fund,2007-03-12,USD,1.0030
MIL US Small Cap Fund,2007-03-13,USD,1.0060
MIL US Small Cap Fund,2007-03-14,USD,0.9800
MIL US Small Cap Fund,2007-03-15,USD,0.9910
MIL US Small Cap Fund,2007-03-16,USD,0.9990
MIL US Small Cap Fund,2007-03-19,USD,0.9970
MIL US Small Cap Fund,2007-03-20,USD,1.0020
MIL US Small Cap Fund,2007-03-21,USD,1.0050
MIL US Small Cap Fund,2007-03-22,USD,1.0230
MIL US Small Cap Fund,2007-03-23,USD,1.0300
MIL US Small Cap Fund,2007-03-26,USD,1.0340
MIL US Small Cap Fund,2007-03-27,USD,1.0380
MIL US Small Cap Fund,2007-03-28,USD,1.0310
MIL US Small Cap Fund,2007-03-29,USD,1.0300
MIL US Small Cap Fund,2007-03-30,USD,1.0340
MIL US Small Cap Fund,2007-04-02,USD,1.0340
MIL US Small Cap Fund,2007-04-03,USD,1.0420
MIL US Small Cap Fund,2007-04-04,USD,1.0490
MIL US Small Cap Fund,2007-04-10,USD,1.0550
MIL US Small Cap Fund,2007-04-11,USD,1.0610
MIL US Small Cap Fund,2007-04-12,USD,1.0530
MIL US Small Cap Fund,2007-04-13,USD,1.0610
MIL US Small Cap Fund,2007-04-16,USD,1.0740
MIL US Small Cap Fund,2007-04-17,USD,1.0890
